ID,Description,YieldType,YieldChange,TilesRequired,OtherDistrictAdjacent,AdjacentSeaResource,AdjacentTerrain,AdjacentFeature,AdjacentRiver,AdjacentWonder,AdjacentNaturalWonder,AdjacentImprovement,AdjacentDistrict,PrereqCivic,PrereqTech,ObsoleteCivic,ObsoleteTech,AdjacentResource,AdjacentResourceClass,Self
Mountains_Science1,LOC_DISTRICT_MOUNTAINS_SCIENCE1,YIELD_SCIENCE,1,1,0,0,TERRAIN_GRASS_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountains_Science2,LOC_DISTRICT_MOUNTAINS_SCIENCE2,YIELD_SCIENCE,1,1,0,0,TERRAIN_PLAINS_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountains_Science3,LOC_DISTRICT_MOUNTAINS_SCIENCE3,YIELD_SCIENCE,1,1,0,0,TERRAIN_DESERT_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountains_Science4,LOC_DISTRICT_MOUNTAINS_SCIENCE4,YIELD_SCIENCE,1,1,0,0,TERRAIN_TUNDRA_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountains_Science5,LOC_DISTRICT_MOUNTAINS_SCIENCE5,YIELD_SCIENCE,1,1,0,0,TERRAIN_SNOW_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Jungle_Science,LOC_DISTRICT_JUNGLE_SCIENCE,YIELD_SCIENCE,1,2,0,0,,FEATURE_JUNGLE,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
District_Science,LOC_DISTRICT_DISTRICT_SCIENCE,YIELD_SCIENCE,1,2,1,0,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
NaturalWonder_Faith,LOC_DISTRICT_NATURALWONDER_FAITH,YIELD_FAITH,2,1,0,0,,,0,0,1,,,,,,,0,NO_RESOURCECLASS,0
Mountain_Faith1,LOC_DISTRICT_MOUNTAIN_FAITH1,YIELD_FAITH,1,1,0,0,TERRAIN_GRASS_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountain_Faith2,LOC_DISTRICT_MOUNTAIN_FAITH2,YIELD_FAITH,1,1,0,0,TERRAIN_PLAINS_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountain_Faith3,LOC_DISTRICT_MOUNTAIN_FAITH3,YIELD_FAITH,1,1,0,0,TERRAIN_DESERT_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountain_Faith4,LOC_DISTRICT_MOUNTAIN_FAITH4,YIELD_FAITH,1,1,0,0,TERRAIN_TUNDRA_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Mountain_Faith5,LOC_DISTRICT_MOUNTAIN_FAITH5,YIELD_FAITH,1,1,0,0,TERRAIN_SNOW_MOUNTAIN,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Forest_Faith,LOC_DISTRICT_FOREST_FAITH,YIELD_FAITH,1,2,0,0,,FEATURE_FOREST,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
District_Faith,LOC_DISTRICT_DISTRICT_FAITH,YIELD_FAITH,1,2,1,0,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
River_Gold,LOC_DISTRICT_RIVER_GOLD,YIELD_GOLD,2,1,0,0,,,1,0,0,,,,,,,0,NO_RESOURCECLASS,0
Harbor_Gold,LOC_DISTRICT_HARBOR_GOLD,YIELD_GOLD,2,1,0,0,,,0,0,0,,DISTRICT_HARBOR,,,,,0,NO_RESOURCECLASS,0
RoyalDock_Gold,LOC_DISTRICT_ROYAL_NAVY_DOCKYARD_GOLD,YIELD_GOLD,2,1,0,0,,,0,0,0,,DISTRICT_ROYAL_NAVY_DOCKYARD,,,,,0,NO_RESOURCECLASS,0
District_Gold,LOC_DISTRICT_DISTRICT_GOLD,YIELD_GOLD,1,2,1,0,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
SeaResource_Gold,LOC_DISTRICT_SEARESOURCE_GOLD,YIELD_GOLD,1,1,0,1,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Wonder_Culture,LOC_DISTRICT_WONDER_CULTURE,YIELD_CULTURE,2,1,0,0,,,0,1,0,,,,,,,0,NO_RESOURCECLASS,0
District_Culture,LOC_DISTRICT_DISTRICT_CULTURE,YIELD_CULTURE,1,2,1,0,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
District_Culture_Standard,LOC_DISTRICT_DISTRICT_CULTURE_STANDARD,YIELD_CULTURE,1,1,1,0,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
District_Culture_City_Center,LOC_DISTRICT_CULTURE_CITY_CENTER,YIELD_CULTURE,1,1,0,0,,,0,0,0,,DISTRICT_CITY_CENTER,,,,,0,NO_RESOURCECLASS,0
Mine_Production,LOC_DISTRICT_MINE_PRODUCTION,YIELD_PRODUCTION,1,1,0,0,,,0,0,0,IMPROVEMENT_MINE,,,,,,0,NO_RESOURCECLASS,0
Quarry_Production,LOC_DISTRICT_QUARRY_PRODUCTION,YIELD_PRODUCTION,1,1,0,0,,,0,0,0,IMPROVEMENT_QUARRY,,,,,,0,NO_RESOURCECLASS,0
District_Production,LOC_DISTRICT_DISTRICT_PRODUCTION,YIELD_PRODUCTION,1,2,1,0,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Commerical_Hub_Production,LOC_DISTRICT_COMMERCIAL_HUB_PRODUCTION,YIELD_PRODUCTION,2,1,0,0,,,0,0,0,,DISTRICT_COMMERCIAL_HUB,,,,,0,NO_RESOURCECLASS,0
Resource_Production,LOC_DISTRICT_RESOURCE_PRODUCTION,YIELD_PRODUCTION,1,1,0,0,,,0,0,0,,,,,,,1,NO_RESOURCECLASS,0
Harbor_City_Gold,LOC_DISTRICT_CITY_CENTER_GOLD,YIELD_GOLD,2,1,0,0,,,0,0,0,,DISTRICT_CITY_CENTER,,,,,0,NO_RESOURCECLASS,0
RoyalDock_City_Gold,LOC_DISTRICT_CITY_CENTER_GOLD,YIELD_GOLD,2,1,0,0,,,0,0,0,,DISTRICT_CITY_CENTER,,,,,0,NO_RESOURCECLASS,0
GBR_Science,LOC_FEATURE_BARRIER_REEF_SCIENCE,YIELD_SCIENCE,2,1,0,0,,FEATURE_BARRIER_REEF,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Farms_MedievalAdjacency,Placeholder,YIELD_FOOD,1,2,0,0,,,0,0,0,IMPROVEMENT_FARM,,CIVIC_FEUDALISM,,,TECH_REPLACEABLE_PARTS,0,NO_RESOURCECLASS,0
Farms_MechanizedAdjacency,Placeholder,YIELD_FOOD,1,1,0,0,,,0,0,0,IMPROVEMENT_FARM,,,TECH_REPLACEABLE_PARTS,,,0,NO_RESOURCECLASS,0
Kurgan_Faith,Placeholder,YIELD_FAITH,1,1,0,0,,,0,0,0,IMPROVEMENT_PASTURE,,,,,TECH_STIRRUPS,0,NO_RESOURCECLASS,0
Kurgan_Faith_Stirrups,Placeholder,YIELD_FAITH,2,1,0,0,,,0,0,0,IMPROVEMENT_PASTURE,,,TECH_STIRRUPS,,,0,NO_RESOURCECLASS,0
Mission_Science_HolySite,Placeholder,YIELD_SCIENCE,1,1,0,0,,,0,0,0,,DISTRICT_HOLY_SITE,,,,,0,NO_RESOURCECLASS,0
Mission_Science_Campus,Placeholder,YIELD_SCIENCE,1,1,0,0,,,0,0,0,,DISTRICT_CAMPUS,,,,,0,NO_RESOURCECLASS,0
Chateau_WonderEarly,Placeholder,YIELD_CULTURE,1,1,0,0,,,0,1,0,,,,,,TECH_FLIGHT,0,NO_RESOURCECLASS,0
Chateau_WonderLate,Placeholder,YIELD_CULTURE,2,1,0,0,,,0,1,0,,,,TECH_FLIGHT,,,0,NO_RESOURCECLASS,0
Chateau_River,Placeholder,YIELD_GOLD,2,1,0,0,,,1,0,0,,,,,,,0,NO_RESOURCECLASS,0
Kampung_FoodFishingBoats,Placeholder,YIELD_FOOD,1,1,0,0,,,0,0,0,IMPROVEMENT_FISHING_BOATS,,,,,,0,NO_RESOURCECLASS,0
Monastery_DistrictAdjacency,Placeholder,YIELD_FAITH,1,2,1,0,,,0,0,0,,,,,,,0,NO_RESOURCECLASS,0
Pyramid_CityCenterAdjacency,Placeholder,YIELD_FOOD,1,1,0,0,,,0,0,0,,DISTRICT_CITY_CENTER,,,,,0,NO_RESOURCECLASS,0
Pyramid_CampusAdjacency,Placeholder,YIELD_SCIENCE,1,1,0,0,,,0,0,0,,DISTRICT_CAMPUS,,,,,0,NO_RESOURCECLASS,0
Pyramid_CommercialHubAdjacency,Placeholder,YIELD_GOLD,1,1,0,0,,,0,0,0,,DISTRICT_COMMERCIAL_HUB,,,,,0,NO_RESOURCECLASS,0
Pyramid_HarborAdjacency,Placeholder,YIELD_GOLD,1,1,0,0,,,0,0,0,,DISTRICT_HARBOR,,,,,0,NO_RESOURCECLASS,0
Pyramid_HolySiteAdjacency,Placeholder,YIELD_FAITH,1,1,0,0,,,0,0,0,,DISTRICT_HOLY_SITE,,,,,0,NO_RESOURCECLASS,0
