DistrictType,YieldType,MaximumValue,BuildingType,MinimumValue,YieldChange,Description,Unimproved
DISTRICT_PRESERVE,YIELD_FAITH,100,BUILDING_GROVE,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING,1
DISTRICT_PRESERVE,YIELD_FAITH,3,BUILDING_GROVE,2,1,LOC_TOOLTIP_APPEAL_CHARMING,1
DISTRICT_PRESERVE,YIELD_FOOD,100,BUILDING_GROVE,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING,1
DISTRICT_PRESERVE,YIELD_FOOD,3,BUILDING_GROVE,2,1,LOC_TOOLTIP_APPEAL_CHARMING,1
DISTRICT_PRESERVE,YIELD_CULTURE,100,BUILDING_GROVE,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING,1
DISTRICT_PRESERVE,YIELD_GOLD,100,BUILDING_SANCTUARY,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING,1
DISTRICT_PRESERVE,YIELD_GOLD,3,BUILDING_SANCTUARY,2,1,LOC_TOOLTIP_APPEAL_CHARMING,1
DISTRICT_PRESERVE,YIELD_SCIENCE,100,BUILDING_SANCTUARY,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING,1
DISTRICT_PRESERVE,YIELD_SCIENCE,3,BUILDING_SANCTUARY,2,1,LOC_TOOLTIP_APPEAL_CHARMING,1
DISTRICT_PRESERVE,YIELD_PRODUCTION,100,BUILDING_SANCTUARY,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING,1
