AgendaType,LeaderType,PercentageChance
AGENDA_NUKE_LOVER,LEADER_GANDHI,70
AGENDA_POPULOUS,LEADER_GANDHI,20
AGENDA_ENVIRONMENTALIST,LEADER_T_ROOSEVELT,33
AGENDA_SYMPATHIZER,LEADER_JAYAVARMAN,10
AGENDA_SYMPATHIZER,LEADER_JADWIGA,10
AGENDA_SYMPATHIZER,LEADER_LAUTARO,10
AGENDA_SYMPATHIZER,LEADER_GENGHIS_KHAN,10
AGENDA_GOSSIP,LEADER_CATHERINE_DE_MEDICI,15
AGENDA_SYCOPHANT,LEADER_GORGO,10
AGENDA_SYCOPHANT,LEADER_PHILIP_II,10
AGENDA_SYCOPHANT,LEADER_PETER_GREAT,10
AGENDA_GREAT_PERSON_ADVOCATE,LEADER_KRISTINA,20
AGENDA_WONDER_ADVOCATE,LEADER_LUDWIG,33
