AgendaType,TraitType
AGENDA_ALLY_OF_ENKIDU,TRAIT_AGENDA_ALLY_OF_ENKIDU
AGENDA_AYYUBID_DYNASTY,TRAIT_AGENDA_AYYUBID_DYNASTY
AGENDA_BACKSTAB_AVERSE,TRAIT_AGENDA_BACKSTAB_AVERSE
AGENDA_BIG_STICK_POLICY,TRAIT_AGENDA_BIG_STICK_POLICY
AGENDA_BLACK_QUEEN,TRAIT_AGENDA_BLACK_QUEEN
AGENDA_BUSHIDO,TRAIT_AGENDA_BUSHIDO
AGENDA_COUNTER_REFORMER,TRAIT_AGENDA_COUNTER_REFORMER
AGENDA_DELIAN_LEAGUE,TRAIT_AGENDA_DELIAN_LEAGUE
AGENDA_ENTHUSIASTIC_DISCIPLE,TRAIT_AGENDA_ENTHUSIASTIC_DISCIPLE
AGENDA_GREAT_PERSON_OBSESSED,TRAIT_AGENDA_GREAT_PERSON_OBSESSED
AGENDA_IRON_CROWN,TRAIT_AGENDA_IRON_CROWN
AGENDA_LAST_VIKING_KING,TRAIT_AGENDA_LAST_VIKING_KING
AGENDA_OPTIMUS_PRINCEPS,TRAIT_AGENDA_OPTIMUS_PRINCEPS
AGENDA_PEACEKEEPER,TRAIT_AGENDA_PEACEKEEPER
AGENDA_QUEEN_OF_NILE,TRAIT_AGENDA_QUEEN_OF_NILE
AGENDA_SUN_NEVER_SETS,TRAIT_AGENDA_SUN_NEVER_SETS
AGENDA_TLATOANI,TRAIT_AGENDA_TLATOANI
AGENDA_WESTERNIZER,TRAIT_AGENDA_WESTERNIZER
AGENDA_WITH_YOUR_SHIELD_OR_ON_IT,TRAIT_AGENDA_WITH_SHIELD
AGENDA_WITH_YOUR_SHIELD_OR_ON_IT,TRAIT_AGENDA_IGNORE_WARMONGERING
AGENDA_WONDER_OBSESSED,TRAIT_AGENDA_WONDER_OBSESSED
AGENDA_AIRPOWER,TRAIT_AGENDA_PREFER_AIRPOWER
AGENDA_BARBARIAN_LOVER,TRAIT_AGENDA_BARBARIAN_LOVER
AGENDA_CITY_STATE_ALLY,TRAIT_AGENDA_CITY_STATE_ALLY
AGENDA_CITY_STATE_PROTECTOR,TRAIT_AGENDA_PREFER_CITY_STATE_PROTECTOR
AGENDA_CIVILIZED,TRAIT_AGENDA_PREFER_CLEAR_BANDIT_CAMPS
AGENDA_CULTURED,TRAIT_AGENDA_PREFER_CULTURE
AGENDA_DARWINIST,TRAIT_AGENDA_ENJOYS_WAR
AGENDA_DARWINIST,TRAIT_AGENDA_IGNORE_WARMONGERING
AGENDA_DEVOUT,TRAIT_AGENDA_PREFER_FAITH
