AgendaType,OperationList,Name,Description
AGENDA_AIRPOWER,,LOC_AGENDA_AIRPOWER_NAME,LOC_AGENDA_AIRPOWER_DESCRIPTION
AGENDA_BARBARIAN_LOVER,,LOC_AGENDA_BARBARIAN_LOVER_NAME,LOC_AGENDA_BARBARIAN_LOVER_DESCRIPTION
AGENDA_CITY_STATE_PROTECTOR,,LOC_AGENDA_CITY_STATE_PROTECTOR_NAME,LOC_AGENDA_CITY_STATE_PROTECTOR_DESCRIPTION
AGENDA_CIVILIZED,,LOC_AGENDA_CIVILIZED_NAME,LOC_AGENDA_CIVILIZED_DESCRIPTION
AGENDA_CULTURED,,LOC_AGENDA_CULTURED_NAME,LOC_AGENDA_CULTURED_DESCRIPTION
AGENDA_DARWINIST,,LOC_AGENDA_DARWINIST_NAME,LOC_AGENDA_DARWINIST_DESCRIPTION
AGENDA_DEVOUT,,LOC_AGENDA_DEVOUT_NAME,LOC_AGENDA_DEVOUT_DESCRIPTION
AGENDA_ENVIRONMENTALIST,,LOC_AGENDA_ENVIRONMENTALIST_NAME,LOC_AGENDA_KAITIAKITANGA_DESCRIPTION
AGENDA_EXPLOITATIVE,,LOC_AGENDA_EXPLOITATIVE_NAME,LOC_AGENDA_EXPLOITATIVE_DESCRIPTION
AGENDA_EXPLORER,,LOC_AGENDA_EXPLORER_NAME,LOC_AGENDA_EXPLORER_DESCRIPTION
AGENDA_FUN_LOVING,,LOC_AGENDA_FUN_LOVING_NAME,LOC_AGENDA_FUN_LOVING_DESCRIPTION
AGENDA_GREAT_PERSON_ADVOCATE,,LOC_AGENDA_GREAT_PERSON_ADVOCATE_NAME,LOC_AGENDA_GREAT_PERSON_OBSESSED_DESCRIPTION
AGENDA_IDEOLOGUE,,LOC_AGENDA_IDEOLOGUE_NAME,LOC_AGENDA_IDEOLOGUE_DESCRIPTION
AGENDA_INDUSTRIALIST,,LOC_AGENDA_INDUSTRIALIST_NAME,LOC_AGENDA_INDUSTRIALIST_DESCRIPTION
AGENDA_MONEY_GRUBBER,,LOC_AGENDA_MONEY_GRUBBER_NAME,LOC_AGENDA_LORD_OF_MINES_DESCRIPTION
AGENDA_NATURALIST,,LOC_AGENDA_NATURALIST_NAME,LOC_AGENDA_NATURALIST_DESCRIPTION
AGENDA_NUKE_LOVER,,LOC_AGENDA_NUKE_LOVER_NAME,LOC_AGENDA_NUKE_LOVER_DESCRIPTION
AGENDA_PARANOID,,LOC_AGENDA_PARANOID_NAME,LOC_AGENDA_PARANOID_DESCRIPTION
AGENDA_POPULOUS,,LOC_AGENDA_POPULOUS_NAME,LOC_AGENDA_POPULOUS_DESCRIPTION
AGENDA_STANDING_ARMY,,LOC_AGENDA_STANDING_ARMY_NAME,LOC_AGENDA_STANDING_ARMY_DESCRIPTION
AGENDA_TECHNOPHILE,,LOC_AGENDA_TECHNOPHILE_NAME,LOC_AGENDA_TECHNOPHILE_DESCRIPTION
AGENDA_WONDER_ADVOCATE,,LOC_AGENDA_WONDER_ADVOCATE_NAME,LOC_AGENDA_WONDER_OBSESSED_DESCRIPTION
AGENDA_ALLY_OF_ENKIDU,,LOC_AGENDA_ALLY_OF_ENKIDU_NAME,LOC_AGENDA_ALLY_OF_ENKIDU_DESCRIPTION
AGENDA_AYYUBID_DYNASTY,,LOC_AGENDA_AYYUBID_DYNASTY_NAME,LOC_AGENDA_AYYUBID_DYNASTY_DESCRIPTION
AGENDA_BACKSTAB_AVERSE,,LOC_AGENDA_BACKSTAB_AVERSE_NAME,LOC_AGENDA_BACKSTAB_AVERSE_DESCRIPTION
