ListType,Item,Favored,Value,StringVal,MinDifficulty,MaxDifficulty,TooltipString
BlackQueenDiplomacyPreference,DIPLOACTION_KEEP_PROMISE_DONT_SPY,0,0,,,,
CityStateAllyInfluencePreference,PSEUDOYIELD_INFLUENCE,1,25,,,,
CityStateAllyNoWarPreference,DIPLOACTION_DECLARE_WAR_MINOR_CIV,0,0,,,,
CitySateProtectionLoverCityStateProtectionPreference,DIPLOACTION_DECLARE_PROTECTORATE_WAR,1,0,,,,
ClearingBarbCampLoverClearingBarbCampPreference,PSEUDOYIELD_CLEAR_BANDIT_CAMPS,1,5,,,,
CounterReformerInquisitionPreference,TRIGGER_RELIGION_FOUNDED,1,0,,,,
CounterReformerInquisitorPreference,UNIT_INQUISITOR,1,1,,,,
CultureLoverCulturePreference,YIELD_CULTURE,1,20,,,,
DarwinistIgnoreWarmongerValue,PSEUDOYIELD_DIPLOMATIC_BONUS,1,-100,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_GENERAL,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_ADMIRAL,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_ENGINEER,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_MERCHANT,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_PROPHET,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_SCIENTIST,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_WRITER,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_ARTIST,1,50,,,,
GreatPersonObsessedGreatPeople,PSEUDOYIELD_GPP_MUSICIAN,1,50,,,,
IndustryLoverIndustryPreference,YIELD_PRODUCTION,1,20,,,,
IronCrownDiplomacyPreference,DIPLOACTION_DECLARE_WAR_MINOR_CIV,1,0,,,,
LastVikingKingCoastSettlement,Coastal,0,30,,,,
LastVikingKingHarborPreference,DISTRICT_HARBOR,1,0,,,,
LastVikingKingNavalPreference,PSEUDOYIELD_UNIT_NAVAL_COMBAT,1,100,,,,
MoneyGrubberGoldPreference,YIELD_GOLD,1,20,,,,
NukeLoverNukePreference,PSEUDOYIELD_NUCLEAR_WEAPON,1,20,,,,
NukeLoverUseNukePreference,DIPLOACTION_USE_NUCLEAR_WEAPON,1,0,,,,
