ListType,LeaderType,AgendaType,System,MinDifficulty,MaxDifficulty
BlackQueenDiplomacyPreference,,TRAIT_AGENDA_BLACK_QUEEN,DiplomaticActions,,
CityStateAllyInfluencePreference,,TRAIT_AGENDA_CITY_STATE_ALLY,PseudoYields,,
CityStateAllyNoWarPreference,,TRAIT_AGENDA_CITY_STATE_ALLY,DiplomaticActions,,
CityStateAllyInfluencePreference,,TRAIT_AGENDA_DELIAN_LEAGUE,PseudoYields,,
CityStateAllyNoWarPreference,,TRAIT_AGENDA_DELIAN_LEAGUE,DiplomaticActions,,
ClearingBarbCampLoverClearingBarbCampPreference,,TRAIT_AGENDA_PREFER_CLEAR_BANDIT_CAMPS,PseudoYields,,
CounterReformerInquisitionPreference,,TRAIT_AGENDA_COUNTER_REFORMER,TriggeredTrees,,
CounterReformerInquisitorPreference,,TRAIT_AGENDA_COUNTER_REFORMER,Units,,
CultureLoverCulturePreference,,TRAIT_AGENDA_PREFER_CULTURE,Yields,,
DarwinistIgnoreWarmongerValue,,TRAIT_AGENDA_IGNORE_WARMONGERING,PseudoYields,,
GreatPersonObsessedGreatPeople,,TRAIT_AGENDA_GREAT_PERSON_OBSESSED,PseudoYields,,
GreatPersonObsessedGreatPeople,,TRAIT_AGENDA_GREAT_PERSON_ADVOCATE,PseudoYields,,
IndustryLoverIndustryPreference,,TRAIT_AGENDA_PREFER_INDUSTRY,Yields,,
IronCrownDiplomacyPreference,,TRAIT_AGENDA_IRON_CROWN,DiplomaticActions,,
LastVikingKingCoastSettlement,,TRAIT_AGENDA_LAST_VIKING_KING,PlotEvaluations,,
LastVikingKingHarborPreference,,TRAIT_AGENDA_LAST_VIKING_KING,Districts,,
LastVikingKingNavalPreference,,TRAIT_AGENDA_LAST_VIKING_KING,PseudoYields,,
MoneyGrubberGoldPreference,,TRAIT_AGENDA_PREFER_INCOME,Yields,,
NukeLoverNukePreference,,TRAIT_AGENDA_PREFER_NUKES,PseudoYields,,
NukeLoverUseNukePreference,,TRAIT_AGENDA_PREFER_NUKES,DiplomaticActions,,
PeacekeeperWarLimits,,TRAIT_AGENDA_PEACEKEEPER,DiplomaticActions,,
ScienceLoverSciencePreference,,TRAIT_AGENDA_PREFER_SCIENCE,Yields,,
StandardSettlePlot,TRAIT_LEADER_MAJOR_CIV,,PlotEvaluations,,
StandingArmyPseudoYields,,TRAIT_AGENDA_PREFER_STANDING_ARMY,PseudoYields,,
SettleAllContinents,,TRAIT_AGENDA_SUN_NEVER_SETS,PlotEvaluations,,
WithShieldDiplomacy,,TRAIT_AGENDA_WITH_SHIELD,DiplomaticActions,,
WonderObsessedWonders,,TRAIT_AGENDA_WONDER_OBSESSED,PseudoYields,,
WonderObsessedWonders,,TRAIT_AGENDA_WONDER_ADVOCATE,PseudoYields,,
