OperationName,TargetType,TargetParameter,EnemyType,BehaviorTree,Priority,MaxTargetDistInRegion,MaxTargetDistInArea,MaxTargetDistInWorld,MaxTargetStrength,MaxTargetDefense,MinOddsOfSuccess,SelfStart,MustBeAtWar,MustHaveNukes,MustHaveUnits,OperationType,AllowTargetUpdate,TargetLuaScript,ActiveEmergency
Attack Barb Camp,TARGET_BARBARIAN_CAMP,0,NONE,Simple Operation Attack,3,-1,25,0,-1,-1,0.5,1,0,0,-1,ATTACK_BARBARIANS,1,,
Barb Camp Tech Boost,TARGET_BARBARIAN_CAMP,0,NONE,Simple Operation Attack,3,-1,-1,0,-1,-1,0.0,0,0,0,-1,ATTACK_BARBARIANS,1,,
Attack Enemy City,TARGET_ENEMY_COMBAT_DISTRICT,0,WAR,Early City Assault,3,-1,30,0,-1,-1,0.5,1,0,0,5,CITY_ASSAULT,1,,
Wartime Attack Enemy City,TARGET_ENEMY_COMBAT_DISTRICT,0,WAR,Early City Assault,3,-1,45,-1,-1,-1,0.25,1,1,0,3,CITY_ASSAULT,1,,
Attack Walled City,TARGET_ENEMY_COMBAT_DISTRICT,1,WAR,Siege City Assault,3,-1,30,0,-1,-1,0.6,1,0,0,10,CITY_ASSAULT,1,,
Wartime Attack Walled City,TARGET_ENEMY_COMBAT_DISTRICT,1,WAR,Siege City Assault,3,-1,45,-1,-1,-1,0.4,1,1,0,6,CITY_ASSAULT,1,,
Barbarian Builder Capture,TARGET_BARBARIAN_CAMP,0,NONE,Escort Worker To Camp,3,-1,-1,0,-1,-1,0.0,0,0,0,-1,,1,,
Civilian Builder Capture,TARGET_FRIENDLY_CITY,0,NONE,Escort Worker To Camp,1,-1,-1,0,-1,-1,0.0,0,0,0,-1,,1,,
Settle New City,TARGET_SETTLE_LOCATION,0,NONE,Settle City Op,4,-1,-1,-1,-1,-1,0.0,0,0,0,-1,OP_SETTLE,1,,
City Defense,TARGET_FRIENDLY_CITY,1,NONE,Simple City Defense,4,-1,-1,0,-1,-1,0.0,0,0,0,-1,,1,,
Barbarian Attack,TARGET_ENEMY_COMBAT_DISTRICT,0,NONE,Raid City,3,10,5,0,-1,-1,0.0,0,0,0,-1,,0,,
Barbarian City Assault,TARGET_ENEMY_COMBAT_DISTRICT,0,NONE,Barbarian City Attack,4,10,5,0,-1,-1,0.0,0,0,0,-1,,0,,
Nuclear Assault,TARGET_ENEMY_COMBAT_DISTRICT,1,WAR,Nuclear Assault,3,-1,-1,0,-1,-1,0.0,1,1,1,-1,OP_NUCLEAR,1,,
Aid Ally,TARGET_ALLY_SUPPORT,0,ALLY,Reinforce Ally,3,-1,45,0,-1,-1,0.0,1,0,0,-1,CITY_ASSAULT,1,,
Naval Superiority,TARGET_NAVAL_SUPERIORITY,0,NONE,Naval Superiority Tree,2,-1,-1,-1,-1,-1,0.0,1,0,0,-1,NAVAL_SUPERIORITY,1,,
Free Cities Raid,TARGET_ENEMY_COMBAT_DISTRICT,0,WAR,Free Cities Assault,3,-1,-1,0,-1,-1,0.0,0,0,0,-1,CITY_ASSAULT,1,,
