LevelRequirement,AllianceType,ModifierID
1,ALLIANCE_MILITARY,ALLIANCE_ADJUST_COMBAT_STRENGTH
1,ALLIANCE_ECONOMIC,ALLIANCE_ADD_GOLD_TO_ORIGIN_TRADE_ROUTE
1,ALLIANCE_ECONOMIC,ALLIANCE_ADD_GOLD_TO_DESTINATION_TRADE_ROUTE
1,ALLIANCE_RELIGIOUS,ALLIANCE_NO_RELIGIOUS_PRESSURE
1,ALLIANCE_RELIGIOUS,ALLIANCE_ADD_FAITH_TO_ORIGIN_TRADE_ROUTE
1,ALLIANCE_RELIGIOUS,ALLIANCE_ADD_FAITH_TO_DESTINATION_TRADE_ROUTE
1,ALLIANCE_CULTURAL,ALLIANCE_NO_CULTURE_PRESSURE
1,ALLIANCE_CULTURAL,ALLIANCE_ADD_CULTURE_TO_ORIGIN_TRADE_ROUTE
1,ALLIANCE_CULTURAL,ALLIANCE_ADD_CULTURE_TO_DESTINATION_TRADE_ROUTE
1,ALLIANCE_RESEARCH,ALLIANCE_ADD_SCIENCE_TO_ORIGIN_TRADE_ROUTE
1,ALLIANCE_RESEARCH,ALLIANCE_ADD_SCIENCE_TO_DESTINATION_TRADE_ROUTE
2,ALLIANCE_ECONOMIC,ALLIANCE_ENVOY_POINTS_FROM_ALLIANCE
2,ALLIANCE_MILITARY,ALLIANCE_SHARE_VISIBILITY
2,ALLIANCE_MILITARY,ALLIANCE_INCREASE_PRODUCTION_WHEN_WAR
2,ALLIANCE_RELIGIOUS,ALLIANCE_ADJUST_RELIGIOUS_COMBAT_STRENGTH
2,ALLIANCE_CULTURAL,ALLIANCE_ADJUST_DISTRICT_GREAT_PEOPLE_POINTS
2,ALLIANCE_RESEARCH,ALLIANCE_RESEARCH_AGREEMENT
3,ALLIANCE_MILITARY,ALLIANCE_FREE_UNIT_UPGRADE
3,ALLIANCE_RELIGIOUS,ALLIANCE_YIELDS_FROM_FOLLOWING_ALLY_RELIGION
3,ALLIANCE_RELIGIOUS,ALLIANCE_RELIGIOUS_PRESSURE
3,ALLIANCE_RESEARCH,ALLIANCE_SCIENCE_SHARING_FROM_ALLY
3,ALLIANCE_CULTURAL,ALLIANCE_TOURISM_SHARING_FROM_ALLY
3,ALLIANCE_CULTURAL,ALLIANCE_CULTURE_SHARING_FROM_ALLY
3,ALLIANCE_ECONOMIC,ALLIANCE_SHARE_SUZERAIN
