AllowedMoveType,Value,IsHomeland,IsTactical
First Turn Settler,0,1,0
Move to Safety,1,1,1
Explore Land,2,1,0
End Turn,3,1,0
Attack High Priority,4,0,1
Attack Medium Priority,5,0,1
Attack Low Priority,6,0,1
Attack Civilians,7,1,1
Defend Camps,8,0,1
Attack Camps,9,0,1
Heal,10,0,1
Chase Target,11,0,1
Wander,12,0,1
Pillage Improvement,13,0,1
Pillage District,14,0,1
Gather Goody Hut,15,1,1
Great Person Move,16,1,0
Promotion,17,1,1
Missionary Move,18,1,0
Wander Near Camp,19,0,1
Religious Combat,20,1,0
Wander Near City,21,0,1
Coastal Raid,22,0,1
Plunder Trader,23,1,1
Attack District,24,0,1
Found Park,25,1,0
Make Military Formation,26,1,0
Air Deploy,27,0,1
Air Rebase,28,0,1
Air Assault,29,0,1
Builder Outside Ring,30,1,0
Leader Formation,31,0,1
Barbarian Rampage,32,0,1
Charge Heal,33,1,0
Support Formation,34,0,1
Rock Band Move,35,1,0
