ListType,OperationDef,RemoveRef
Default_List,Attack Barb Camp,0
Default_List,Barb Camp Tech Boost,0
Default_List,Attack Enemy City,0
Default_List,Wartime Attack Enemy City,0
Default_List,Attack Walled City,0
Default_List,Wartime Attack Walled City,0
Default_List,Civilian Builder Capture,0
Default_List,Settle New City,0
Default_List,Nuclear Assault,0
Default_List,Aid Ally,0
Default_List,City Defense,0
Default_List,Naval Superiority,0
Barbarian Lover,Attack Barb Camp,1
Barbarian Ops,Barbarian Builder Capture,0
Barbarian Ops,Barbarian Attack,0
Barbarian Ops,Barbarian City Assault,0
Free Cities Operations,Free Cities Raid,0
