DistrictType,MinimumValue,AppealChange,Description
DISTRICT_NEIGHBORHOOD,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING
DISTRICT_NEIGHBORHOOD,2,1,LOC_TOOLTIP_APPEAL_CHARMING
DISTRICT_NEIGHBORHOOD,-1,0,LOC_TOOLTIP_APPEAL_AVERAGE
DISTRICT_NEIGHBORHOOD,-3,-1,LOC_TOOLTIP_APPEAL_UNINVITING
DISTRICT_NEIGHBORHOOD,-100,-2,LOC_TOOLTIP_APPEAL_DISGUSTING
DISTRICT_PRESERVE,4,2,LOC_TOOLTIP_APPEAL_BREATHTAKING
DISTRICT_PRESERVE,2,1,LOC_TOOLTIP_APPEAL_CHARMING
DISTRICT_PRESERVE,-1,0,LOC_TOOLTIP_APPEAL_AVERAGE
DISTRICT_PRESERVE,-3,-1,LOC_TOOLTIP_APPEAL_UNINVITING
DISTRICT_PRESERVE,-100,-1,LOC_TOOLTIP_APPEAL_DISGUSTING
