AttackForceType,MinTargetDifficulty,MaxTargetDifficulty,SpawnRate,MeleeTag,NumMeleeUnits,RangeTag,NumRangeUnits,SiegeTag,NumSiegeUnits,SupportTag,NumSupportUnits,RaidingForce
LowDifficultyStandardRaid,,DIFFICULTY_CHIEFTAIN,2,CLASS_MELEE,1,,0,,0,,0,1
StandardRaid,DIFFICULTY_WARLORD,DIFFICULTY_EMPEROR,2,CLASS_MELEE,2,CLASS_RANGED,1,,0,,0,1
HighDifficultyStandardRaid,DIFFICULTY_IMMORTAL,,1,CLASS_MELEE,3,CLASS_RANGED,2,,0,,0,1
LowDifficultyStandardAttack,,DIFFICULTY_CHIEFTAIN,2,CLASS_MELEE,2,CLASS_RANGED,1,CLASS_SIEGE,1,,0,0
StandardAttack,DIFFICULTY_WARLORD,DIFFICULTY_EMPEROR,2,CLASS_MELEE,3,CLASS_RANGED,2,CLASS_SIEGE,1,CLASS_BATTERING_RAM,1,0
HighDifficultyStandardAttack,DIFFICULTY_IMMORTAL,,1,CLASS_MELEE,4,CLASS_RANGED,3,CLASS_SIEGE,2,CLASS_BATTERING_RAM,1,0
LowDifficultyCavalryRaid,,DIFFICULTY_CHIEFTAIN,2,CLASS_LIGHT_CAVALRY,1,,0,,0,,0,1
CavalryRaid,DIFFICULTY_WARLORD,DIFFICULTY_EMPEROR,2,CLASS_LIGHT_CAVALRY,2,CLASS_MOBILE_RANGED,1,,0,,0,1
HighDifficultyCavalryRaid,DIFFICULTY_IMMORTAL,,1,CLASS_LIGHT_CAVALRY,3,CLASS_MOBILE_RANGED,2,,0,,0,1
LowDifficultyCavalryAttack,,DIFFICULTY_CHIEFTAIN,2,CLASS_LIGHT_CAVALRY,2,CLASS_MOBILE_RANGED,1,CLASS_HEAVY_CAVALRY,1,,0,0
CavalryAttack,DIFFICULTY_WARLORD,DIFFICULTY_EMPEROR,2,CLASS_LIGHT_CAVALRY,3,CLASS_MOBILE_RANGED,2,CLASS_HEAVY_CAVALRY,1,,0,0
HighDifficultyCavalryAttack,DIFFICULTY_IMMORTAL,,1,CLASS_LIGHT_CAVALRY,4,CLASS_MOBILE_RANGED,3,CLASS_HEAVY_CAVALRY,2,,0,0
LowDifficultyNavalRaid,,DIFFICULTY_CHIEFTAIN,2,CLASS_NAVAL_MELEE,1,,0,,0,,0,1
NavalRaid,DIFFICULTY_WARLORD,DIFFICULTY_EMPEROR,2,CLASS_NAVAL_MELEE,2,CLASS_NAVAL_RANGED,1,,0,,0,1
HighDifficultyNavalRaid,DIFFICULTY_IMMORTAL,,1,CLASS_NAVAL_MELEE,3,CLASS_NAVAL_RANGED,2,,0,,0,1
LowDifficultyNavalAttack,,DIFFICULTY_CHIEFTAIN,2,CLASS_NAVAL_MELEE,2,CLASS_NAVAL_RANGED,1,CLASS_NAVAL_RANGED,1,,0,0
NavalAttack,DIFFICULTY_WARLORD,DIFFICULTY_EMPEROR,2,CLASS_NAVAL_MELEE,3,CLASS_NAVAL_RANGED,2,CLASS_NAVAL_RANGED,1,,0,0
HighDifficultyNavalAttack,DIFFICULTY_IMMORTAL,,1,CLASS_NAVAL_MELEE,4,CLASS_NAVAL_RANGED,3,CLASS_NAVAL_RANGED,2,,0,0
