AttackForceType,TribeType,SpecificTribeType
LowDifficultyStandardRaid,TRIBE_CLAN_MELEE_OPEN,
StandardRaid,TRIBE_CLAN_MELEE_OPEN,
HighDifficultyStandardRaid,TRIBE_CLAN_MELEE_OPEN,
LowDifficultyStandardAttack,TRIBE_CLAN_MELEE_OPEN,
StandardAttack,TRIBE_CLAN_MELEE_OPEN,
HighDifficultyStandardAttack,TRIBE_CLAN_MELEE_OPEN,
LowDifficultyStandardRaid,TRIBE_CLAN_MELEE_FOREST,
StandardRaid,TRIBE_CLAN_MELEE_FOREST,
HighDifficultyStandardRaid,TRIBE_CLAN_MELEE_FOREST,
LowDifficultyStandardAttack,TRIBE_CLAN_MELEE_FOREST,
StandardAttack,TRIBE_CLAN_MELEE_FOREST,
HighDifficultyStandardAttack,TRIBE_CLAN_MELEE_FOREST,
LowDifficultyStandardRaid,TRIBE_CLAN_MELEE_HILLS,
StandardRaid,TRIBE_CLAN_MELEE_HILLS,
HighDifficultyStandardRaid,TRIBE_CLAN_MELEE_HILLS,
LowDifficultyStandardAttack,TRIBE_CLAN_MELEE_HILLS,
StandardAttack,TRIBE_CLAN_MELEE_HILLS,
HighDifficultyStandardAttack,TRIBE_CLAN_MELEE_HILLS,
LowDifficultyCavalryRaid,TRIBE_CLAN_CAVALRY_OPEN,
CavalryRaid,TRIBE_CLAN_CAVALRY_OPEN,
HighDifficultyCavalryRaid,TRIBE_CLAN_CAVALRY_OPEN,
LowDifficultyCavalryAttack,TRIBE_CLAN_CAVALRY_OPEN,
CavalryAttack,TRIBE_CLAN_CAVALRY_OPEN,
HighDifficultyCavalryAttack,TRIBE_CLAN_CAVALRY_OPEN,
LowDifficultyCavalryRaid,TRIBE_CLAN_CAVALRY_JUNGLE,
CavalryRaid,TRIBE_CLAN_CAVALRY_JUNGLE,
HighDifficultyCavalryRaid,TRIBE_CLAN_CAVALRY_JUNGLE,
LowDifficultyCavalryAttack,TRIBE_CLAN_CAVALRY_JUNGLE,
CavalryAttack,TRIBE_CLAN_CAVALRY_JUNGLE,
HighDifficultyCavalryAttack,TRIBE_CLAN_CAVALRY_JUNGLE,
LowDifficultyCavalryRaid,TRIBE_CLAN_CAVALRY_CHARIOT,
CavalryRaid,TRIBE_CLAN_CAVALRY_CHARIOT,
HighDifficultyCavalryRaid,TRIBE_CLAN_CAVALRY_CHARIOT,
LowDifficultyCavalryAttack,TRIBE_CLAN_CAVALRY_CHARIOT,
CavalryAttack,TRIBE_CLAN_CAVALRY_CHARIOT,
HighDifficultyCavalryAttack,TRIBE_CLAN_CAVALRY_CHARIOT,
LowDifficultyNavalRaid,TRIBE_CLAN_NAVAL,
NavalRaid,TRIBE_CLAN_NAVAL,
HighDifficultyNavalRaid,TRIBE_CLAN_NAVAL,
LowDifficultyNavalAttack,TRIBE_CLAN_NAVAL,
NavalAttack,TRIBE_CLAN_NAVAL,
HighDifficultyNavalAttack,TRIBE_CLAN_NAVAL,
