MapConditionSetType,TribeType,Test,Priority
TRIBE_CONDITION_SET_CAVALRY_OPEN,TRIBE_CLAN_CAVALRY_OPEN,ALL,5
TRIBE_CONDITION_SET_CAVALRY_JUNGLE,TRIBE_CLAN_CAVALRY_JUNGLE,ALL,5
TRIBE_CONDITION_SET_CAVALRY_CHARIOT,TRIBE_CLAN_CAVALRY_CHARIOT,ALL,5
TRIBE_CONDITION_SET_MELEE_FOREST,TRIBE_CLAN_MELEE_FOREST,ALL,1
TRIBE_CONDITION_SET_MELEE_GRASS_HILLS,TRIBE_CLAN_MELEE_HILLS,ANY,1
TRIBE_CONDITION_SET_MELEE_PLAINS_HILLS,TRIBE_CLAN_MELEE_HILLS,ANY,1
TRIBE_CONDITION_SET_MELEE_DESERT_HILLS,TRIBE_CLAN_MELEE_HILLS,ANY,1
TRIBE_CONDITION_SET_MELEE_TUNDRA_HILLS,TRIBE_CLAN_MELEE_HILLS,ANY,1
TRIBE_CONDITION_SET_MELEE_SNOW_HILLS,TRIBE_CLAN_MELEE_HILLS,ANY,1
TRIBE_CONDITION_SET_MELEE_OPEN_GRASS,TRIBE_CLAN_MELEE_OPEN,ALL,1
TRIBE_CONDITION_SET_MELEE_OPEN_PLAINS,TRIBE_CLAN_MELEE_OPEN,ALL,1
TRIBE_CONDITION_SET_MELEE_OPEN_DESERT,TRIBE_CLAN_MELEE_OPEN,ALL,1
TRIBE_CONDITION_SET_MELEE_OPEN_TUNDRA,TRIBE_CLAN_MELEE_OPEN,ALL,1
TRIBE_CONDITION_SET_MELEE_OPEN_SNOW,TRIBE_CLAN_MELEE_OPEN,ALL,1
