MapConditionSetType,TerrainType,FeatureType,ResourceType,Range,Invert
TRIBE_CONDITION_SET_MELEE_OPEN_GRASS,TERRAIN_GRASS_HILLS,,,1,1
TRIBE_CONDITION_SET_MELEE_OPEN_PLAINS,TERRAIN_PLAINS_HILLS,,,1,1
TRIBE_CONDITION_SET_MELEE_OPEN_DESERT,TERRAIN_DESERT_HILLS,,,1,1
TRIBE_CONDITION_SET_MELEE_OPEN_TUNDRA,TERRAIN_TUNDRA_HILLS,,,1,1
TRIBE_CONDITION_SET_MELEE_OPEN_SNOW,TERRAIN_SNOW_HILLS,,,1,1
TRIBE_CONDITION_SET_MELEE_FOREST,,FEATURE_FOREST,,1,0
TRIBE_CONDITION_SET_MELEE_GRASS_HILLS,TERRAIN_GRASS_HILLS,,,1,0
TRIBE_CONDITION_SET_MELEE_PLAINS_HILLS,TERRAIN_PLAINS_HILLS,,,1,0
TRIBE_CONDITION_SET_MELEE_DESERT_HILLS,TERRAIN_DESERT_HILLS,,,1,0
TRIBE_CONDITION_SET_MELEE_TUNDRA_HILLS,TERRAIN_TUNDRA_HILLS,,,1,0
TRIBE_CONDITION_SET_MELEE_SNOW_HILLS,TERRAIN_SNOW_HILLS,,,1,0
TRIBE_CONDITION_SET_CAVALRY_OPEN,,,RESOURCE_HORSES,3,0
TRIBE_CONDITION_SET_CAVALRY_OPEN,,FEATURE_FOREST,,0,1
TRIBE_CONDITION_SET_CAVALRY_OPEN,,FEATURE_JUNGLE,,1,1
TRIBE_CONDITION_SET_CAVALRY_JUNGLE,,,RESOURCE_IVORY,3,0
TRIBE_CONDITION_SET_CAVALRY_JUNGLE,,FEATURE_JUNGLE,,1,0
TRIBE_CONDITION_SET_CAVALRY_CHARIOT,,,RESOURCE_HORSES,3,0
TRIBE_CONDITION_SET_CAVALRY_CHARIOT,TERRAIN_DESERT,,,1,0
