TreeName,NodeId,JumpTo,NodeType,PrimaryKey
Barbarian City Attack,0,26,Concurrent,1
Barbarian City Attack,1,0,Operation Defend Units,2
Barbarian City Attack,2,26,Sequence,3
Barbarian City Attack,3,0,Decode Trigger,4
Barbarian City Attack,4,11,Sequence,5
Barbarian City Attack,5,0,Barbarian Spawn Change,6
Barbarian City Attack,6,10,Priority,7
Barbarian City Attack,7,9,Turn Limiter,8
Barbarian City Attack,8,0,Barbarian Recruit,9
Barbarian City Attack,9,0,Barbarian Spawn Change,10
Barbarian City Attack,10,0,Barbarian Spawn Change,11
Barbarian City Attack,11,14,Concurrent,12
Barbarian City Attack,12,0,Make Formation,13
Barbarian City Attack,13,0,Operation Move,14
Barbarian City Attack,14,18,Concurrent,15
Barbarian City Attack,15,0,Operation Attack Units,16
Barbarian City Attack,16,0,Make Formation,17
Barbarian City Attack,17,0,Operation Move,18
Barbarian City Attack,18,25,Concurrent,19
Barbarian City Attack,19,0,Operation Siege City,20
Barbarian City Attack,20,0,Operation Attack City,21
Barbarian City Attack,21,0,Operation Attack Units,22
Barbarian City Attack,22,0,Make Formation,23
Barbarian City Attack,23,0,Operation Pillage,24
Barbarian City Attack,24,0,Operation Move,25
Barbarian City Attack,25,0,Notify Owner,26
Barbarian Found City,0,6,Sequence,27
Barbarian Found City,1,0,Decode Trigger,28
Barbarian Found City,2,5,Concurrent,29
Barbarian Found City,3,0,Protect Unit,30
Barbarian Found City,4,0,Move Unit,31
Barbarian Found City,5,0,Notify Owner,32
Build City Building,0,6,Sequence,33
Build City Building,1,0,Decode Trigger,34
Build City Building,2,4,Contract Manager Decorator,35
Build City Building,3,0,Add Goal Tech,36
Build City Building,4,6,Contract Manager Decorator,37
Build City Building,5,0,Build Unit,38
Build City District,0,35,Sequence,39
Build City District,1,0,Decode Trigger,40
Build City District,2,9,Concurrent,41
Build City District,3,7,Sequence,42
Build City District,4,6,Contract Manager Decorator,43
Build City District,5,0,Purchase Plot,44
Build City District,6,0,Reserve Plot,45
Build City District,7,9,Contract Manager Decorator,46
Build City District,8,0,Add Goal Tech,47
Build City District,9,35,Sequence,48
Build City District,10,22,Priority,49
Build City District,11,0,Check Plot,50
Build City District,12,22,Sequence,51
Build City District,13,15,Contract Manager Decorator,52
Build City District,14,0,Add Goal Tech,53
Build City District,15,22,Priority,54
Build City District,16,0,Find Available Unit,55
Build City District,17,20,Concurrent,56
Build City District,18,0,Protect Unit,57
Build City District,19,0,Move Unit,58
Build City District,20,0,Clear Plot,59
Build City District,21,0,Reserve Plot,60
Build City District,22,35,Concurrent,61
Build City District,23,25,Contract Manager Decorator,62
Build City District,24,0,Build Unit,63
Build City District,25,35,Has Player Ability,64
Build City District,26,35,Contract Manager Decorator,65
Build City District,27,35,Sequence,66
Build City District,28,33,Priority,67
Build City District,29,0,Find Available Unit,68
Build City District,30,32,Contract Manager Decorator,69
Build City District,31,0,Build Unit,70
Build City District,32,0,Cancel Contract,71
Build City District,33,0,Move Unit,72
Build City District,34,0,Build Production,73
Build City Improvement,0,29,Sequence,74
Build City Improvement,1,0,Decode Trigger,75
Build City Improvement,2,29,Sequence,76
Build City Improvement,3,19,Concurrent,77
Build City Improvement,4,0,Reserve Plot,78
Build City Improvement,5,7,Contract Manager Decorator,79
Build City Improvement,6,0,Add Goal Tech,80
Build City Improvement,7,19,Priority,81
Build City Improvement,8,0,Check Plot,82
Build City Improvement,9,19,Sequence,83
Build City Improvement,10,14,Priority,84
Build City Improvement,11,0,Find Available Unit,85
Build City Improvement,12,14,Contract Manager Decorator,86
Build City Improvement,13,0,Build Unit,87
Build City Improvement,14,0,Cancel Contract,88
Build City Improvement,15,18,Concurrent,89
Build City Improvement,16,0,Protect Unit,90
Build City Improvement,17,0,Move Unit,91
Build City Improvement,18,0,Clear Plot,92
Build City Improvement,19,29,Sequence,93
Build City Improvement,20,24,Priority,94
Build City Improvement,21,0,Find Available Unit,95
Build City Improvement,22,24,Contract Manager Decorator,96
Build City Improvement,23,0,Build Unit,97
Build City Improvement,24,0,Cancel Contract,98
Build City Improvement,25,28,Concurrent,99
Build City Improvement,26,0,Protect Unit,100
Build City Improvement,27,0,Move Unit,101
Build City Improvement,28,0,Build Improvement,102
Build Trigger Building,0,21,Sequence,103
Build Trigger Building,1,0,Decode Trigger,104
Build Trigger Building,2,0,Add Goal Tech,105
Build Trigger Building,3,0,Choose City,106
Build Trigger Building,4,6,Contract Manager Decorator,107
Build Trigger Building,5,0,Purchase Plot,108
Build Trigger Building,6,0,Reserve Plot,109
Build Trigger Building,7,19,Priority,110
Build Trigger Building,8,0,Check Plot,111
Build Trigger Building,9,19,Sequence,112
Build Trigger Building,10,0,Add Goal Tech,113
Build Trigger Building,11,15,Priority,114
Build Trigger Building,12,0,Find Available Unit,115
Build Trigger Building,13,15,Contract Manager Decorator,116
Build Trigger Building,14,0,Build Unit,117
Build Trigger Building,15,18,Concurrent,118
Build Trigger Building,16,0,Protect Unit,119
Build Trigger Building,17,0,Move Unit,120
Build Trigger Building,18,0,Clear Plot,121
Build Trigger Building,19,21,Contract Manager Decorator,122
Build Trigger Building,20,0,Build Unit,123
Build Trigger Improvement,0,24,Sequence,124
Build Trigger Improvement,1,0,Decode Trigger,125
Build Trigger Improvement,2,0,Choose Improvement,126
Build Trigger Improvement,3,5,Turn Limiter,127
Build Trigger Improvement,4,0,Add Goal Tech,128
Build Trigger Improvement,5,16,Priority,129
Build Trigger Improvement,6,0,Check Plot,130
Build Trigger Improvement,7,16,Sequence,131
Build Trigger Improvement,8,12,Priority,132
Build Trigger Improvement,9,0,Find Available Unit,133
Build Trigger Improvement,10,12,Contract Manager Decorator,134
Build Trigger Improvement,11,0,Build Unit,135
