BeliefType,ModifierID
BELIEF_DANCE_OF_THE_AURORA,DANCE_OF_THE_AURORA_FAITHTUNDRAADJACENCY
BELIEF_DANCE_OF_THE_AURORA,DANCE_OF_THE_AURORA_FAITHTUNDRAHILLSADJACENCY
BELIEF_DESERT_FOLKLORE,DESERT_FOLKLORE_FAITHDESERTADJACENCY
BELIEF_DESERT_FOLKLORE,DESERT_FOLKLORE_FAITHDESERTHILLSADJACENCY
BELIEF_SACRED_PATH,SACRED_PATH_FAITHFEATUREADJACENCY
BELIEF_MONUMENT_TO_THE_GODS,MONUMENT_TO_THE_GODS_ANCIENTCLASSICALWONDER
BELIEF_DIVINE_SPARK,DIVINE_SPARK_HOLY_SITE
BELIEF_GOD_OF_THE_SEA,GOD_OF_THE_SEA_FISHINGBOATS_PRODUCTION
BELIEF_GOD_OF_THE_OPEN_SKY,GOD_OF_THE_OPEN_SKY_PASTURE_CULTURE
BELIEF_GODDESS_OF_THE_HUNT,GODDESS_OF_THE_HUNT_CAMP_FOOD
BELIEF_STONE_CIRCLES,STONE_CIRCLES_QUARRY_FAITH
BELIEF_RELIGIOUS_IDOLS,RELIGIOUS_IDOLS_BONUS_MINE_FAITH
BELIEF_RELIGIOUS_IDOLS,RELIGIOUS_IDOLS_LUXURY_MINE_FAITH
BELIEF_GOD_OF_THE_FORGE,GOD_OF_THE_FORGE_UNIT_ANCIENT_CLASSICAL_PRODUCTION
BELIEF_GOD_OF_WAR,GOD_OF_WAR_FAITH_KILLS
BELIEF_GOD_OF_HEALING,GOD_OF_HEALING_UNIT_HEALING
BELIEF_INITIATION_RITES,INITIATION_RITES_FAITH_DISPERSAL
BELIEF_FERTILITY_RITES,FERTILITY_RITES_GROWTH
BELIEF_RELIGIOUS_SETTLEMENTS,RELIGIOUS_SETTLEMENTS_CULTUREBORDER
BELIEF_DIVINE_INSPIRATION,DIVINE_INSPIRATION_WONDER_FAITH
BELIEF_JESUIT_EDUCATION,JESUIT_EDUCATION_SCIENCE_BUILDINGS
BELIEF_JESUIT_EDUCATION,JESUIT_EDUCATION_CULTURE_BUILDINGS
BELIEF_RELIQUARIES,RELIQUARIES_RELIC_FAITH
BELIEF_RELIQUARIES,RELIQUARIES_RELIC_TOURISM
BELIEF_ZEN_MEDITATION,ZEN_MEDITATION_AMENITY
BELIEF_LAY_MINISTRY,LAY_MINISTRY_CULTURE_DISTRICTS
BELIEF_LAY_MINISTRY,LAY_MINISTRY_FAITH_DISTRICTS
BELIEF_STEWARDSHIP,STEWARDSHIP_SCIENCE_DISTRICTS
BELIEF_STEWARDSHIP,STEWARDSHIP_GOLD_DISTRICTS
BELIEF_CATHEDRAL,ALLOW_CATHEDRAL
BELIEF_GURDWARA,ALLOW_GURDWARA
BELIEF_MEETING_HOUSE,ALLOW_MEETING_HOUSE
BELIEF_MOSQUE,ALLOW_MOSQUE
BELIEF_PAGODA,ALLOW_PAGODA
BELIEF_SYNAGOGUE,ALLOW_SYNAGOGUE
BELIEF_WAT,ALLOW_WAT
BELIEF_HOLY_ORDER,HOLY_ORDER_MISSIONARY_DISCOUNT
BELIEF_HOLY_ORDER,HOLY_ORDER_APOSTLE_DISCOUNT
BELIEF_DEFENDER_OF_FAITH,DEFENDER_OF_FAITH_COMBAT_BONUS
BELIEF_ITINERANT_PREACHERS,ITINERANT_PREACHERS_SPREAD_DISTANCE
BELIEF_JUST_WAR,JUST_WAR_COMBAT_BONUS
BELIEF_MISSIONARY_ZEAL,MISSIONARY_ZEAL_IGNORE_TERRAIN
BELIEF_MONASTIC_ISOLATION,MONASTIC_ISOLATION_REDUCE_COMBAT_LOSS
BELIEF_SCRIPTURE,SCRIPTURE_SPEAD_STRENGTH
BELIEF_CITY_PATRON_GODDESS,CITY_PATRON_GODDESS_DISTRICT_PRODUCTION
BELIEF_RELIGIOUS_UNITY,RELIGIOUS_UNITY_ENVOY_ON_ADOPTION
BELIEF_CHORAL_MUSIC,CHORAL_MUSIC_SHRINE_CULTURE
BELIEF_CHORAL_MUSIC,CHORAL_MUSIC_TEMPLE_CULTURE
BELIEF_WARRIOR_MONKS,ALLOW_WARRIOR_MONKS
BELIEF_RELIGIOUS_COLONIZATION,RELIGIOUS_COLONIZATION_AUTO_SPREAD
BELIEF_STUPA,ALLOW_STUPA
BELIEF_DAR_E_MEHR,ALLOW_DAR_E_MEHR
BELIEF_PAPAL_PRIMACY,PAPAL_PRIMACY_PRESSURE_ON_ADOPTION
BELIEF_LADY_OF_THE_REEDS_AND_MARSHES,LADY_OF_THE_REEDS_PRODUCTION2
BELIEF_RIVER_GODDESS,RIVER_GODDESS_HOLY_SITE_AMENITIES
BELIEF_RIVER_GODDESS,RIVER_GODDESS_HOLY_SITE_HOUSING
BELIEF_GODDESS_OF_FIRE,GODDESS_OF_FIRE_FEATURES_FAITH
BELIEF_DIVINE_SPARK,DIVINE_SPARK_SCIENTIST
BELIEF_DIVINE_SPARK,DIVINE_SPARK_WRITER
BELIEF_GODDESS_OF_FESTIVALS,GODDESS_OF_FESTIVALS_PLANTATION_CULTURE
BELIEF_FERTILITY_RITES,FERTILITY_RITES_BUILDER
BELIEF_RELIGIOUS_SETTLEMENTS,RELIGIOUS_SETTLEMENTS_SETTLER
BELIEF_EARTH_GODDESS,EARTH_GODDESS_APPEAL_FAITH
BELIEF_INITIATION_RITES,INITIATION_RITES_HEALING_DISPERSAL
BELIEF_GODDESS_OF_THE_HUNT,GODDESS_OF_THE_HUNT_CAMP_PRODUCTION
BELIEF_GOD_OF_CRAFTSMEN,GOD_OF_CRAFTSMEN_STRATEGIC_IMPROVED_PRODUCTION
BELIEF_GOD_OF_CRAFTSMEN,GOD_OF_CRAFTSMEN_STRATEGIC_IMPROVED_FAITH
BELIEF_HOLY_WATERS,HOLY_WATERS_HEALING
BELIEF_FEED_THE_WORLD,FEED_THE_WORLD_SHRINE_FOOD3
BELIEF_FEED_THE_WORLD,FEED_THE_WORLD_TEMPLE_FOOD3
BELIEF_FEED_THE_WORLD,FEED_THE_WORLD_SHRINE_HOUSING
BELIEF_FEED_THE_WORLD,FEED_THE_WORLD_TEMPLE_HOUSING
BELIEF_RELIGIOUS_COMMUNITY,RELIGIOUS_COMMUNITY_HOLY_SITE_TRADING
BELIEF_RELIGIOUS_COMMUNITY,RELIGIOUS_COMMUNITY_SHRINE_TRADING
BELIEF_RELIGIOUS_COMMUNITY,RELIGIOUS_COMMUNITY_TEMPLE_TRADING
BELIEF_RELIGIOUS_COMMUNITY,RELIGIOUS_COMMUNITY_TIER3_TRADING
BELIEF_WARRIOR_MONKS,WARRIOR_MONKS_CULTURE_BOMB_TRIGGER_HOLY_SITE
BELIEF_WORK_ETHIC,WORK_ETHIC_ADJACENCY_PRODUCTION_2
BELIEF_CROSS_CULTURAL_DIALOGUE,CROSS_CULTURAL_DIALOGUE_SCIENCE_FOLLOWER
BELIEF_PILGRIMAGE,PILGRIMAGE_FAITH_CITY
BELIEF_SACRED_PLACES,SACRED_PLACES_FAITH_WONDER_CITY
BELIEF_SACRED_PLACES,SACRED_PLACES_CULTURE_WONDER_CITY
BELIEF_SACRED_PLACES,SACRED_PLACES_SCIENCE_WONDER_CITY
