BeliefType,Name,Description,BeliefClassType
BELIEF_DANCE_OF_THE_AURORA,LOC_BELIEF_DANCE_OF_THE_AURORA_NAME,LOC_BELIEF_DANCE_OF_THE_AURORA_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_DESERT_FOLKLORE,LOC_BELIEF_DESERT_FOLKLORE_NAME,LOC_BELIEF_DESERT_FOLKLORE_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_SACRED_PATH,LOC_BELIEF_SACRED_PATH_NAME,LOC_BELIEF_SACRED_PATH_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_RIVER_GODDESS,LOC_BELIEF_RIVER_GODDESS_NAME,LOC_BELIEF_RIVER_GODDESS_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_MONUMENT_TO_THE_GODS,LOC_BELIEF_MONUMENT_TO_THE_GODS_NAME,LOC_BELIEF_MONUMENT_TO_THE_GODS_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_DIVINE_SPARK,LOC_BELIEF_DIVINE_SPARK_NAME,LOC_BELIEF_DIVINE_SPARK_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_LADY_OF_THE_REEDS_AND_MARSHES,LOC_BELIEF_LADY_OF_THE_REEDS_AND_MARSHES_NAME,LOC_BELIEF_LADY_OF_THE_REEDS_AND_MARSHES_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_GOD_OF_THE_SEA,LOC_BELIEF_GOD_OF_THE_SEA_NAME,LOC_BELIEF_GOD_OF_THE_SEA_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_GOD_OF_THE_OPEN_SKY,LOC_BELIEF_GOD_OF_THE_OPEN_SKY_NAME,LOC_BELIEF_GOD_OF_THE_OPEN_SKY_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_GODDESS_OF_THE_HUNT,LOC_BELIEF_GODDESS_OF_THE_HUNT_NAME,LOC_BELIEF_GODDESS_OF_THE_HUNT_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_STONE_CIRCLES,LOC_BELIEF_STONE_CIRCLES_NAME,LOC_BELIEF_STONE_CIRCLES_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_RELIGIOUS_IDOLS,LOC_BELIEF_RELIGIOUS_IDOLS_NAME,LOC_BELIEF_RELIGIOUS_IDOLS_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_GOD_OF_CRAFTSMEN,LOC_BELIEF_GOD_OF_CRAFTSMEN_NAME,LOC_BELIEF_GOD_OF_CRAFTSMEN_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_GODDESS_OF_FESTIVALS,LOC_BELIEF_GODDESS_OF_FESTIVALS_NAME,LOC_BELIEF_GODDESS_OF_FESTIVALS_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_GOD_OF_THE_FORGE,LOC_BELIEF_GOD_OF_THE_FORGE_NAME,LOC_BELIEF_GOD_OF_THE_FORGE_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_INITIATION_RITES,LOC_BELIEF_INITIATION_RITES_NAME,LOC_BELIEF_INITIATION_RITES_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
