Unit,Era,Quantity,OnDistrictCreated,District,MinDifficulty,DifficultyDelta
UNIT_WARRIOR,ERA_ANCIENT,2,0,DISTRICT_CITY_CENTER,,0.0
UNIT_WARRIOR,ERA_ANCIENT,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
UNIT_WARRIOR,ERA_CLASSICAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_WARRIOR,ERA_CLASSICAL,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
UNIT_SPEARMAN,ERA_CLASSICAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_BUILDER,ERA_MEDIEVAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_SPEARMAN,ERA_MEDIEVAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_ARCHER,ERA_MEDIEVAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_SWORDSMAN,ERA_MEDIEVAL,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
UNIT_BUILDER,ERA_RENAISSANCE,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_PIKEMAN,ERA_RENAISSANCE,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_CROSSBOWMAN,ERA_RENAISSANCE,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_SWORDSMAN,ERA_RENAISSANCE,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
UNIT_BUILDER,ERA_INDUSTRIAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_TRADER,ERA_INDUSTRIAL,1,1,DISTRICT_CITY_CENTER,,0.0
UNIT_PIKE_AND_SHOT,ERA_INDUSTRIAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_CROSSBOWMAN,ERA_INDUSTRIAL,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_MUSKETMAN,ERA_INDUSTRIAL,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
UNIT_BUILDER,ERA_MODERN,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_TRADER,ERA_MODERN,1,1,DISTRICT_CITY_CENTER,,0.0
UNIT_PIKE_AND_SHOT,ERA_MODERN,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_FIELD_CANNON,ERA_MODERN,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_MUSKETMAN,ERA_MODERN,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
UNIT_BUILDER,ERA_ATOMIC,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_TRADER,ERA_ATOMIC,1,1,DISTRICT_CITY_CENTER,,0.0
UNIT_INFANTRY,ERA_ATOMIC,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_FIELD_CANNON,ERA_ATOMIC,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_INFANTRY,ERA_ATOMIC,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
UNIT_BUILDER,ERA_INFORMATION,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_TRADER,ERA_INFORMATION,1,1,DISTRICT_CITY_CENTER,,0.0
UNIT_INFANTRY,ERA_INFORMATION,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_MACHINE_GUN,ERA_INFORMATION,1,0,DISTRICT_CITY_CENTER,,0.0
UNIT_INFANTRY,ERA_INFORMATION,1,0,DISTRICT_CITY_CENTER,DIFFICULTY_EMPEROR,1.0
