HandlerId,TechBoostType,BehaviorTree,OperationName,LuaScript,UniquenessTag,WinnowFunction
DEFAULT_HANDLER_MEET_CIV,BOOST_TRIGGER_MEET_CIV,Build Trigger Unit,,,SCOUT,HasScout
DEFAULT_HANDLER_ENCOUNTER_UNIT,BOOST_TRIGGER_ENCOUNTER_UNIT,Build Trigger Unit,,,SCOUT,HasScout
DEFAULT_HANDLER_TRAIN_UNIT,BOOST_TRIGGER_TRAIN_UNIT,Build Trigger Unit,,,TRAIN,CannotDeployUnit
DEFAULT_HANDLER_OWN_TWO_UNIT_TYPES,BOOST_TRIGGER_OWN_TWO_UNIT_TYPES,Build Trigger Unit,,,TRAIN,
DEFAULT_HANDLER_CONSTRUCT_BUILDING,BOOST_TRIGGER_CONSTRUCT_BUILDING,Build Trigger Building,,,BUILDING,NoTechFor
DEFAULT_HANDLER_KILL_WITH,BOOST_TRIGGER_KILL_WITH,Build Trigger Unit,,,KILL,HasUnit
DEFAULT_HANDLER_CLEAR_CAMP,BOOST_TRIGGER_CLEAR_CAMP,,Barb Camp Tech Boost,,KILL,NoCampKnowledge
DEFAULT_HANDLER_FIND_NATURAL_WONDER,BOOST_TRIGGER_FIND_NATURAL_WONDER,Build Trigger Unit,,,SCOUT,HasScout
DEFAULT_HANDLER_OWN_X_UNITS,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,Build Trigger Unit,,,TRAIN,CannotDeployUnit
DEFAULT_HANDLER_RESEARCH_TECH,BOOST_TRIGGER_RESEARCH_TECH,Research Trigger Tech,,,RESEARCH,
DEFAULT_HANDLER_IMPROVE_SPECIFIC_RESOURCE,BOOST_TRIGGER_IMPROVE_SPECIFIC_RESOURCE,Build City Improvement,,,WORKER,NoSpecificResource
DEFAULT_HANDLER_NUM_IMPROVED_TILES,BOOST_TRIGGER_NUM_IMPROVED_TILES,Build Trigger Unit,,,WORKER,HasAnyUnit
DEFAULT_HANDLER_MEET_X_PERCENT_CIVS_HAVE_DISTRICT,BOOST_TRIGGER_MEET_X_PERCENT_CIVS_HAVE_DISTRICT,Build Trigger Unit,,,SCOUT,HasScout
DEFAULT_HANDLER_MEET_CIVS_WITH_DISTRICT,BOOST_TRIGGER_MEET_X_PERCENT_CIVS_HAVE_DISTRICT,Build Trigger Unit,,,SCOUT,HasScout
DEFAULT_HANDLER_GOLD_PROFIT,BOOST_TRIGGER_GOLD_PROFIT,Build Trigger Unit,,,TRADE,HasTradeRoute
DEFAULT_HANDLER_HAVE_X_GOLD_HAVE_X_UNIT,BOOST_TRIGGER_HAVE_X_GOLD_HAVE_X_UNIT,Build Trigger Unit,,,TRAIN,HasUnit
DEFAULT_HANDLER_HAVE_X_BUILDINGS,BOOST_TRIGGER_HAVE_X_BUILDINGS,Build Trigger Building,,,BUILDING,NoTechFor
DEFAULT_HANDLER_MAINTAIN_X_TRADE_ROUTES,BOOST_TRIGGER_MAINTAIN_X_TRADE_ROUTES,Build Trigger Unit,,,TRAIN,HasTradeRoute
DEFAULT_HANDLER_HAVE_X_IMPROVEMENTS,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,Build City Improvement,,,WORKER,NoResourceToImprove
