BoostType,BoostValue
BOOST_TRIGGER_MEET_CIV,0
BOOST_TRIGGER_ENCOUNTER_UNIT,1
BOOST_TRIGGER_TRAIN_UNIT,2
BOOST_TRIGGER_OWN_TWO_UNIT_TYPES,3
BOOST_TRIGGER_CONSTRUCT_BUILDING,4
BOOST_TRIGGER_KILL_WITH,5
BOOST_TRIGGER_CLEAR_CAMP,6
BOOST_TRIGGER_SETTLE_COAST,7
BOOST_TRIGGER_FIND_NATURAL_WONDER,8
BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,9
BOOST_TRIGGER_RESEARCH_TECH,10
BOOST_TRIGGER_IMPROVE_SPECIFIC_RESOURCE,11
BOOST_TRIGGER_NUM_IMPROVED_TILES,12
BOOST_TRIGGER_MEET_X_PERCENT_CIVS_HAVE_DISTRICT,13
BOOST_TRIGGER_GOLD_PROFIT,14
BOOST_TRIGGER_HAVE_X_GOLD_HAVE_X_UNIT,15
BOOST_TRIGGER_HAVE_X_BUILDINGS,16
BOOST_TRIGGER_PILLAGE,17
BOOST_TRIGGER_REPAIR,18
BOOST_TRIGGER_MAINTAIN_X_TRADE_ROUTES,19
BOOST_TRIGGER_HAVE_X_DISTRICTS,20
BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,21
BOOST_TRIGGER_NUM_CITIES,22
BOOST_TRIGGER_LAND_UNIT_LEVEL,23
BOOST_TRIGGER_NAVAL_UNIT_LEVEL,24
BOOST_TRIGGER_CONQUER_CITY,25
BOOST_TRIGGER_HAVE_X_POLICY_SLOTS,26
BOOST_TRIGGER_RECEIVE_DOW,27
BOOST_TRIGGER_HAVE_X_LAND_UNITS,28
BOOST_TRIGGER_EMPIRE_POPULATION,29
BOOST_TRIGGER_CITY_POPULATION,30
BOOST_TRIGGER_HAVE_X_WONDERS,31
BOOST_TRIGGER_CREATE_PANTHEON,32
BOOST_TRIGGER_HAVE_X_UNIQUE_SPECIALTY_DISTRICTS,33
BOOST_TRIGGER_DISCOVER_CONTINENT,34
BOOST_TRIGGER_MEET_X_CITY_STATES,35
BOOST_TRIGGER_FOUND_RELIGION,36
BOOST_TRIGGER_NUM_BARBS_KILLED,37
BOOST_TRIGGER_REQUIERMENTSET,38
BOOST_TRIGGER_CULTURVATE_CIVIC,39
BOOST_TRIGGER_HAVE_POLICY_TYPE,40
BOOST_TRIGGER_HAVE_BUILDING_MOUNTAIN,41
BOOST_TRIGGER_HAVE_WONDER_PAST_X_ERA,42
BOOST_TRIGGER_ARTIFACT_EXTRACTED,43
BOOST_TRIGGER_HAVE_AN_ALLIANCE,44
BOOST_TRIGGER_HAVE_X_CITIES_FOLLOWING_YOUR_RELIGION,45
BOOST_TRIGGER_DISTRICT_APPEAL_LEVEL_MINIMUM_X,46
BOOST_TRIGGER_HAVE_X_CORPS,47
BOOST_TRIGGER_NONE_LATE_GAME_CRITICAL_TECH,48
BOOST_TRIGGER_KILL_SPECIFIC_UNIT,49
BOOST_TRIGGER_HAVE_RESEARCH_AGREEMENT,50
BOOST_TRIGGER_CREATED_NATIONAL_PARK,51
BOOST_TRIGGER_HAVE_X_THEMED_BUILDINGS,52
BOOST_TRIGGER_DOW_CASUS_BELLI,53
BOOST_TRIGGER_AIRBASE_FOREIGN_CONTINENT,54
BOOST_TRIGGER_HAVE_X_GREAT_PEOPLE,55
BOOST_TRIGGER_HAVE_MAJORITY_RELIGION,56
BOOST_TRIGGER_TURN_NUMBER,57
BOOST_TRIGGER_REVEAL_X_OF_RESOURCE,58
BOOST_TRIGGER_SUZERAIN_X_CITY_STATES,59
BOOST_TRIGGER_HAVE_UNIT_AND_IMPROVEMENT,60
BOOST_TRIGGER_HAVE_X_ARMIES,61
BOOST_TRIGGER_HAVE_ALLIANCE_LEVEL_X,62
BOOST_TRIGGER_HAVE_GOVERNMENT_TIER,63
