BoostID,TechnologyType,CivicType,Boost,TriggerId,TriggerDescription,TriggerLongDescription,Unit1Type,BoostClass,Unit2Type,BuildingType,ImprovementType,BoostingTechType,ResourceType,NumItems,DistrictType,RequiresResource,RequirementSetId,GovernmentSlotType,BoostingCivicType,GovernmentTierType
1,,CIVIC_CRAFTSMANSHIP,40,0,LOC_BOOST_TRIGGER_CRAFTSMANSHIP,LOC_BOOST_TRIGGER_LONGDESC_CRAFTSMANSHIP,UNIT_BUILDER,BOOST_TRIGGER_NUM_IMPROVED_TILES,,,,,,3,,0,,,,
2,,CIVIC_FOREIGN_TRADE,40,0,LOC_BOOST_TRIGGER_FOREIGN_TRADE,LOC_BOOST_TRIGGER_LONGDESC_FOREIGN_TRADE,,BOOST_TRIGGER_DISCOVER_CONTINENT,,,,,,0,,0,,,,
3,,CIVIC_MILITARY_TRADITION,40,0,LOC_BOOST_TRIGGER_MILITARY_TRADITION,LOC_BOOST_TRIGGER_LONGDESC_MILITARY_TRADITION,,BOOST_TRIGGER_CLEAR_CAMP,,,,,,0,,0,,,,
4,,CIVIC_STATE_WORKFORCE,40,0,LOC_BOOST_TRIGGER_STATE_WORKFORCE,LOC_BOOST_TRIGGER_LONGDESC_STATE_WORKFORCE,,BOOST_TRIGGER_HAVE_X_UNIQUE_SPECIALTY_DISTRICTS,,,,,,1,,0,,,,
5,,CIVIC_EARLY_EMPIRE,40,0,LOC_BOOST_TRIGGER_EARLY_EMPIRE,LOC_BOOST_TRIGGER_LONGDESC_EARLY_EMPIRE,,BOOST_TRIGGER_EMPIRE_POPULATION,,,,,,6,,0,,,,
6,,CIVIC_MYSTICISM,40,0,LOC_BOOST_TRIGGER_MYSTICISM,LOC_BOOST_TRIGGER_LONGDESC_MYSTICISM,,BOOST_TRIGGER_CREATE_PANTHEON,,,,,,0,,0,,,,
7,,CIVIC_GAMES_RECREATION,40,0,LOC_BOOST_TRIGGER_GAMES_RECREATION,LOC_BOOST_TRIGGER_LONGDESC_GAMES_RECREATION,,BOOST_TRIGGER_RESEARCH_TECH,,,,TECH_CONSTRUCTION,,0,,0,,,,
8,,CIVIC_POLITICAL_PHILOSOPHY,40,0,LOC_BOOST_TRIGGER_POLITICAL_PHILOSOPHY,LOC_BOOST_TRIGGER_LONGDESC_POLITICAL_PHILOSOPHY,,BOOST_TRIGGER_MEET_X_CITY_STATES,,,,,,3,,0,,,,
9,,CIVIC_DRAMA_POETRY,40,0,LOC_BOOST_TRIGGER_DRAMA_POETRY,LOC_BOOST_TRIGGER_LONGDESC_DRAMA_POETRY,,BOOST_TRIGGER_HAVE_X_WONDERS,,,,,,1,,0,,,,
10,,CIVIC_MILITARY_TRAINING,40,0,LOC_BOOST_TRIGGER_MILITARY_TRAINING,LOC_BOOST_TRIGGER_LONGDESC_MILITARY_TRAINING,,BOOST_TRIGGER_HAVE_X_DISTRICTS,,,,,,1,DISTRICT_ENCAMPMENT,0,,,,
11,,CIVIC_DEFENSIVE_TACTICS,40,0,LOC_BOOST_TRIGGER_DEFENSIVE_TACTICS,LOC_BOOST_TRIGGER_LONGDESC_DEFENSIVE_TACTICS,,BOOST_TRIGGER_RECEIVE_DOW,,,,,,0,,0,,,,
12,,CIVIC_RECORDED_HISTORY,40,0,LOC_BOOST_TRIGGER_RECORDED_HISTORY,LOC_BOOST_TRIGGER_LONGDESC_RECORDED_HISTORY,,BOOST_TRIGGER_HAVE_X_DISTRICTS,,,,,,2,DISTRICT_CAMPUS,0,,,,
13,,CIVIC_THEOLOGY,40,0,LOC_BOOST_TRIGGER_THEOLOGY,LOC_BOOST_TRIGGER_LONGDESC_THEOLOGY,,BOOST_TRIGGER_FOUND_RELIGION,,,,,,0,,0,,,,
14,,CIVIC_NAVAL_TRADITION,40,0,LOC_BOOST_TRIGGER_NAVAL_TRADITION,LOC_BOOST_TRIGGER_LONGDESC_NAVAL_TRADITION,UNIT_QUADRIREME,BOOST_TRIGGER_KILL_WITH,,,,,,0,,0,,,,
15,,CIVIC_FEUDALISM,40,0,LOC_BOOST_TRIGGER_FEUDALISM,LOC_BOOST_TRIGGER_LONGDESC_FEUDALISM,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_FARM,,,6,,0,,,,
16,,CIVIC_COLONIALISM,40,0,LOC_BOOST_TRIGGER_COLONIALISM,LOC_BOOST_TRIGGER_LONGDESC_COLONIALISM,,BOOST_TRIGGER_RESEARCH_TECH,,,,TECH_ASTRONOMY,,0,,0,,,,
17,,CIVIC_CIVIL_SERVICE,40,0,LOC_BOOST_TRIGGER_CIVIL_SERVICE,LOC_BOOST_TRIGGER_LONGDESC_CIVIL_SERVICE,,BOOST_TRIGGER_CITY_POPULATION,,,,,,10,,0,,,,
18,,CIVIC_MERCENARIES,40,0,LOC_BOOST_TRIGGER_MERCENARIES,LOC_BOOST_TRIGGER_LONGDESC_MERCENARIES,,BOOST_TRIGGER_HAVE_X_LAND_UNITS,,,,,,8,,0,,,,
