BuildingType,ModifierId
BUILDING_PALACE,PALACE_ADJUST_GARRISON_STRENGTH
BUILDING_MOSQUE,MOSQUE_ADJUST_SPREAD_CHARGES
BUILDING_PYRAMIDS,PYRAMID_ADJUST_BUILDER_CHARGES
BUILDING_EIFFEL_TOWER,EIFFEL_TOWER_ADDAPPEAL
BUILDING_HANGING_GARDENS,HANGING_GARDEN_ADDGROWTH
BUILDING_COLOSSUS,COLOSSUS_ADDTRADEROUTE
BUILDING_GREAT_ZIMBABWE,GREAT_ZIMBABWE_ADDTRADEROUTE
BUILDING_BARRACKS,BARRACKS_TRAINED_UNIT_XP_MODIFIER
BUILDING_STABLE,STABLE_TRAINED_UNIT_XP_MODIFIER
BUILDING_ARMORY,ARMORY_TRAINED_UNIT_XP_MODIFIER
BUILDING_MILITARY_ACADEMY,MILITARY_ACADEMY_TRAINED_UNIT_XP_MODIFIER
BUILDING_MILITARY_ACADEMY,MILITARY_ACADEMY_TRAINED_CORPS_ARMY_DISCOUNT
BUILDING_LIGHTHOUSE,LIGHTHOUSE_TRAINED_UNIT_XP_MODIFIER
BUILDING_SHIPYARD,SHIPYARD_TRAINED_UNIT_XP_MODIFIER
BUILDING_SEAPORT,SEAPORT_TRAINED_UNIT_XP_MODIFIER
BUILDING_SEAPORT,SEAPORT_TRAINED_CORPS_ARMY_DISCOUNT
BUILDING_HANGAR,HANGAR_TRAINED_AIRCRAFT_XP_MODIFIER
BUILDING_HANGAR,HANGAR_BONUS_AIR_SLOTS
BUILDING_AIRPORT,AIRPORT_TRAINED_AIRCRAFT_XP_MODIFIER
BUILDING_AIRPORT,AIRPORT_BONUS_AIR_SLOTS
BUILDING_BROADWAY,BROADWAY_ADDCULTUREYIELD
BUILDING_OXFORD_UNIVERSITY,OXFORD_ADDSCIENCEYIELD
BUILDING_RUHR_VALLEY,RUHRVALLEY_ADDPRODUCTIONYIELD
BUILDING_ELECTRONICS_FACTORY,ELECTRONICSFACTORY_CULTURE
BUILDING_WATER_MILL,WATERMILL_ADDRICEFOOD
BUILDING_WATER_MILL,WATERMILL_ADDWHEATYIELD
