Building,PrereqBuilding
BUILDING_TEMPLE,BUILDING_SHRINE
BUILDING_STAVE_CHURCH,BUILDING_SHRINE
BUILDING_UNIVERSITY,BUILDING_LIBRARY
BUILDING_MADRASA,BUILDING_LIBRARY
BUILDING_MUSEUM_ART,BUILDING_AMPHITHEATER
BUILDING_MUSEUM_ARTIFACT,BUILDING_AMPHITHEATER
BUILDING_CASTLE,BUILDING_WALLS
BUILDING_ARMORY,BUILDING_BARRACKS
BUILDING_ARMORY,BUILDING_STABLE
BUILDING_SHIPYARD,BUILDING_LIGHTHOUSE
BUILDING_BANK,BUILDING_MARKET
BUILDING_STAR_FORT,BUILDING_CASTLE
BUILDING_FACTORY,BUILDING_WORKSHOP
BUILDING_ELECTRONICS_FACTORY,BUILDING_WORKSHOP
BUILDING_STOCK_EXCHANGE,BUILDING_BANK
BUILDING_MILITARY_ACADEMY,BUILDING_ARMORY
BUILDING_ZOO,BUILDING_ARENA
BUILDING_STADIUM,BUILDING_ZOO
BUILDING_SEAPORT,BUILDING_SHIPYARD
BUILDING_POWER_PLANT,BUILDING_FACTORY
BUILDING_BROADCAST_CENTER,BUILDING_MUSEUM_ART
BUILDING_BROADCAST_CENTER,BUILDING_MUSEUM_ARTIFACT
BUILDING_FILM_STUDIO,BUILDING_MUSEUM_ART
BUILDING_FILM_STUDIO,BUILDING_MUSEUM_ARTIFACT
BUILDING_RESEARCH_LAB,BUILDING_UNIVERSITY
BUILDING_CATHEDRAL,BUILDING_TEMPLE
BUILDING_DAR_E_MEHR,BUILDING_TEMPLE
BUILDING_GURDWARA,BUILDING_TEMPLE
BUILDING_MEETING_HOUSE,BUILDING_TEMPLE
BUILDING_MOSQUE,BUILDING_TEMPLE
BUILDING_PAGODA,BUILDING_TEMPLE
BUILDING_STUPA,BUILDING_TEMPLE
BUILDING_SYNAGOGUE,BUILDING_TEMPLE
BUILDING_WAT,BUILDING_TEMPLE
BUILDING_AIRPORT,BUILDING_HANGAR
BUILDING_BIG_BEN,BUILDING_BANK
BUILDING_ESTADIO_DO_MARACANA,BUILDING_STADIUM
BUILDING_GREAT_LIBRARY,BUILDING_LIBRARY
BUILDING_GREAT_LIGHTHOUSE,BUILDING_LIGHTHOUSE
BUILDING_GREAT_ZIMBABWE,BUILDING_MARKET
BUILDING_MAHABODHI_TEMPLE,BUILDING_TEMPLE
BUILDING_OXFORD_UNIVERSITY,BUILDING_UNIVERSITY
BUILDING_RUHR_VALLEY,BUILDING_FACTORY
BUILDING_TERRACOTTA_ARMY,BUILDING_BARRACKS
BUILDING_TERRACOTTA_ARMY,BUILDING_STABLE
BUILDING_PRASAT,BUILDING_SHRINE
BUILDING_TSIKHE,BUILDING_CASTLE
BUILDING_KOTOKU_IN,BUILDING_TEMPLE
BUILDING_AMUNDSEN_SCOTT_RESEARCH_STATION,BUILDING_RESEARCH_LAB
BUILDING_GOV_CITYSTATES,BUILDING_GOV_TALL
BUILDING_GOV_CITYSTATES,BUILDING_GOV_WIDE
BUILDING_GOV_CITYSTATES,BUILDING_GOV_CONQUEST
BUILDING_GOV_SPIES,BUILDING_GOV_TALL
BUILDING_GOV_SPIES,BUILDING_GOV_WIDE
BUILDING_GOV_SPIES,BUILDING_GOV_CONQUEST
BUILDING_GOV_FAITH,BUILDING_GOV_TALL
BUILDING_GOV_FAITH,BUILDING_GOV_WIDE
BUILDING_GOV_FAITH,BUILDING_GOV_CONQUEST
BUILDING_GOV_MILITARY,BUILDING_GOV_CITYSTATES
BUILDING_GOV_MILITARY,BUILDING_GOV_SPIES
BUILDING_GOV_MILITARY,BUILDING_GOV_FAITH
BUILDING_GOV_CULTURE,BUILDING_GOV_CITYSTATES
BUILDING_GOV_CULTURE,BUILDING_GOV_SPIES
BUILDING_GOV_CULTURE,BUILDING_GOV_FAITH
BUILDING_GOV_SCIENCE,BUILDING_GOV_CITYSTATES
BUILDING_GOV_SCIENCE,BUILDING_GOV_SPIES
BUILDING_GOV_SCIENCE,BUILDING_GOV_FAITH
BUILDING_AQUARIUM,BUILDING_FERRIS_WHEEL
BUILDING_AQUATICS_CENTER,BUILDING_AQUARIUM
BUILDING_COLOSSEUM,BUILDING_ARENA
BUILDING_COAL_POWER_PLANT,BUILDING_FACTORY
BUILDING_FOSSIL_FUEL_POWER_PLANT,BUILDING_FACTORY
BUILDING_GRAND_BAZAAR,BUILDING_MARKET
BUILDING_QUEENS_BIBLIOTHEQUE,BUILDING_GOV_TALL
BUILDING_QUEENS_BIBLIOTHEQUE,BUILDING_GOV_WIDE
BUILDING_QUEENS_BIBLIOTHEQUE,BUILDING_GOV_CONQUEST
BUILDING_THERMAL_BATH,BUILDING_ARENA
BUILDING_UNIVERSITY_SANKORE,BUILDING_UNIVERSITY
BUILDING_GOV_MILITARY,BUILDING_QUEENS_BIBLIOTHEQUE
BUILDING_GOV_CULTURE,BUILDING_QUEENS_BIBLIOTHEQUE
BUILDING_GOV_SCIENCE,BUILDING_QUEENS_BIBLIOTHEQUE
BUILDING_STATUE_OF_ZEUS,BUILDING_BARRACKS
BUILDING_CHANCERY,BUILDING_CONSULATE
BUILDING_ALCHEMICAL_SOCIETY,BUILDING_LIBRARY
BUILDING_RESEARCH_LAB,BUILDING_ALCHEMICAL_SOCIETY
BUILDING_GILDED_VAULT,BUILDING_MARKET
BUILDING_STOCK_EXCHANGE,BUILDING_GILDED_VAULT
BUILDING_NAVIGATION_SCHOOL,BUILDING_LIBRARY
