CivUniqueBuildingType,ReplacesBuildingType
BUILDING_FILM_STUDIO,BUILDING_BROADCAST_CENTER
BUILDING_MADRASA,BUILDING_UNIVERSITY
BUILDING_STAVE_CHURCH,BUILDING_TEMPLE
BUILDING_ELECTRONICS_FACTORY,BUILDING_FACTORY
BUILDING_TLACHTLI,BUILDING_ARENA
BUILDING_PRASAT,BUILDING_TEMPLE
BUILDING_SUKIENNICE,BUILDING_MARKET
BUILDING_BASILIKOI_PAIDES,BUILDING_BARRACKS
BUILDING_ORDU,BUILDING_STABLE
BUILDING_TSIKHE,BUILDING_STAR_FORT
BUILDING_GRAND_BAZAAR,BUILDING_BANK
BUILDING_MARAE,BUILDING_AMPHITHEATER
BUILDING_THERMAL_BATH,BUILDING_ZOO
BUILDING_ALCHEMICAL_SOCIETY,BUILDING_UNIVERSITY
BUILDING_GILDED_VAULT,BUILDING_BANK
BUILDING_OLD_GOD_OBELISK,BUILDING_MONUMENT
BUILDING_PALGUM,BUILDING_WATER_MILL
BUILDING_NAVIGATION_SCHOOL,BUILDING_UNIVERSITY
