BuildingType,YieldType,YieldChange
BUILDING_COAL_POWER_PLANT,YIELD_PRODUCTION,1
BUILDING_STOCK_EXCHANGE,YIELD_GOLD,2
BUILDING_MILITARY_ACADEMY,YIELD_PRODUCTION,1
BUILDING_FOSSIL_FUEL_POWER_PLANT,YIELD_PRODUCTION,1
BUILDING_SEAPORT,YIELD_FOOD,1
BUILDING_BROADCAST_CENTER,YIELD_CULTURE,1
BUILDING_FILM_STUDIO,YIELD_CULTURE,1
BUILDING_RESEARCH_LAB,YIELD_SCIENCE,1
BUILDING_POWER_PLANT,YIELD_PRODUCTION,1
BUILDING_CATHEDRAL,YIELD_FAITH,1
BUILDING_DAR_E_MEHR,YIELD_FAITH,1
BUILDING_GURDWARA,YIELD_FAITH,1
BUILDING_MEETING_HOUSE,YIELD_FAITH,1
BUILDING_MOSQUE,YIELD_FAITH,1
BUILDING_PAGODA,YIELD_FAITH,1
BUILDING_STUPA,YIELD_FAITH,1
BUILDING_SYNAGOGUE,YIELD_FAITH,1
BUILDING_WAT,YIELD_FAITH,1
