BuildingType,GreatPersonClassType,PointsPerTurn
BUILDING_LIGHTHOUSE,GREAT_PERSON_CLASS_ADMIRAL,1
BUILDING_SHIPYARD,GREAT_PERSON_CLASS_ADMIRAL,1
BUILDING_SEAPORT,GREAT_PERSON_CLASS_ADMIRAL,1
BUILDING_AMPHITHEATER,GREAT_PERSON_CLASS_WRITER,1
BUILDING_MUSEUM_ART,GREAT_PERSON_CLASS_WRITER,1
BUILDING_MUSEUM_ART,GREAT_PERSON_CLASS_ARTIST,2
BUILDING_MUSEUM_ARTIFACT,GREAT_PERSON_CLASS_WRITER,1
BUILDING_MUSEUM_ARTIFACT,GREAT_PERSON_CLASS_ARTIST,2
BUILDING_BROADCAST_CENTER,GREAT_PERSON_CLASS_ARTIST,1
BUILDING_BROADCAST_CENTER,GREAT_PERSON_CLASS_MUSICIAN,2
BUILDING_FILM_STUDIO,GREAT_PERSON_CLASS_ARTIST,1
BUILDING_FILM_STUDIO,GREAT_PERSON_CLASS_MUSICIAN,2
BUILDING_WORKSHOP,GREAT_PERSON_CLASS_ENGINEER,1
BUILDING_FACTORY,GREAT_PERSON_CLASS_ENGINEER,1
BUILDING_ELECTRONICS_FACTORY,GREAT_PERSON_CLASS_ENGINEER,1
BUILDING_POWER_PLANT,GREAT_PERSON_CLASS_ENGINEER,1
BUILDING_SHRINE,GREAT_PERSON_CLASS_PROPHET,1
BUILDING_TEMPLE,GREAT_PERSON_CLASS_PROPHET,1
BUILDING_STAVE_CHURCH,GREAT_PERSON_CLASS_PROPHET,1
BUILDING_BARRACKS,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_STABLE,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_ARMORY,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_MILITARY_ACADEMY,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_MARKET,GREAT_PERSON_CLASS_MERCHANT,1
BUILDING_BANK,GREAT_PERSON_CLASS_MERCHANT,1
BUILDING_STOCK_EXCHANGE,GREAT_PERSON_CLASS_MERCHANT,1
BUILDING_LIBRARY,GREAT_PERSON_CLASS_SCIENTIST,1
BUILDING_UNIVERSITY,GREAT_PERSON_CLASS_SCIENTIST,1
BUILDING_MADRASA,GREAT_PERSON_CLASS_SCIENTIST,1
BUILDING_RESEARCH_LAB,GREAT_PERSON_CLASS_SCIENTIST,1
BUILDING_COLOSSUS,GREAT_PERSON_CLASS_ADMIRAL,1
BUILDING_GREAT_LIGHTHOUSE,GREAT_PERSON_CLASS_ADMIRAL,1
BUILDING_BOLSHOI_THEATRE,GREAT_PERSON_CLASS_WRITER,2
BUILDING_BOLSHOI_THEATRE,GREAT_PERSON_CLASS_MUSICIAN,2
BUILDING_BROADWAY,GREAT_PERSON_CLASS_WRITER,3
BUILDING_BROADWAY,GREAT_PERSON_CLASS_MUSICIAN,3
BUILDING_ALHAMBRA,GREAT_PERSON_CLASS_GENERAL,2
BUILDING_TERRACOTTA_ARMY,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_GREAT_ZIMBABWE,GREAT_PERSON_CLASS_MERCHANT,2
BUILDING_BIG_BEN,GREAT_PERSON_CLASS_MERCHANT,3
BUILDING_VENETIAN_ARSENAL,GREAT_PERSON_CLASS_ENGINEER,2
BUILDING_GREAT_LIBRARY,GREAT_PERSON_CLASS_SCIENTIST,1
BUILDING_OXFORD_UNIVERSITY,GREAT_PERSON_CLASS_SCIENTIST,3
BUILDING_HERMITAGE,GREAT_PERSON_CLASS_ARTIST,3
BUILDING_SYDNEY_OPERA_HOUSE,GREAT_PERSON_CLASS_MUSICIAN,5
BUILDING_TLACHTLI,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_PRASAT,GREAT_PERSON_CLASS_PROPHET,1
BUILDING_SUKIENNICE,GREAT_PERSON_CLASS_MERCHANT,1
BUILDING_BASILIKOI_PAIDES,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_ORDU,GREAT_PERSON_CLASS_GENERAL,1
BUILDING_AMUNDSEN_SCOTT_RESEARCH_STATION,GREAT_PERSON_CLASS_SCIENTIST,5
BUILDING_CASA_DE_CONTRATACION,GREAT_PERSON_CLASS_MERCHANT,3
BUILDING_GREAT_LIBRARY,GREAT_PERSON_CLASS_WRITER,1
BUILDING_COAL_POWER_PLANT,GREAT_PERSON_CLASS_ENGINEER,1
BUILDING_FOSSIL_FUEL_POWER_PLANT,GREAT_PERSON_CLASS_ENGINEER,1
BUILDING_QUEENS_BIBLIOTHEQUE,GREAT_PERSON_CLASS_ARTIST,2
BUILDING_QUEENS_BIBLIOTHEQUE,GREAT_PERSON_CLASS_WRITER,2
BUILDING_QUEENS_BIBLIOTHEQUE,GREAT_PERSON_CLASS_MUSICIAN,2
BUILDING_GRAND_BAZAAR,GREAT_PERSON_CLASS_MERCHANT,1
BUILDING_UNIVERSITY_SANKORE,GREAT_PERSON_CLASS_SCIENTIST,2
BUILDING_ALCHEMICAL_SOCIETY,GREAT_PERSON_CLASS_ENGINEER,1
BUILDING_ALCHEMICAL_SOCIETY,GREAT_PERSON_CLASS_MERCHANT,1
BUILDING_ALCHEMICAL_SOCIETY,GREAT_PERSON_CLASS_SCIENTIST,1
BUILDING_GILDED_VAULT,GREAT_PERSON_CLASS_MERCHANT,2
BUILDING_NAVIGATION_SCHOOL,GREAT_PERSON_CLASS_ADMIRAL,1
BUILDING_NAVIGATION_SCHOOL,GREAT_PERSON_CLASS_SCIENTIST,1
BUILDING_TORRE_DE_BELEM,GREAT_PERSON_CLASS_ADMIRAL,1
