BuildingType,GreatWorkSlotType,NumSlots,ThemingUniquePerson,ThemingSameObjectType,ThemingUniqueCivs,ThemingSameEras,ThemingYieldMultiplier,ThemingTourismMultiplier,NonUniquePersonYield,NonUniquePersonTourism,ThemingBonusDescription
BUILDING_PALACE,GREATWORKSLOT_PALACE,1,0,0,0,0,0,0,1,1,
BUILDING_TEMPLE,GREATWORKSLOT_RELIC,1,0,0,0,0,0,0,0,0,
BUILDING_STAVE_CHURCH,GREATWORKSLOT_RELIC,1,0,0,0,0,0,0,0,0,
BUILDING_AMPHITHEATER,GREATWORKSLOT_WRITING,2,0,0,0,0,0,0,0,0,
BUILDING_MUSEUM_ART,GREATWORKSLOT_ART,3,1,1,0,0,100,100,1,1,LOC_BUILDING_THEMINGBONUS_ART
BUILDING_MUSEUM_ARTIFACT,GREATWORKSLOT_ARTIFACT,3,0,0,1,1,100,100,1,1,LOC_BUILDING_THEMINGBONUS_ARCHAEOLOGY
BUILDING_BROADCAST_CENTER,GREATWORKSLOT_MUSIC,1,0,0,0,0,0,0,0,0,
BUILDING_FILM_STUDIO,GREATWORKSLOT_MUSIC,1,0,0,0,0,0,0,0,0,
BUILDING_CATHEDRAL,GREATWORKSLOT_CATHEDRAL,1,0,0,0,0,0,0,0,0,
BUILDING_GREAT_LIBRARY,GREATWORKSLOT_WRITING,2,0,0,0,0,0,0,0,0,
BUILDING_MONT_ST_MICHEL,GREATWORKSLOT_RELIC,2,0,0,0,0,0,0,0,0,
BUILDING_BOLSHOI_THEATRE,GREATWORKSLOT_WRITING,1,0,0,0,0,0,0,0,0,
BUILDING_BOLSHOI_THEATRE,GREATWORKSLOT_MUSIC,1,0,0,0,0,0,0,0,0,
BUILDING_OXFORD_UNIVERSITY,GREATWORKSLOT_WRITING,2,0,0,0,0,0,0,0,0,
BUILDING_HERMITAGE,GREATWORKSLOT_ART,4,0,0,0,0,0,0,3,2,
BUILDING_BROADWAY,GREATWORKSLOT_WRITING,1,0,0,0,0,0,0,0,0,
BUILDING_BROADWAY,GREATWORKSLOT_MUSIC,2,0,0,0,0,0,0,0,0,
BUILDING_SYDNEY_OPERA_HOUSE,GREATWORKSLOT_MUSIC,3,0,0,0,0,0,0,0,0,
BUILDING_PRASAT,GREATWORKSLOT_RELIC,1,0,0,0,0,0,0,0,0,
BUILDING_APADANA,GREATWORKSLOT_PALACE,2,0,0,0,0,0,0,1,1,
BUILDING_ST_BASILS_CATHEDRAL,GREATWORKSLOT_RELIC,3,0,0,0,0,0,0,0,0,
BUILDING_GOV_CULTURE,GREATWORKSLOT_PALACE,4,0,0,0,0,0,0,0,0,
BUILDING_QUEENS_BIBLIOTHEQUE,GREATWORKSLOT_WRITING,2,0,0,0,0,0,0,0,0,
BUILDING_QUEENS_BIBLIOTHEQUE,GREATWORKSLOT_ART,2,0,0,0,0,0,0,3,2,
BUILDING_QUEENS_BIBLIOTHEQUE,GREATWORKSLOT_MUSIC,2,0,0,0,0,0,0,0,0,
BUILDING_OLD_GOD_OBELISK,GREATWORKSLOT_PALACE,1,0,0,0,0,0,0,0,0,
