BuildingType,FeatureType
BUILDING_CHICHEN_ITZA,FEATURE_JUNGLE
BUILDING_MAHABODHI_TEMPLE,FEATURE_FOREST
BUILDING_MONT_ST_MICHEL,FEATURE_FLOODPLAINS
BUILDING_MONT_ST_MICHEL,FEATURE_MARSH
BUILDING_MONT_ST_MICHEL,FEATURE_FLOODPLAINS_GRASSLAND
BUILDING_MONT_ST_MICHEL,FEATURE_FLOODPLAINS_PLAINS
BUILDING_GREAT_BATH,FEATURE_FLOODPLAINS
BUILDING_GREAT_BATH,FEATURE_FLOODPLAINS_GRASSLAND
BUILDING_GREAT_BATH,FEATURE_FLOODPLAINS_PLAINS
BUILDING_ETEMENANKI,FEATURE_FLOODPLAINS
BUILDING_ETEMENANKI,FEATURE_MARSH
BUILDING_ETEMENANKI,FEATURE_FLOODPLAINS_GRASSLAND
BUILDING_ETEMENANKI,FEATURE_FLOODPLAINS_PLAINS
