BuildingType,TerrainType
BUILDING_ALHAMBRA,TERRAIN_GRASS_HILLS
BUILDING_ALHAMBRA,TERRAIN_PLAINS_HILLS
BUILDING_ALHAMBRA,TERRAIN_TUNDRA_HILLS
BUILDING_ALHAMBRA,TERRAIN_SNOW_HILLS
BUILDING_ALHAMBRA,TERRAIN_DESERT_HILLS
BUILDING_BOLSHOI_THEATRE,TERRAIN_GRASS
BUILDING_BOLSHOI_THEATRE,TERRAIN_PLAINS
BUILDING_BOLSHOI_THEATRE,TERRAIN_TUNDRA
BUILDING_BOLSHOI_THEATRE,TERRAIN_SNOW
BUILDING_BOLSHOI_THEATRE,TERRAIN_DESERT
BUILDING_BROADWAY,TERRAIN_GRASS
BUILDING_BROADWAY,TERRAIN_PLAINS
BUILDING_BROADWAY,TERRAIN_TUNDRA
BUILDING_BROADWAY,TERRAIN_SNOW
BUILDING_BROADWAY,TERRAIN_DESERT
BUILDING_COLOSSEUM,TERRAIN_GRASS
BUILDING_COLOSSEUM,TERRAIN_PLAINS
BUILDING_COLOSSEUM,TERRAIN_TUNDRA
BUILDING_COLOSSEUM,TERRAIN_SNOW
BUILDING_COLOSSEUM,TERRAIN_DESERT
BUILDING_COLOSSUS,TERRAIN_COAST
BUILDING_CRISTO_REDENTOR,TERRAIN_GRASS_HILLS
BUILDING_CRISTO_REDENTOR,TERRAIN_PLAINS_HILLS
BUILDING_CRISTO_REDENTOR,TERRAIN_TUNDRA_HILLS
BUILDING_CRISTO_REDENTOR,TERRAIN_SNOW_HILLS
BUILDING_CRISTO_REDENTOR,TERRAIN_DESERT_HILLS
BUILDING_EIFFEL_TOWER,TERRAIN_GRASS
BUILDING_EIFFEL_TOWER,TERRAIN_PLAINS
BUILDING_EIFFEL_TOWER,TERRAIN_TUNDRA
BUILDING_EIFFEL_TOWER,TERRAIN_SNOW
BUILDING_EIFFEL_TOWER,TERRAIN_DESERT
BUILDING_ESTADIO_DO_MARACANA,TERRAIN_GRASS
BUILDING_ESTADIO_DO_MARACANA,TERRAIN_PLAINS
BUILDING_ESTADIO_DO_MARACANA,TERRAIN_TUNDRA
