BuildingType,YieldType,YieldChange
BUILDING_AMPHITHEATER,YIELD_CULTURE,2
BUILDING_BROADCAST_CENTER,YIELD_CULTURE,2
BUILDING_FILM_STUDIO,YIELD_CULTURE,2
BUILDING_MONUMENT,YIELD_CULTURE,1
BUILDING_MUSEUM_ART,YIELD_CULTURE,2
BUILDING_MUSEUM_ARTIFACT,YIELD_CULTURE,2
BUILDING_PALACE,YIELD_CULTURE,1
BUILDING_SHRINE,YIELD_FAITH,2
BUILDING_TEMPLE,YIELD_FAITH,4
BUILDING_STAVE_CHURCH,YIELD_FAITH,4
BUILDING_CATHEDRAL,YIELD_FAITH,3
BUILDING_DAR_E_MEHR,YIELD_FAITH,3
BUILDING_GURDWARA,YIELD_FAITH,3
BUILDING_MEETING_HOUSE,YIELD_FAITH,3
BUILDING_MOSQUE,YIELD_FAITH,3
BUILDING_PAGODA,YIELD_FAITH,3
BUILDING_STUPA,YIELD_FAITH,3
BUILDING_SYNAGOGUE,YIELD_FAITH,5
BUILDING_WAT,YIELD_FAITH,3
BUILDING_GRANARY,YIELD_FOOD,1
BUILDING_WATER_MILL,YIELD_FOOD,1
BUILDING_GURDWARA,YIELD_FOOD,2
BUILDING_MARKET,YIELD_GOLD,2
BUILDING_BANK,YIELD_GOLD,5
BUILDING_STOCK_EXCHANGE,YIELD_GOLD,4
BUILDING_PALACE,YIELD_GOLD,5
BUILDING_SEAPORT,YIELD_GOLD,2
BUILDING_SEAPORT,YIELD_FOOD,2
BUILDING_ARMORY,YIELD_PRODUCTION,3
BUILDING_BARRACKS,YIELD_PRODUCTION,1
BUILDING_HANGAR,YIELD_PRODUCTION,2
BUILDING_MEETING_HOUSE,YIELD_PRODUCTION,2
BUILDING_MILITARY_ACADEMY,YIELD_PRODUCTION,4
BUILDING_PALACE,YIELD_PRODUCTION,2
BUILDING_POWER_PLANT,YIELD_PRODUCTION,4
BUILDING_STABLE,YIELD_PRODUCTION,1
BUILDING_WATER_MILL,YIELD_PRODUCTION,1
BUILDING_WORKSHOP,YIELD_PRODUCTION,3
BUILDING_FACTORY,YIELD_PRODUCTION,3
BUILDING_ELECTRONICS_FACTORY,YIELD_PRODUCTION,3
BUILDING_LIBRARY,YIELD_SCIENCE,2
BUILDING_PALACE,YIELD_SCIENCE,2
BUILDING_UNIVERSITY,YIELD_SCIENCE,4
BUILDING_MADRASA,YIELD_SCIENCE,5
BUILDING_WAT,YIELD_SCIENCE,2
BUILDING_RESEARCH_LAB,YIELD_SCIENCE,3
BUILDING_AIRPORT,YIELD_PRODUCTION,4
BUILDING_BIG_BEN,YIELD_GOLD,6
BUILDING_COLOSSEUM,YIELD_CULTURE,2
BUILDING_COLOSSUS,YIELD_GOLD,3
BUILDING_CRISTO_REDENTOR,YIELD_CULTURE,4
BUILDING_ESTADIO_DO_MARACANA,YIELD_CULTURE,6
BUILDING_FORBIDDEN_CITY,YIELD_CULTURE,5
BUILDING_GREAT_LIBRARY,YIELD_SCIENCE,2
BUILDING_GREAT_LIGHTHOUSE,YIELD_GOLD,3
BUILDING_GREAT_ZIMBABWE,YIELD_GOLD,5
BUILDING_HAGIA_SOPHIA,YIELD_FAITH,4
BUILDING_MAHABODHI_TEMPLE,YIELD_FAITH,4
BUILDING_MONT_ST_MICHEL,YIELD_FAITH,2
BUILDING_POTALA_PALACE,YIELD_CULTURE,2
BUILDING_POTALA_PALACE,YIELD_FAITH,3
BUILDING_PYRAMIDS,YIELD_CULTURE,2
BUILDING_ORACLE,YIELD_CULTURE,1
BUILDING_ORACLE,YIELD_FAITH,1
BUILDING_STONEHENGE,YIELD_FAITH,2
BUILDING_SYDNEY_OPERA_HOUSE,YIELD_CULTURE,8
BUILDING_TLACHTLI,YIELD_FAITH,2
