BuildingType,Name,PrereqTech,PrereqCivic,Cost,MaxPlayerInstances,MaxWorldInstances,Capital,PrereqDistrict,AdjacentDistrict,Description,RequiresPlacement,RequiresRiver,OuterDefenseHitPoints,Housing,Entertainment,AdjacentResource,Coast,EnabledByReligion,AllowsHolyCity,PurchaseYield,MustPurchase,Maintenance,IsWonder,TraitType,OuterDefenseStrength,CitizenSlots,MustBeLake,MustNotBeLake,RegionalRange,AdjacentToMountain,ObsoleteEra,RequiresReligion,GrantFortification,DefenseModifier,InternalOnly,RequiresAdjacentRiver,Quote,QuoteAudio,MustBeAdjacentLand,AdvisorType,AdjacentCapital,AdjacentImprovement,CityAdjacentTerrain,UnlocksGovernmentPolicy,GovernmentTierRequirement
BUILDING_MONUMENT,LOC_BUILDING_MONUMENT_NAME,,,60,-1,-1,0,DISTRICT_CITY_CENTER,,LOC_BUILDING_MONUMENT_EXPANSION1_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,0,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CULTURE,0,,,0,
BUILDING_PALACE,LOC_BUILDING_PALACE_NAME,,,1,1,-1,1,DISTRICT_CITY_CENTER,,,0,0,,1,2,,,0,0,,0,0,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_BARRACKS,LOC_BUILDING_BARRACKS_NAME,TECH_BRONZE_WORKING,,90,-1,-1,0,DISTRICT_ENCAMPMENT,,LOC_BUILDING_BARRACKS_EXPANSION2_DESCRIPTION,0,0,,1,0,,,0,0,YIELD_GOLD,0,1,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_GRANARY,LOC_BUILDING_GRANARY_NAME,TECH_POTTERY,,65,-1,-1,0,DISTRICT_CITY_CENTER,,,0,0,,2,0,,,0,0,YIELD_GOLD,0,0,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_LIBRARY,LOC_BUILDING_LIBRARY_NAME,TECH_WRITING,,90,-1,-1,0,DISTRICT_CAMPUS,,,0,0,,0,0,,,0,0,YIELD_GOLD,0,1,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_TECHNOLOGY,0,,,0,
BUILDING_SHRINE,LOC_BUILDING_SHRINE_NAME,TECH_ASTROLOGY,,70,-1,-1,0,DISTRICT_HOLY_SITE,,LOC_BUILDING_SHRINE_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,1,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_RELIGIOUS,0,,,0,
BUILDING_WALLS,LOC_BUILDING_WALLS_NAME,TECH_MASONRY,,80,-1,-1,0,DISTRICT_CITY_CENTER,,LOC_BUILDING_WALLS_DESCRIPTION,0,0,100.0,0,0,,,0,0,,0,0,0,,3,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_WATER_MILL,LOC_BUILDING_WATER_MILL_NAME,TECH_THE_WHEEL,,80,-1,-1,0,DISTRICT_CITY_CENTER,,LOC_BUILDING_WATER_MILL_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,0,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,1,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_ARENA,LOC_BUILDING_ARENA_NAME,,CIVIC_GAMES_RECREATION,150,-1,-1,0,DISTRICT_ENTERTAINMENT_COMPLEX,,LOC_BUILDING_ARENA_EXPANSION1_DESCRIPTION,0,0,,0,2,,,0,0,YIELD_GOLD,0,1,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_LIGHTHOUSE,LOC_BUILDING_LIGHTHOUSE_NAME,TECH_CELESTIAL_NAVIGATION,,120,-1,-1,0,DISTRICT_HARBOR,,LOC_BUILDING_LIGHTHOUSE_EXPANSION2_DESCRIPTION,0,0,,1,0,,,0,0,YIELD_GOLD,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
