BuildingType,RequiredPower,ResourceTypeConvertedToPower,PreventsFloods,PreventsDrought,BlocksCoastalFlooding,CostMultiplierPerTile,CostMultiplierPerSeaLevel,Bridge,CanalWonder,EntertainmentBonusWithPower,NuclearReactor,Pillage
BUILDING_FACTORY,2,,0,0,0,0,0,0,0,0,0,1
BUILDING_ELECTRONICS_FACTORY,2,,0,0,0,0,0,0,0,0,0,1
BUILDING_COAL_POWER_PLANT,0,RESOURCE_COAL,0,0,0,0,0,0,0,0,0,1
BUILDING_FOSSIL_FUEL_POWER_PLANT,0,RESOURCE_OIL,0,0,0,0,0,0,0,0,0,1
BUILDING_POWER_PLANT,0,RESOURCE_URANIUM,0,0,0,0,0,0,0,0,1,1
BUILDING_STOCK_EXCHANGE,3,,0,0,0,0,0,0,0,0,0,1
BUILDING_RESEARCH_LAB,3,,0,0,0,0,0,0,0,0,0,1
BUILDING_STADIUM,2,,0,0,0,0,0,0,0,2,0,1
BUILDING_AQUATICS_CENTER,2,,0,0,0,0,0,0,0,2,0,1
BUILDING_BROADCAST_CENTER,3,,0,0,0,0,0,0,0,0,0,1
BUILDING_FILM_STUDIO,3,,0,0,0,0,0,0,0,0,0,1
BUILDING_FLOOD_BARRIER,0,,0,0,1,1,1,0,0,0,0,0
BUILDING_FOOD_MARKET,1,,0,0,0,0,0,0,0,0,0,1
BUILDING_SHOPPING_MALL,1,,0,0,0,0,0,0,0,1,0,1
BUILDING_AIRPORT,1,,0,0,0,0,0,0,0,0,0,1
BUILDING_DAR_E_MEHR,0,,0,0,0,0,0,0,0,0,0,0
BUILDING_GREAT_BATH,0,,1,0,0,0,0,0,0,0,0,1
BUILDING_GOLDEN_GATE_BRIDGE,0,,0,0,0,0,0,1,0,0,0,1
BUILDING_PANAMA_CANAL,0,,0,0,0,0,0,0,1,0,0,1
