CivicType,ModifierId
CIVIC_FOREIGN_TRADE,CIVIC_GRANT_ONE_TRADE_ROUTE
CIVIC_EARLY_EMPIRE,CIVIC_ENFORCE_BORDERS
CIVIC_MILITARY_TRADITION,CIVIC_GRANT_COMBAT_ADJACENCY_BONUS
CIVIC_MYSTICISM,CIVIC_AWARD_ONE_INFLUENCE_TOKEN
CIVIC_MILITARY_TRAINING,CIVIC_AWARD_ONE_INFLUENCE_TOKEN
CIVIC_THEOLOGY,CIVIC_AWARD_ONE_INFLUENCE_TOKEN
CIVIC_NAVAL_TRADITION,CIVIC_AWARD_ONE_INFLUENCE_TOKEN
CIVIC_MERCENARIES,CIVIC_AWARD_ONE_INFLUENCE_TOKEN
CIVIC_COLONIALISM,CIVIC_AWARD_TWO_INFLUENCE_TOKENS
CIVIC_OPERA_BALLET,CIVIC_AWARD_TWO_INFLUENCE_TOKENS
CIVIC_SCORCHED_EARTH,CIVIC_AWARD_TWO_INFLUENCE_TOKENS
CIVIC_NATURAL_HISTORY,CIVIC_AWARD_TWO_INFLUENCE_TOKENS
CIVIC_CONSERVATION,CIVIC_AWARD_THREE_INFLUENCE_TOKENS
CIVIC_CULTURAL_HERITAGE,CIVIC_AWARD_THREE_INFLUENCE_TOKENS
CIVIC_THE_ENLIGHTENMENT,CIVIC_REDUCE_RELIGIOUS_TOURISM
CIVIC_NATURAL_HISTORY,CIVIC_GENERATE_LAND_ANTIQUITIES
CIVIC_CULTURAL_HERITAGE,CIVIC_GENERATE_SEA_ANTIQUITIES
CIVIC_CULTURAL_HERITAGE,CIVIC_EXTRACT_SEA_ARTIFACTS
CIVIC_DIPLOMATIC_SERVICE,CIVIC_GRANT_SPY
CIVIC_NATIONALISM,CIVIC_GRANT_SPY
CIVIC_IDEOLOGY,CIVIC_GRANT_SPY
CIVIC_COLD_WAR,CIVIC_GRANT_SPY
CIVIC_CONSERVATION,CONSERVATION_ANCIENT_WALL_TOURISM
CIVIC_CONSERVATION,CONSERVATION_MEDIEVAL_WALL_TOURISM
CIVIC_CONSERVATION,CONSERVATION_RENAISSANCE_WALL_TOURISM
CIVIC_CONSERVATION,CONSERVATION_TSIKHE_TOURISM_GOLDEN_AGE
CIVIC_STATE_WORKFORCE,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_EARLY_EMPIRE,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_DEFENSIVE_TACTICS,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_RECORDED_HISTORY,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_GUILDS,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_MEDIEVAL_FAIRES,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_CIVIL_ENGINEERING,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_NATIONALISM,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_MASS_MEDIA,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_MOBILIZATION,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_GLOBALIZATION,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_SOCIAL_MEDIA,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_FUTURE_CIVIC,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_CONSERVATION,CONSERVATION_ARENA_TOURISM
CIVIC_ENVIRONMENTALISM,ENVIRONMENTALISM_BOOST_ALL_TOURISM
CIVIC_NEAR_FUTURE_GOVERNANCE,CIVIC_GRANT_PLAYER_GOVERNOR_POINTS
CIVIC_NEAR_FUTURE_GOVERNANCE,CIVIC_AWARD_THREE_INFLUENCE_TOKENS
CIVIC_GLOBAL_WARMING_MITIGATION,CIVIC_AWARD_THREE_INFLUENCE_TOKENS
CIVIC_GLOBAL_WARMING_MITIGATION,CIVIC_MITIGATION_GRANT_DIPLOVP
CIVIC_FUTURE_CIVIC,CIVIC_GRANT_FAVOR
