CivicType,Quote,QuoteAudio
CIVIC_CODE_OF_LAWS,LOC_CIVIC_CODE_OF_LAWS_QUOTE_1,PLAY_CODE_OF_LAWS_QUOTE_1
CIVIC_CODE_OF_LAWS,LOC_CIVIC_CODE_OF_LAWS_QUOTE_2,PLAY_CODE_OF_LAWS_QUOTE_2
CIVIC_CRAFTSMANSHIP,LOC_CIVIC_CRAFTSMANSHIP_QUOTE_1,PLAY_CRAFTSMANSHIP_QUOTE_1
CIVIC_CRAFTSMANSHIP,LOC_CIVIC_CRAFTSMANSHIP_QUOTE_2,PLAY_CRAFTSMANSHIP_QUOTE_2
CIVIC_FOREIGN_TRADE,LOC_CIVIC_FOREIGN_TRADE_QUOTE_1,PLAY_FOREIGN_TRADE_QUOTE_1
CIVIC_FOREIGN_TRADE,LOC_CIVIC_FOREIGN_TRADE_QUOTE_2,PLAY_FOREIGN_TRADE_QUOTE_2
CIVIC_MILITARY_TRADITION,LOC_CIVIC_MILITARY_TRADITION_QUOTE_1,PLAY_MILITARY_TRADITION_QUOTE_2
CIVIC_MILITARY_TRADITION,LOC_CIVIC_MILITARY_TRADITION_QUOTE_2,PLAY_MILITARY_TRADITION_QUOTE_1
CIVIC_STATE_WORKFORCE,LOC_CIVIC_STATE_WORKFORCE_QUOTE_1,PLAY_STATE_WORKFORCE_QUOTE_1
CIVIC_STATE_WORKFORCE,LOC_CIVIC_STATE_WORKFORCE_QUOTE_2,PLAY_STATE_WORKFORCE_QUOTE_2
CIVIC_EARLY_EMPIRE,LOC_CIVIC_EARLY_EMPIRE_QUOTE_1,PLAY_EARLY_EMPIRE_QUOTE_2
CIVIC_EARLY_EMPIRE,LOC_CIVIC_EARLY_EMPIRE_QUOTE_2,PLAY_EARLY_EMPIRE_QUOTE_1
CIVIC_MYSTICISM,LOC_CIVIC_MYSTICISM_QUOTE_1,PLAY_MYSTICISM_QUOTE_1
CIVIC_MYSTICISM,LOC_CIVIC_MYSTICISM_QUOTE_2,PLAY_MYSTICISM_QUOTE_2
