CivicType,Name,Cost,Repeatable,Description,EraType,BarbarianFree,UITreeRow,AdvisorType,EmbarkAll,EmbarkUnitType
CIVIC_CODE_OF_LAWS,LOC_CIVIC_CODE_OF_LAWS_NAME,20,0,,ERA_ANCIENT,0,0,ADVISOR_GENERIC,0,
CIVIC_CRAFTSMANSHIP,LOC_CIVIC_CRAFTSMANSHIP_NAME,40,0,,ERA_ANCIENT,0,-2,ADVISOR_GENERIC,0,
CIVIC_FOREIGN_TRADE,LOC_CIVIC_FOREIGN_TRADE_NAME,40,0,LOC_CIVIC_FOREIGN_TRADE_DESCRIPTION,ERA_ANCIENT,0,2,ADVISOR_GENERIC,0,
CIVIC_MILITARY_TRADITION,LOC_CIVIC_MILITARY_TRADITION_NAME,50,0,LOC_CIVIC_MILITARY_TRADITION_DESCRIPTION,ERA_ANCIENT,0,-3,ADVISOR_CONQUEST,0,
CIVIC_STATE_WORKFORCE,LOC_CIVIC_STATE_WORKFORCE_NAME,70,0,,ERA_ANCIENT,0,0,ADVISOR_GENERIC,0,
CIVIC_EARLY_EMPIRE,LOC_CIVIC_EARLY_EMPIRE_NAME,70,0,LOC_CIVIC_EARLY_EMPIRE_DESCRIPTION,ERA_ANCIENT,0,1,ADVISOR_GENERIC,0,
CIVIC_MYSTICISM,LOC_CIVIC_MYSTICISM_NAME,50,0,,ERA_ANCIENT,0,3,ADVISOR_RELIGIOUS,0,
CIVIC_GAMES_RECREATION,LOC_CIVIC_GAMES_RECREATION_NAME,110,0,,ERA_CLASSICAL,0,-2,ADVISOR_GENERIC,0,
CIVIC_POLITICAL_PHILOSOPHY,LOC_CIVIC_POLITICAL_PHILOSOPHY_NAME,110,0,,ERA_CLASSICAL,0,0,ADVISOR_GENERIC,0,
CIVIC_DRAMA_POETRY,LOC_CIVIC_DRAMA_POETRY_NAME,110,0,,ERA_CLASSICAL,0,2,ADVISOR_CULTURE,0,
CIVIC_MILITARY_TRAINING,LOC_CIVIC_MILITARY_TRAINING_NAME,120,0,,ERA_CLASSICAL,0,-3,ADVISOR_CONQUEST,0,
CIVIC_DEFENSIVE_TACTICS,LOC_CIVIC_DEFENSIVE_TACTICS_NAME,175,0,,ERA_CLASSICAL,0,-1,ADVISOR_GENERIC,0,
CIVIC_RECORDED_HISTORY,LOC_CIVIC_RECORDED_HISTORY_NAME,175,0,,ERA_CLASSICAL,0,1,ADVISOR_TECHNOLOGY,0,
CIVIC_THEOLOGY,LOC_CIVIC_THEOLOGY_NAME,120,0,,ERA_CLASSICAL,0,3,ADVISOR_RELIGIOUS,0,
CIVIC_NAVAL_TRADITION,LOC_CIVIC_NAVAL_TRADITION_NAME,220,0,,ERA_MEDIEVAL,0,-2,ADVISOR_GENERIC,0,
CIVIC_FEUDALISM,LOC_CIVIC_FEUDALISM_NAME,300,0,LOC_CIVIC_FEUDALISM_DESCRIPTION,ERA_MEDIEVAL,0,-1,ADVISOR_GENERIC,0,
CIVIC_CIVIL_SERVICE,LOC_CIVIC_CIVIL_SERVICE_NAME,300,0,,ERA_MEDIEVAL,0,1,ADVISOR_GENERIC,0,
CIVIC_MERCENARIES,LOC_CIVIC_MERCENARIES_NAME,340,0,,ERA_MEDIEVAL,0,-3,ADVISOR_CONQUEST,0,
CIVIC_MEDIEVAL_FAIRES,LOC_CIVIC_MEDIEVAL_FAIRES_NAME,420,0,,ERA_MEDIEVAL,0,-1,ADVISOR_CULTURE,0,
CIVIC_GUILDS,LOC_CIVIC_GUILDS_NAME,420,0,,ERA_MEDIEVAL,0,1,ADVISOR_GENERIC,0,
CIVIC_DIVINE_RIGHT,LOC_CIVIC_DIVINE_RIGHT_NAME,340,0,,ERA_MEDIEVAL,0,3,ADVISOR_GENERIC,0,
CIVIC_EXPLORATION,LOC_CIVIC_EXPLORATION_NAME,440,0,,ERA_RENAISSANCE,0,-3,ADVISOR_GENERIC,0,
CIVIC_HUMANISM,LOC_CIVIC_HUMANISM_NAME,600,0,,ERA_RENAISSANCE,0,-1,ADVISOR_CULTURE,0,
CIVIC_DIPLOMATIC_SERVICE,LOC_CIVIC_DIPLOMATIC_SERVICE_NAME,600,0,LOC_CIVIC_DIPLOMATIC_SERVICE_DESCRIPTION,ERA_RENAISSANCE,0,1,ADVISOR_TECHNOLOGY,0,
CIVIC_REFORMED_CHURCH,LOC_CIVIC_REFORMED_CHURCH_NAME,440,0,,ERA_RENAISSANCE,0,3,ADVISOR_CONQUEST,0,
CIVIC_MERCANTILISM,LOC_CIVIC_MERCANTILISM_NAME,720,0,LOC_CIVIC_MERCANTILISM_DESCRIPTION,ERA_RENAISSANCE,0,-1,ADVISOR_GENERIC,0,
CIVIC_THE_ENLIGHTENMENT,LOC_CIVIC_THE_ENLIGHTENMENT_NAME,720,0,LOC_CIVIC_THE_ENLIGHTENMENT_DESCRIPTION,ERA_RENAISSANCE,0,1,ADVISOR_TECHNOLOGY,0,
CIVIC_COLONIALISM,LOC_CIVIC_COLONIALISM_NAME,800,0,LOC_CIVIC_COLONIALISM_DESCRIPTION,ERA_INDUSTRIAL,0,-3,ADVISOR_GENERIC,0,
CIVIC_CIVIL_ENGINEERING,LOC_CIVIC_CIVIL_ENGINEERING_NAME,1010,0,LOC_CIVIC_CIVIL_ENGINEERING_DESCRIPTION,ERA_INDUSTRIAL,0,-1,ADVISOR_GENERIC,0,
