CivilizationType,CitizenName,Female,Modern
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_1,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_2,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_3,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_4,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_5,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_6,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_7,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_8,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_9,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MALE_10,0,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_1,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_2,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_3,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_4,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_5,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_6,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_7,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_8,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_9,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_FEMALE_10,1,0
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_1,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_2,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_3,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_4,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_5,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_6,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_7,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_8,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_9,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_MALE_10,0,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_1,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_2,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_3,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_4,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_5,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_6,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_7,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_8,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_9,1,1
CIVILIZATION_AMERICA,LOC_CITIZEN_AMERICA_MODERN_FEMALE_10,1,1
