CivilizationType,Header,Caption,SortIndex
CIVILIZATION_AMERICA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_AMERICA_LOCATION,10
CIVILIZATION_AMERICA,LOC_CIVINFO_SIZE,LOC_CIVINFO_AMERICA_SIZE,20
CIVILIZATION_AMERICA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_AMERICA_POPULATION,30
CIVILIZATION_AMERICA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_AMERICA_CAPITAL,40
CIVILIZATION_ARABIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_ARABIA_LOCATION,10
CIVILIZATION_ARABIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_ARABIA_SIZE,20
CIVILIZATION_ARABIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_ARABIA_POPULATION,30
CIVILIZATION_ARABIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_ARABIA_CAPITAL,40
CIVILIZATION_BRAZIL,LOC_CIVINFO_LOCATION,LOC_CIVINFO_BRAZIL_LOCATION,10
CIVILIZATION_BRAZIL,LOC_CIVINFO_SIZE,LOC_CIVINFO_BRAZIL_SIZE,20
CIVILIZATION_BRAZIL,LOC_CIVINFO_POPULATION,LOC_CIVINFO_BRAZIL_POPULATION,30
CIVILIZATION_BRAZIL,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_BRAZIL_CAPITAL,40
CIVILIZATION_CHINA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_CHINA_LOCATION,10
CIVILIZATION_CHINA,LOC_CIVINFO_SIZE,LOC_CIVINFO_CHINA_SIZE,20
CIVILIZATION_CHINA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_CHINA_POPULATION,30
CIVILIZATION_CHINA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_CHINA_CAPITAL,40
CIVILIZATION_ENGLAND,LOC_CIVINFO_LOCATION,LOC_CIVINFO_ENGLAND_LOCATION,10
CIVILIZATION_ENGLAND,LOC_CIVINFO_SIZE,LOC_CIVINFO_ENGLAND_SIZE,20
CIVILIZATION_ENGLAND,LOC_CIVINFO_POPULATION,LOC_CIVINFO_ENGLAND_POPULATION,30
CIVILIZATION_ENGLAND,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_ENGLAND_CAPITAL,40
CIVILIZATION_EGYPT,LOC_CIVINFO_LOCATION,LOC_CIVINFO_EGYPT_LOCATION,10
CIVILIZATION_EGYPT,LOC_CIVINFO_SIZE,LOC_CIVINFO_EGYPT_SIZE,20
CIVILIZATION_EGYPT,LOC_CIVINFO_POPULATION,LOC_CIVINFO_EGYPT_POPULATION,30
CIVILIZATION_EGYPT,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_EGYPT_CAPITAL,40
CIVILIZATION_FRANCE,LOC_CIVINFO_LOCATION,LOC_CIVINFO_FRANCE_LOCATION,10
CIVILIZATION_FRANCE,LOC_CIVINFO_SIZE,LOC_CIVINFO_FRANCE_SIZE,20
CIVILIZATION_FRANCE,LOC_CIVINFO_POPULATION,LOC_CIVINFO_FRANCE_POPULATION,30
CIVILIZATION_FRANCE,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_FRANCE_CAPITAL,40
CIVILIZATION_GERMANY,LOC_CIVINFO_LOCATION,LOC_CIVINFO_GERMANY_LOCATION,10
CIVILIZATION_GERMANY,LOC_CIVINFO_SIZE,LOC_CIVINFO_GERMANY_SIZE,20
CIVILIZATION_GERMANY,LOC_CIVINFO_POPULATION,LOC_CIVINFO_GERMANY_POPULATION,30
CIVILIZATION_GERMANY,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_GERMANY_CAPITAL,40
CIVILIZATION_GREECE,LOC_CIVINFO_LOCATION,LOC_CIVINFO_GREECE_LOCATION,10
CIVILIZATION_GREECE,LOC_CIVINFO_SIZE,LOC_CIVINFO_GREECE_SIZE,20
CIVILIZATION_GREECE,LOC_CIVINFO_POPULATION,LOC_CIVINFO_GREECE_POPULATION,30
CIVILIZATION_GREECE,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_GREECE_CAPITAL,40
