CivilizationType,TraitType
CIVILIZATION_BARBARIAN,TRAIT_BARBARIAN
CIVILIZATION_BARBARIAN,TRAIT_BARBARIAN_BUT_SHOWS_UP_IN_PEDIA
CIVILIZATION_AMERICA,TRAIT_CIVILIZATION_FOUNDING_FATHERS
CIVILIZATION_AMERICA,TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO
CIVILIZATION_AMERICA,TRAIT_CIVILIZATION_UNIT_AMERICAN_P51
CIVILIZATION_ARABIA,TRAIT_CIVILIZATION_LAST_PROPHET
CIVILIZATION_ARABIA,TRAIT_CIVILIZATION_BUILDING_MADRASA
CIVILIZATION_ARABIA,TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK
CIVILIZATION_BRAZIL,TRAIT_CIVILIZATION_AMAZON
CIVILIZATION_BRAZIL,TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES
CIVILIZATION_BRAZIL,TRAIT_CIVILIZATION_STREET_CARNIVAL
CIVILIZATION_CHINA,TRAIT_CIVILIZATION_DYNASTIC_CYCLE
CIVILIZATION_CHINA,TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL
CIVILIZATION_CHINA,TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER
CIVILIZATION_EGYPT,TRAIT_CIVILIZATION_ITERU
CIVILIZATION_EGYPT,TRAIT_CIVILIZATION_IMPROVEMENT_SPHINX
CIVILIZATION_EGYPT,TRAIT_CIVILIZATION_UNIT_EGYPTIAN_CHARIOT_ARCHER
CIVILIZATION_ENGLAND,TRAIT_CIVILIZATION_UNIT_ENGLISH_SEADOG
CIVILIZATION_ENGLAND,TRAIT_CIVILIZATION_ROYAL_NAVY_DOCKYARD
CIVILIZATION_FRANCE,TRAIT_CIVILIZATION_IMPROVEMENT_CHATEAU
CIVILIZATION_FRANCE,TRAIT_CIVILIZATION_WONDER_TOURISM
CIVILIZATION_FRANCE,TRAIT_CIVILIZATION_UNIT_FRENCH_GARDE_IMPERIALE
CIVILIZATION_GERMANY,TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES
CIVILIZATION_GERMANY,TRAIT_CIVILIZATION_DISTRICT_HANSA
CIVILIZATION_GERMANY,TRAIT_CIVILIZATION_UNIT_GERMAN_UBOAT
CIVILIZATION_GREECE,TRAIT_CIVILIZATION_PLATOS_REPUBLIC
CIVILIZATION_GREECE,TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS
CIVILIZATION_GREECE,TRAIT_CIVILIZATION_UNIT_GREEK_HOPLITE
CIVILIZATION_INDIA,TRAIT_CIVILIZATION_DHARMA
CIVILIZATION_INDIA,TRAIT_CIVILIZATION_IMPROVEMENT_STEPWELL
CIVILIZATION_INDIA,TRAIT_CIVILIZATION_UNIT_INDIAN_VARU
CIVILIZATION_JAPAN,TRAIT_CIVILIZATION_ADJACENT_DISTRICTS
CIVILIZATION_JAPAN,TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY
CIVILIZATION_JAPAN,TRAIT_CIVILIZATION_UNIT_JAPANESE_SAMURAI
CIVILIZATION_KONGO,TRAIT_CIVILIZATION_NKISI
CIVILIZATION_KONGO,TRAIT_CIVILIZATION_MBANZA
CIVILIZATION_KONGO,TRAIT_CIVILIZATION_UNIT_KONGO_SHIELD_BEARER
CIVILIZATION_NORWAY,TRAIT_CIVILIZATION_BUILDING_STAVE_CHURCH
CIVILIZATION_NORWAY,TRAIT_CIVILIZATION_UNIT_NORWEGIAN_BERSERKER
CIVILIZATION_NORWAY,TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION
CIVILIZATION_ROME,TRAIT_CIVILIZATION_DISTRICT_BATH
CIVILIZATION_ROME,TRAIT_CIVILIZATION_UNIT_ROMAN_LEGION
CIVILIZATION_ROME,TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME
CIVILIZATION_RUSSIA,TRAIT_CIVILIZATION_MOTHER_RUSSIA
CIVILIZATION_RUSSIA,TRAIT_CIVILIZATION_DISTRICT_LAVRA
CIVILIZATION_RUSSIA,TRAIT_CIVILIZATION_UNIT_RUSSIAN_COSSACK
CIVILIZATION_SCYTHIA,TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY
CIVILIZATION_SCYTHIA,TRAIT_CIVILIZATION_IMPROVEMENT_KURGAN
CIVILIZATION_SCYTHIA,TRAIT_CIVILIZATION_UNIT_SCYTHIAN_HORSE_ARCHER
CIVILIZATION_SPAIN,TRAIT_CIVILIZATION_IMPROVEMENT_MISSION
CIVILIZATION_SPAIN,TRAIT_CIVILIZATION_UNIT_SPANISH_CONQUISTADOR
CIVILIZATION_SPAIN,TRAIT_CIVILIZATION_TREASURE_FLEET
CIVILIZATION_SUMERIA,TRAIT_CIVILIZATION_FIRST_CIVILIZATION
CIVILIZATION_SUMERIA,TRAIT_CIVILIZATION_IMPROVEMENT_ZIGGURAT
CIVILIZATION_SUMERIA,TRAIT_CIVILIZATION_UNIT_SUMERIAN_WAR_CART
CIVILIZATION_AZTEC,TRAIT_CIVILIZATION_LEGEND_FIVE_SUNS
CIVILIZATION_AZTEC,TRAIT_CIVILIZATION_BUILDING_TLACHTLI
CIVILIZATION_AZTEC,TRAIT_CIVILIZATION_UNIT_AZTEC_EAGLE_WARRIOR
CIVILIZATION_INDONESIA,TRAIT_CIVILIZATION_IMPROVEMENT_KAMPUNG
CIVILIZATION_INDONESIA,TRAIT_CIVILIZATION_INDONESIA_NUSANTARA
CIVILIZATION_INDONESIA,TRAIT_CIVILIZATION_UNIT_INDONESIAN_JONG
CIVILIZATION_KHMER,TRAIT_CIVILIZATION_KHMER_BARAYS
CIVILIZATION_KHMER,TRAIT_CIVILIZATION_BUILDING_PRASAT
CIVILIZATION_KHMER,TRAIT_CIVILIZATION_UNIT_KHMER_DOMREY
CIVILIZATION_POLAND,TRAIT_CIVILIZATION_BUILDING_SUKIENNICE
CIVILIZATION_POLAND,TRAIT_CIVILIZATION_GOLDEN_LIBERTY
CIVILIZATION_POLAND,TRAIT_CIVILIZATION_UNIT_POLISH_HUSSAR
CIVILIZATION_NUBIA,TRAIT_CIVILIZATION_TA_SETI
CIVILIZATION_NUBIA,TRAIT_CIVILIZATION_IMPROVEMENT_PYRAMID
CIVILIZATION_NUBIA,TRAIT_CIVILIZATION_UNIT_NUBIAN_PITATI
CIVILIZATION_MACEDON,TRAIT_CIVILIZATION_HELLENISTIC_FUSION
CIVILIZATION_MACEDON,TRAIT_CIVILIZATION_BUILDING_BASILIKOI_PAIDES
CIVILIZATION_MACEDON,TRAIT_CIVILIZATION_UNIT_HYPASPIST
CIVILIZATION_PERSIA,TRAIT_CIVILIZATION_SATRAPIES
CIVILIZATION_PERSIA,TRAIT_CIVILIZATION_IMPROVEMENT_PAIRIDAEZA
CIVILIZATION_PERSIA,TRAIT_CIVILIZATION_UNIT_IMMORTAL
CIVILIZATION_AUSTRALIA,TRAIT_CIVILIZATION_LAND_DOWN_UNDER
CIVILIZATION_AUSTRALIA,TRAIT_CIVILIZATION_IMPROVEMENT_OUTBACK_STATION
CIVILIZATION_AUSTRALIA,TRAIT_CIVILIZATION_UNIT_DIGGER
CIVILIZATION_CREE,TRAIT_CIVILIZATION_CREE_TRADE_GAIN_TILES
CIVILIZATION_CREE,TRAIT_CIVILIZATION_IMPROVEMENT_MEKEWAP
CIVILIZATION_CREE,TRAIT_CIVILIZATION_UNIT_CREE_OKIHTCITAW
CIVILIZATION_KOREA,TRAIT_CIVILIZATION_THREE_KINGDOMS
CIVILIZATION_KOREA,TRAIT_CIVILIZATION_DISTRICT_SEOWON
CIVILIZATION_KOREA,TRAIT_CIVILIZATION_UNIT_KOREAN_HWACHA
CIVILIZATION_GEORGIA,TRAIT_CIVILIZATION_BUILDING_TSIKHE
CIVILIZATION_GEORGIA,TRAIT_CIVILIZATION_UNIT_GEORGIAN_KHEVSURETI
CIVILIZATION_GEORGIA,TRAIT_CIVILIZATION_GOLDEN_AGE_QUESTS
CIVILIZATION_MAPUCHE,TRAIT_CIVILIZATION_IMPROVEMENT_CHEMAMULL
CIVILIZATION_MAPUCHE,TRAIT_CIVILIZATION_UNIT_MAPUCHE_MALON_RAIDER
CIVILIZATION_MAPUCHE,TRAIT_CIVILIZATION_MAPUCHE_TOQUI
CIVILIZATION_MONGOLIA,TRAIT_CIVILIZATION_MONGOLIAN_ORTOO
