CivilizationType,Name,Description,Adjective,RandomCityNameDepth,StartingCivilizationLevelType,Ethnicity
CIVILIZATION_AMERICA,LOC_CIVILIZATION_AMERICA_NAME,LOC_CIVILIZATION_AMERICA_DESCRIPTION,LOC_CIVILIZATION_AMERICA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_ARABIA,LOC_CIVILIZATION_ARABIA_NAME,LOC_CIVILIZATION_ARABIA_DESCRIPTION,LOC_CIVILIZATION_ARABIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_BRAZIL,LOC_CIVILIZATION_BRAZIL_NAME,LOC_CIVILIZATION_BRAZIL_DESCRIPTION,LOC_CIVILIZATION_BRAZIL_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_CHINA,LOC_CIVILIZATION_CHINA_NAME,LOC_CIVILIZATION_CHINA_DESCRIPTION,LOC_CIVILIZATION_CHINA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_ASIAN
CIVILIZATION_ENGLAND,LOC_CIVILIZATION_ENGLAND_NAME,LOC_CIVILIZATION_ENGLAND_DESCRIPTION,LOC_CIVILIZATION_ENGLAND_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_EGYPT,LOC_CIVILIZATION_EGYPT_NAME,LOC_CIVILIZATION_EGYPT_DESCRIPTION,LOC_CIVILIZATION_EGYPT_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_FRANCE,LOC_CIVILIZATION_FRANCE_NAME,LOC_CIVILIZATION_FRANCE_DESCRIPTION,LOC_CIVILIZATION_FRANCE_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_GERMANY,LOC_CIVILIZATION_GERMANY_NAME,LOC_CIVILIZATION_GERMANY_DESCRIPTION,LOC_CIVILIZATION_GERMANY_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_GREECE,LOC_CIVILIZATION_GREECE_NAME,LOC_CIVILIZATION_GREECE_DESCRIPTION,LOC_CIVILIZATION_GREECE_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_INDIA,LOC_CIVILIZATION_INDIA_NAME,LOC_CIVILIZATION_INDIA_DESCRIPTION,LOC_CIVILIZATION_INDIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_JAPAN,LOC_CIVILIZATION_JAPAN_NAME,LOC_CIVILIZATION_JAPAN_DESCRIPTION,LOC_CIVILIZATION_JAPAN_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_ASIAN
CIVILIZATION_KONGO,LOC_CIVILIZATION_KONGO_NAME,LOC_CIVILIZATION_KONGO_DESCRIPTION,LOC_CIVILIZATION_KONGO_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_AFRICAN
CIVILIZATION_NORWAY,LOC_CIVILIZATION_NORWAY_NAME,LOC_CIVILIZATION_NORWAY_DESCRIPTION,LOC_CIVILIZATION_NORWAY_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_ROME,LOC_CIVILIZATION_ROME_NAME,LOC_CIVILIZATION_ROME_DESCRIPTION,LOC_CIVILIZATION_ROME_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_RUSSIA,LOC_CIVILIZATION_RUSSIA_NAME,LOC_CIVILIZATION_RUSSIA_DESCRIPTION,LOC_CIVILIZATION_RUSSIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
