SectionId,PageId,ChapterId,Paragraph,SortIndex
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_1,1
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_2,2
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_3,3
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_4,4
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_5,5
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_6,6
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_7,7
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_8,8
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_9,9
CIVILIZATIONS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_10,10
LEADERS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_1,1
LEADERS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_2,2
LEADERS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_3,3
LEADERS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_4,4
LEADERS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_5,5
LEADERS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_6,6
LEADERS,LEADER_T_ROOSEVELT_ROUGHRIDER,HISTORY,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_CHAPTER_HISTORY_PARA_7,7
