SectionId,PageGroupId,Name,Tooltip,VisibleIfEmpty,SortIndex
CONCEPTS,GAME_MODES,LOC_PEDIA_CONCEPTS_PAGEGROUP_MODES_NAME,,0,4
CONCEPTS,CITIES,LOC_PEDIA_CONCEPTS_PAGEGROUP_CITIES_NAME,,0,10
CONCEPTS,WORLD,LOC_PEDIA_CONCEPTS_PAGEGROUP_WORLD_NAME,,0,20
CONCEPTS,COMBAT,LOC_PEDIA_CONCEPTS_PAGEGROUP_COMBAT_NAME,,0,25
CONCEPTS,AIRCOMBAT,LOC_PEDIA_CONCEPTS_PAGEGROUP_AIRCOMBAT_NAME,,0,30
CONCEPTS,MOVEMENT,LOC_PEDIA_CONCEPTS_PAGEGROUP_MOVEMENT_NAME,,0,40
CONCEPTS,SCIENCE,LOC_PEDIA_CONCEPTS_PAGEGROUP_SCIENCE_NAME,,0,70
CONCEPTS,CULTURE,LOC_PEDIA_CONCEPTS_PAGEGROUP_CULTURE_NAME,,0,80
CONCEPTS,GOLD,LOC_PEDIA_CONCEPTS_PAGEGROUP_GOLD_NAME,,0,81
CONCEPTS,FAITH,LOC_PEDIA_CONCEPTS_PAGEGROUP_FAITH_NAME,,0,82
CONCEPTS,DIPLO,LOC_PEDIA_CONCEPTS_PAGEGROUP_DIPLO_NAME,,0,90
CONCEPTS,CITYSTATES,LOC_PEDIA_CONCEPTS_PAGEGROUP_CITYSTATES_NAME,,0,95
CONCEPTS,TRADE,LOC_PEDIA_CONCEPTS_PAGEGROUP_TRADE_NAME,,0,100
CONCEPTS,GOVT,LOC_PEDIA_CONCEPTS_PAGEGROUP_GOVT_NAME,,0,110
CONCEPTS,GREATPEOPLE,LOC_PEDIA_CONCEPTS_PAGEGROUP_GREATPEOPLE_NAME,,0,120
CONCEPTS,NUKES,LOC_PEDIA_CONCEPTS_PAGEGROUP_NUKES_NAME,,0,150
CONCEPTS,TOURISM,LOC_PEDIA_CONCEPTS_PAGEGROUP_TOURISM_NAME,,0,160
CONCEPTS,VICTORY,LOC_PEDIA_CONCEPTS_PAGEGROUP_VICTORY_NAME,,0,170
CONCEPTS,TEAMS,LOC_PEDIA_CONCEPTS_PAGEGROUP_TEAMS_NAME,,0,180
CITYSTATES,CULTURAL,LOC_PEDIA_CITYSTATES_PAGEGROUP_CULTURAL_NAME,,0,10
CITYSTATES,INDUSTRIAL,LOC_PEDIA_CITYSTATES_PAGEGROUP_INDUSTRIAL_NAME,,0,10
CITYSTATES,MILITARISTIC,LOC_PEDIA_CITYSTATES_PAGEGROUP_MILITARISTIC_NAME,,0,10
CITYSTATES,RELIGIOUS,LOC_PEDIA_CITYSTATES_PAGEGROUP_RELIGIOUS_NAME,,0,10
CITYSTATES,SCIENTIFIC,LOC_PEDIA_CITYSTATES_PAGEGROUP_SCIENTIFIC_NAME,,0,10
CITYSTATES,TRADE,LOC_PEDIA_CITYSTATES_PAGEGROUP_TRADE_NAME,,0,10
GOVERNMENTS,Government,LOC_PEDIA_GOVERNMENTS_PAGEGROUP_GOVERNMENTS_NAME,,1,10
GOVERNMENTS,SLOT_MILITARY,LOC_PEDIA_GOVERNMENTS_PAGEGROUP_MILITARY_POLICIES_NAME,,0,20
GOVERNMENTS,SLOT_ECONOMIC,LOC_PEDIA_GOVERNMENTS_PAGEGROUP_ECONOMIC_POLICES_NAME,,0,30
GOVERNMENTS,SLOT_DIPLOMATIC,LOC_PEDIA_GOVERNMENTS_PAGEGROUP_DIPLOMATIC_POLICIES_NAME,,0,40
GOVERNMENTS,SLOT_GREAT_PERSON,LOC_PEDIA_GOVERNMENTS_PAGEGROUP_GREATPEOPLE_POLICIES_NAME,,0,50
GOVERNMENTS,SLOT_WILDCARD,LOC_PEDIA_GOVERNMENTS_PAGEGROUP_WILDCARD_POLICIES_NAME,,0,60
RELIGIONS,Religion,LOC_PEDIA_RELIGIONS_PAGEGROUP_RELIGIONS_NAME,,1,10
RELIGIONS,BELIEF_CLASS_PANTHEON,LOC_PEDIA_RELIGIONS_PAGEGROUP_PANTHEON_BELIEFS_NAME,,1,20
RELIGIONS,BELIEF_CLASS_WORSHIP,LOC_PEDIA_RELIGIONS_PAGEGROUP_WORSHIP_BELIEFS_NAME,,1,30
RELIGIONS,BELIEF_CLASS_FOLLOWER,LOC_PEDIA_RELIGIONS_PAGEGROUP_FOLLOWER_BELIEFS_NAME,,1,40
RELIGIONS,BELIEF_CLASS_FOUNDER,LOC_PEDIA_RELIGIONS_PAGEGROUP_FOUNDER_BELIEFS_NAME,,1,50
RELIGIONS,BELIEF_CLASS_ENHANCER,LOC_PEDIA_RELIGIONS_PAGEGROUP_ENHANCER_BELIEFS_NAME,,1,60
FEATURES,Terrain,LOC_PEDIA_FEATURES_PAGEGROUP_TERRAINS_NAME,,1,10
FEATURES,Feature,LOC_PEDIA_FEATURES_PAGEGROUP_FEATURES_NAME,,1,20
FEATURES,Wonder,LOC_PEDIA_FEATURES_PAGEGROUP_NATURAL_WONDERS_NAME,,1,30
RESOURCES,RESOURCECLASS_BONUS,LOC_PEDIA_RESOURCES_PAGEGROUP_BONUS_NAME,,1,10
RESOURCES,RESOURCECLASS_LUXURY,LOC_PEDIA_RESOURCES_PAGEGROUP_LUXURY_NAME,,1,20
RESOURCES,RESOURCECLASS_STRATEGIC,LOC_PEDIA_RESOURCES_PAGEGROUP_STRATEGIC_NAME,,1,30
RESOURCES,RESOURCECLASS_ARTIFACT,LOC_PEDIA_RESOURCES_PAGEGROUP_ARTIFACT_NAME,,1,40
IMPROVEMENTS,Improvements,LOC_PEDIA_IMPROVEMENTS_PAGEGROUP_IMPROVEMENTS_NAME,,1,10
IMPROVEMENTS,Routes,LOC_PEDIA_IMPROVEMENTS_PAGEGROUP_ROUTES_NAME,,1,20
WONDERS,Wonders,LOC_PEDIA_WONDERS_PAGEGROUP_WONDERS_NAME,,1,10
