PageLayoutId,ChapterId,SortIndex
FrontPage,INTRO,10
Simple,CONTENT,10
Basic,HISTORY,10
Belief,HISTORY,10
Building,HISTORY,10
CityState,HISTORY,10
Civic,HISTORY,10
Civilization,HISTORY,10
District,HISTORY,10
Feature,HISTORY,10
Government,HISTORY,10
GreatPerson,HISTORY,10
Improvement,HISTORY,10
Leader,CAPSULE,8
Leader,DETAILED,9
Leader,HISTORY,10
Policy,HISTORY,10
Project,HISTORY,10
Religion,HISTORY,10
Resource,HISTORY,10
Route,HISTORY,10
Technology,HISTORY,10
Terrain,HISTORY,10
Unit,HISTORY,10
UnitPromotion,HISTORY,10
Wonder,HISTORY,10
Governor,HISTORY,10
GovernorPromotion,HISTORY,10
EnvironmentalEffects,VOLCANOES,20
EnvironmentalEffects,GEOTHERMAL_FISSURES,30
EnvironmentalEffects,FLOODS,40
EnvironmentalEffects,STORMS,50
EnvironmentalEffects,CLIMATE_CHANGE,60
EnvironmentalEffects,NUCLEAR_ACCIDENTS,70
EnvironmentalEffects,DROUGHTS,80
WorldCongress,CONGRESS,20
WorldCongress,FAVOR,30
WorldCongress,RESOLUTIONS,40
WorldCongress,DISCUSSIONS,50
WorldCongress,INTERVENTIONS,60
BarbarianClans,WELCOME,10
BarbarianClans,TYPES,20
BarbarianClans,UNITS,30
BarbarianClans,CITYCONVERSION,40
BarbarianClans,UNITCOMMANDS,50
BarbarianClans,PLAYEROPS,60
BarbarianClans,HISTORY,70
BarbarianClanType,CONTENT,10
BarbarianClanType,HISTORY,20
EnvironmentalEffects,FIRES,1
EnvironmentalEffects,SHOWERS,2
SecretSocieties,WELCOME,10
SecretSocieties,DISCOVERY,20
SecretSocieties,INITIATION,30
SecretSocieties,DEEPER_MYSTERIES,40
Heroes,WELCOME,10
Heroes,DISCOVERY,20
Heroes,CLAIMING,30
Heroes,UNITS,40
Heroes,LIFESPAN,50
Heroes,RECALLING,60
Heroes,GREATWORKS,70
HeroUnit,HISTORY,10
