PageLayoutId,ScriptTemplate
FrontPage,FrontPage
Simple,Simple
Basic,Simple
Civilization,Civilization
Leader,Leader
CityState,CityState
District,District
Building,Building
Unit,Unit
Technology,Technology
Civic,Civic
Government,Government
Policy,Policy
Improvement,Improvement
Route,Route
Religion,Religion
Belief,Belief
Wonder,Wonder
Project,Project
Terrain,Terrain
Feature,Feature
Resource,Resource
GreatPerson,GreatPerson
UnitPromotion,UnitPromotion
Governor,Governor
GovernorPromotion,GovernorPromotion
HistoricMoment,HistoricMoment
EnvironmentalEffects,Simple
WorldCongress,Simple
BarbarianClans,Simple
BarbarianClanType,Simple
SecretSocieties,Simple
Heroes,Simple
HeroUnit,HeroUnit
