RowId,SectionId,SQL,PageIdColumn,PageGroupIdColumn,PageLayoutIdColumn,NameColumn,TooltipColumn,TextKeyPrefixColumn,SortIndexColumn,SortIndex
2,LEADERS,"SELECT distinct Leaders.LeaderType AS PageId, null AS PageGroupId, ""Leader"" AS PageLayoutId, Leaders.Name, null AS Tooltip FROM Leaders INNER JOIN CivilizationLeaders on CivilizationLeaders.LeaderType = Leaders.LeaderType INNER JOIN Civilizations ON CivilizationLeaders.CivilizationType = Civilizations.CivilizationType WHERE Civilizations.StartingCivilizationLevelType = ""CIVILIZATION_LEVEL_FULL_CIV""",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
3,CITYSTATES,"SELECT CivilizationType as PageId, TypeProperties.Value as PageGroupId, ""CityState"" as PageLayoutId, Civilizations.Name as Name, null as Tooltip FROM Civilizations inner join TypeProperties on Civilizations.CivilizationType = TypeProperties.Type where StartingCivilizationLevelType = ""CIVILIZATION_LEVEL_CITY_STATE"" and TypeProperties.Name = ""CityStateCategory""",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
4,DISTRICTS,"SELECT DistrictType as PageId, null as PageGroupId, ""District"" as PageLayoutId, Name, null as Tooltip FROM Districts where InternalOnly = 0",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
5,BUILDINGS,"SELECT BuildingType as PageId, PreReqDistrict as PageGroupId, ""Building"" as PageLayoutId, Name, null as Tooltip FROM Buildings Where IsWonder = 0 AND InternalOnly = 0",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
6,WONDERS,"SELECT BuildingType as PageId, ""Wonders"" as PageGroupId, ""Building"" as PageLayoutId, Name, null as Tooltip FROM Buildings Where IsWonder = 1 AND InternalOnly = 0",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
7,WONDERS,"SELECT ProjectType as PageId, ""Projects"" as PageGroupId, ""Project"" as PageLayoutId, ShortName as Name, null as Tooltip FROM Projects",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
9,UNITPROMOTIONS,"SELECT UnitPromotionType as PageId, PromotionClass as PageGroupId, ""UnitPromotion"" as PageLayoutId, Name, null as Tooltip FROM UnitPromotions",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
10,GREATPEOPLE,"SELECT GreatPersonIndividualType as PageId, GreatPersonClassType as PageGroupId, ""GreatPerson"" as PageLayoutId, Name, null as Tooltip FROM GreatPersonIndividuals",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
11,TECHNOLOGIES,"SELECT TechnologyType as PageId, EraType as PageGroupId, ""Technology"" as PageLayoutId, Name, null as Tooltip FROM Technologies",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
12,CIVICS,"SELECT CivicType as PageId, EraType as PageGroupId, ""Civic"" as PageLayoutId, Name, null as Tooltip FROM Civics",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
15,RELIGIONS,"SELECT ReligionType as PageId, ""Religion"" as PageGroupId, ""Religion"" as PageLayoutId, Name, null as Tooltip FROM Religions WHERE Pantheon = 0 and RequiresCustomName = 0",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
16,RELIGIONS,"SELECT BeliefType as PageId, BeliefClassType as PageGroupId, ""Belief"" as PageLayoutId, Name, null as Tooltip FROM Beliefs",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
17,FEATURES,"SELECT TerrainType as PageId, ""Terrain"" as PageGroupId, ""Terrain"" as PageLayoutId, Name, null as Tooltip FROM Terrains where Mountain = 0 and TerrainType <> ""TERRAIN_OUTOFPLAY""",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
18,FEATURES,"SELECT FeatureType as PageId, CASE WHEN NaturalWonder=0 THEN ""Feature"" ELSE ""Wonder"" END as PageGroupId, ""Feature"" as PageLayoutId, Name, null as Tooltip FROM Features",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
19,RESOURCES,"SELECT ResourceType as PageId, ResourceClassType as PageGroupId, ""Resource"" as PageLayoutId, Name, null as Tooltip FROM Resources",PageId,PageGroupId,PageLayoutId,Name,Tooltip,,,10
