SectionId,PageId,PageGroupId,PageLayoutId,Name,Tooltip,SortIndex,TextKeyPrefix
CONCEPTS,INTRO,,FrontPage,LOC_PEDIA_CONCEPTS_GETTING_STARTED_TITLE,,0,
LEADERS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
CITYSTATES,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
DISTRICTS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
BUILDINGS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
WONDERS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
UNITS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
UNITPROMOTIONS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
GREATPEOPLE,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
TECHNOLOGIES,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
CIVICS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
GOVERNMENTS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
RELIGIONS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
FEATURES,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
RESOURCES,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
IMPROVEMENTS,INTRO,,Simple,LOC_PEDIA_PAGE_INTRO_TITLE,,0,
CONCEPTS,CITIES_1,CITIES,Simple,LOC_PEDIA_CONCEPTS_PAGE_CITIES_1_CHAPTER_CONTENT_TITLE,,10,
CONCEPTS,CITIES_2,CITIES,Simple,LOC_PEDIA_CONCEPTS_PAGE_CITIES_2_CHAPTER_CONTENT_TITLE,,20,
