SectionId,Name,Icon,SortIndex
CONCEPTS,LOC_PEDIA_CONCEPTS_TITLE,ICON_CIVILOPEDIA_CONCEPTS,0
CIVILIZATIONS,LOC_PEDIA_CIVILIZATIONS_LEADERS_TITLE,ICON_CIVILOPEDIA_CIVILIZATIONS,10
CITYSTATES,LOC_PEDIA_CITYSTATES_TITLE,ICON_CIVILOPEDIA_CITYSTATES,30
DISTRICTS,LOC_PEDIA_DISTRICTS_TITLE,ICON_CIVILOPEDIA_DISTRICTS,40
BUILDINGS,LOC_PEDIA_BUILDINGS_TITLE,ICON_CIVILOPEDIA_BUILDINGS,50
WONDERS,LOC_PEDIA_WONDERS_TITLE,ICON_CIVILOPEDIA_WONDERS,60
UNITS,LOC_PEDIA_UNITS_TITLE,ICON_CIVILOPEDIA_UNITS,70
UNITPROMOTIONS,LOC_PEDIA_UNITPROMOTIONS_TITLE,ICON_CIVILOPEDIA_UNITPROMOTIONS,80
GREATPEOPLE,LOC_PEDIA_GREATPEOPLE_TITLE,ICON_CIVILOPEDIA_GREATPEOPLE,90
TECHNOLOGIES,LOC_PEDIA_TECHNOLOGIES_TITLE,ICON_CIVILOPEDIA_TECHNOLOGIES,100
CIVICS,LOC_PEDIA_CIVICS_TITLE,ICON_CIVILOPEDIA_CIVICS,110
GOVERNMENTS,LOC_PEDIA_GOVERNMENTS_TITLE,ICON_CIVILOPEDIA_GOVERNMENTS,120
RELIGIONS,LOC_PEDIA_RELIGIONS_TITLE,ICON_CIVILOPEDIA_RELIGIONS,130
FEATURES,LOC_PEDIA_FEATURES_TITLE,ICON_CIVILOPEDIA_FEATURES,140
RESOURCES,LOC_PEDIA_RESOURCES_TITLE,ICON_CIVILOPEDIA_RESOURCES,150
IMPROVEMENTS,LOC_PEDIA_IMPROVEMENTS_TITLE,ICON_CIVILOPEDIA_IMPROVEMENTS,160
GOVERNORS,LOC_PEDIA_GOVERNORS_TITLE,ICON_CIVILOPEDIA_GOVERNORS,170
MOMENTS,LOC_PEDIA_MOMENTS_TITLE,ICON_CIVILOPEDIA_HISTORIC_MOMENTS,180
