CommemorationType,ModifierId
COMMEMORATION_SCIENTIFIC,COMMEMORATION_SCIENTIFIC_GA_BOOSTS
COMMEMORATION_SCIENTIFIC,COMMEMORATION_SCIENTIFIC_GA_HARBOR
COMMEMORATION_SCIENTIFIC,COMMEMORATION_SCIENTIFIC_GA_COMMERCIAL_HUB
COMMEMORATION_CULTURAL,COMMEMORATION_CULTURAL_GA_BOOSTS
COMMEMORATION_CULTURAL,COMMEMORATION_CULTURAL_DISTRICTCULTURE
COMMEMORATION_INFRASTRUCTURE,COMMEMORATION_INFRASTRUCTURE_GA_PURCHASE_CIVILIAN
COMMEMORATION_INFRASTRUCTURE,COMMEMORATION_INFRASTRUCTURE_GA_MOVEMENT
COMMEMORATION_INFRASTRUCTURE,COMMEMORATION_INFRASTRUCTURE_BUILDER_DISCOUNT_MODIFIER
COMMEMORATION_INFRASTRUCTURE,COMMEMORATION_INFRASTRUCTURE_SETTLER_DISCOUNT_MODIFIER
COMMEMORATION_RELIGIOUS,COMMEMORATION_RELIGIOUS_GA_CHARGES
COMMEMORATION_RELIGIOUS,COMMEMORATION_RELIGIOUS_GA_MOVEMENT
COMMEMORATION_RELIGIOUS,COMMEMORATION_RELIGIOUS_GA_GREAT_PROPHET_POINTS
COMMEMORATION_EXPLORATION,COMMEMORATION_EXPLORATION_GA_SEA_MOVEMENT
COMMEMORATION_EXPLORATION,COMMEMORATION_EXPLORATION_GA_EMBARKED_MOVEMENT
COMMEMORATION_EXPLORATION,COMMEMORATION_EXPLORATION_GA_NEW_CITY_POPULATION
COMMEMORATION_EXPLORATION,COMMEMORATION_EXPLORATION_GA_FOREIGNIDENTITY
COMMEMORATION_ECONOMIC,COMMEMORATION_ECONOMIC_GA_TRADE_ROUTE_YIELDS
COMMEMORATION_ECONOMIC,COMMEMORATION_ECONOMIC_GA_PLUNDER_IMMUNITY_MODIFIER
COMMEMORATION_INDUSTRIAL,COMMEMORATION_INDUSTRIAL_GA_INDUSTRIALINFORMATION
COMMEMORATION_INDUSTRIAL,COMMEMORATION_INUDSTRIAL_GA_CAMPUS
COMMEMORATION_MILITARY,COMMEMORATION_MILITARY_GA_PRODUCTION
COMMEMORATION_TOURISM,COMMEMORATION_TOURISM_GA_NATIONAL_PARKS
COMMEMORATION_TOURISM,COMMEMORATION_TOURISM_GA_WONDERS
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_SATELLITES
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_NUCLEAR_FUSION
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_NANOTECHNOLOGY
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_SMART_MATERIALS
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_PREDICTIVE_SYSTEMS
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_OFFWORLD_MISSION
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_AIR
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GA_ALUMINUM
COMMEMORATION_ESPIONAGE,COMMEMORATION_ESPIONAGE_GA_ESTABLISH
COMMEMORATION_ESPIONAGE,COMMEMORATION_ESPIONAGE_GA_REDUCTION
COMMEMORATION_SCIENTIFIC,COMMEMORATION_SCIENTIFIC_QUEST
COMMEMORATION_SCIENTIFIC,COMMEMORATION_SCIENTIFIC_BUILDING_QUEST
COMMEMORATION_CULTURAL,COMMEMORATION_CULTURAL_QUEST
COMMEMORATION_CULTURAL,COMMEMORATION_CULTURAL_BUILDING_QUEST
COMMEMORATION_INFRASTRUCTURE,COMMEMORATION_INFRASTRUCTURE_QUEST
COMMEMORATION_RELIGIOUS,COMMEMORATION_RELIGIOUS_QUEST
COMMEMORATION_EXPLORATION,COMMEMORATION_EXPLORATION_CONTINENT_QUEST
COMMEMORATION_EXPLORATION,COMMEMORATION_EXPLORATION_NATURAL_WONDER_QUEST
COMMEMORATION_EXPLORATION,COMMEMORATION_EXPLORATION_NAVAL_UNIT_QUEST
COMMEMORATION_ECONOMIC,COMMEMORATION_ECONOMIC_QUEST
COMMEMORATION_INDUSTRIAL,COMMEMORATION_INDUSTRIAL_QUEST
COMMEMORATION_MILITARY,COMMEMORATION_MILITARY_QUEST_CORPS
COMMEMORATION_MILITARY,COMMEMORATION_MILITARY_QUEST_ARMY
COMMEMORATION_TOURISM,COMMEMORATION_TOURISM_QUEST
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_BUILDING_QUEST
COMMEMORATION_AERONAUTICAL,COMMEMORATION_AERONAUTICAL_GREAT_PERSON_QUEST
COMMEMORATION_ESPIONAGE,COMMEMORATION_ESPIONAGE_QUEST
COMMEMORATION_AUTOMATON,COMMEMORATION_AUTOMATON_GA_FREE_GDR
COMMEMORATION_AUTOMATON,COMMEMORATION_AUTOMATON_GA_FREE_URANIUM
COMMEMORATION_AUTOMATON,COMMEMORATION_AUTOMATON_GA_URANIUM_MINES
COMMEMORATION_AUTOMATON,COMMEMORATION_AUTOMATON_QUEST
