CommemorationType,CategoryDescription,GoldenAgeBonusDescription,NormalAgeBonusDescription,DarkAgeBonusDescription,MinimumGameEra,MaximumGameEra
COMMEMORATION_SCIENTIFIC,LOC_MOMENT_CATEGORY_SCIENTIFIC,LOC_MOMENT_CATEGORY_SCIENTIFIC_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_SCIENTIFIC_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_SCIENTIFIC_BONUS_DARK_AGE,ERA_CLASSICAL,ERA_MEDIEVAL
COMMEMORATION_CULTURAL,LOC_MOMENT_CATEGORY_CULTURAL,LOC_MOMENT_CATEGORY_CULTURAL_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_CULTURAL_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_CULTURAL_BONUS_DARK_AGE,ERA_CLASSICAL,ERA_MEDIEVAL
COMMEMORATION_INFRASTRUCTURE,LOC_MOMENT_CATEGORY_INFRASTRUCTURE,LOC_MOMENT_CATEGORY_INFRASTRUCTURE_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_INFRASTRUCTURE_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_INFRASTRUCTURE_BONUS_DARK_AGE,ERA_CLASSICAL,ERA_RENAISSANCE
COMMEMORATION_RELIGIOUS,LOC_MOMENT_CATEGORY_RELIGIOUS,LOC_MOMENT_CATEGORY_RELIGIOUS_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_RELIGIOUS_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_RELIGIOUS_BONUS_DARK_AGE,ERA_CLASSICAL,ERA_RENAISSANCE
COMMEMORATION_EXPLORATION,LOC_MOMENT_CATEGORY_EXPLORATION,LOC_MOMENT_CATEGORY_EXPLORATION_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_EXPLORATION_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_EXPLORATION_BONUS_DARK_AGE,ERA_RENAISSANCE,ERA_MODERN
COMMEMORATION_ECONOMIC,LOC_MOMENT_CATEGORY_ECONOMIC,LOC_MOMENT_CATEGORY_ECONOMIC_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_ECONOMIC_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_ECONOMIC_BONUS_DARK_AGE,ERA_RENAISSANCE,ERA_MODERN
COMMEMORATION_INDUSTRIAL,LOC_MOMENT_CATEGORY_INDUSTRIAL,LOC_MOMENT_CATEGORY_INDUSTRIAL_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_INDUSTRIAL_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_INDUSTRIAL_BONUS_DARK_AGE,ERA_INDUSTRIAL,ERA_ATOMIC
COMMEMORATION_MILITARY,LOC_MOMENT_CATEGORY_MILITARY,LOC_MOMENT_CATEGORY_MILITARY_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_MILITARY_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_MILITARY_BONUS_DARK_AGE,ERA_INDUSTRIAL,ERA_ATOMIC
COMMEMORATION_TOURISM,LOC_MOMENT_CATEGORY_TOURISM,LOC_MOMENT_CATEGORY_TOURISM_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_TOURISM_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_TOURISM_BONUS_DARK_AGE,ERA_ATOMIC,
COMMEMORATION_AERONAUTICAL,LOC_MOMENT_CATEGORY_AERONAUTICAL,LOC_MOMENT_CATEGORY_AERONAUTICAL_BONUS_EXPANSION2_GOLDEN_AGE,LOC_MOMENT_CATEGORY_AERONAUTICAL_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_AERONAUTICAL_BONUS_DARK_AGE,ERA_INFORMATION,
COMMEMORATION_ESPIONAGE,LOC_MOMENT_CATEGORY_ESPIONAGE,LOC_MOMENT_CATEGORY_ESPIONAGE_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_ESPIONAGE_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_ESPIONAGE_BONUS_DARK_AGE,ERA_ATOMIC,
COMMEMORATION_AUTOMATON,LOC_MOMENT_CATEGORY_AUTOMATON,LOC_MOMENT_CATEGORY_AUTOMATON_BONUS_GOLDEN_AGE,LOC_MOMENT_CATEGORY_AUTOMATON_BONUS_NORMAL_AGE,LOC_MOMENT_CATEGORY_AUTOMATON_BONUS_DARK_AGE,ERA_INFORMATION,
