ContinentType,Description
CONTINENT_AFRICA,LOC_CONTINENT_AFRICA_DESCRIPTION
CONTINENT_AMASIA,LOC_CONTINENT_AMASIA_DESCRIPTION
CONTINENT_AMERICA,LOC_CONTINENT_AMERICA_DESCRIPTION
CONTINENT_ANTARCTICA,LOC_CONTINENT_ANTARCTICA_DESCRIPTION
CONTINENT_ARCTICA,LOC_CONTINENT_ARCTICA_DESCRIPTION
CONTINENT_ASIA,LOC_CONTINENT_ASIA_DESCRIPTION
CONTINENT_ASIAMERICA,LOC_CONTINENT_ASIAMERICA_DESCRIPTION
CONTINENT_ATLANTICA,LOC_CONTINENT_ATLANTICA_DESCRIPTION
CONTINENT_ATLANTIS,LOC_CONTINENT_ATLANTIS_DESCRIPTION
CONTINENT_AUSTRALIA,LOC_CONTINENT_AUSTRALIA_DESCRIPTION
CONTINENT_AVALONIA,LOC_CONTINENT_AVALONIA_DESCRIPTION
CONTINENT_AZANIA,LOC_CONTINENT_AZANIA_DESCRIPTION
CONTINENT_BALTICA,LOC_CONTINENT_BALTICA_DESCRIPTION
CONTINENT_CIMMERIA,LOC_CONTINENT_CIMMERIA_DESCRIPTION
CONTINENT_COLUMBIA,LOC_CONTINENT_COLUMBIA_DESCRIPTION
CONTINENT_CONGO_CRATON,LOC_CONTINENT_CONGO_CRATON_DESCRIPTION
CONTINENT_EURAMERICA,LOC_CONTINENT_EURAMERICA_DESCRIPTION
CONTINENT_EUROPE,LOC_CONTINENT_EUROPE_DESCRIPTION
CONTINENT_GONDWANA,LOC_CONTINENT_GONDWANA_DESCRIPTION
CONTINENT_KALAHARIA,LOC_CONTINENT_KALAHARIA_DESCRIPTION
CONTINENT_KAZAKHSTANIA,LOC_CONTINENT_KAZAKHSTANIA_DESCRIPTION
CONTINENT_KERNORLAND,LOC_CONTINENT_KERNORLAND_DESCRIPTION
CONTINENT_KUMARI_KANDAM,LOC_CONTINENT_KUMARI_KANDAM_DESCRIPTION
CONTINENT_LAURASIA,LOC_CONTINENT_LAURASIA_DESCRIPTION
CONTINENT_LAURENTIA,LOC_CONTINENT_LAURENTIA_DESCRIPTION
CONTINENT_LEMURIA,LOC_CONTINENT_LEMURIA_DESCRIPTION
CONTINENT_MU,LOC_CONTINENT_MU_DESCRIPTION
CONTINENT_NENA,LOC_CONTINENT_NENA_DESCRIPTION
CONTINENT_NORTH_AMERICA,LOC_CONTINENT_NORTH_AMERICA_DESCRIPTION
CONTINENT_NOVOPANGAEA,LOC_CONTINENT_NOVOPANGAEA_DESCRIPTION
CONTINENT_NUNA,LOC_CONTINENT_NUNA_DESCRIPTION
CONTINENT_OCEANIA,LOC_CONTINENT_OCEANIA_DESCRIPTION
CONTINENT_PANGAEA,LOC_CONTINENT_PANGAEA_DESCRIPTION
CONTINENT_PANGAEA_ULTIMA,LOC_CONTINENT_PANGAEA_ULTIMA_DESCRIPTION
CONTINENT_PANNOTIA,LOC_CONTINENT_PANNOTIA_DESCRIPTION
CONTINENT_RODINIA,LOC_CONTINENT_RODINIA_DESCRIPTION
CONTINENT_SIBERIA,LOC_CONTINENT_SIBERIA_DESCRIPTION
CONTINENT_SOUTH_AMERICA,LOC_CONTINENT_SOUTH_AMERICA_DESCRIPTION
CONTINENT_TERRA_AUSTRALIS,LOC_CONTINENT_TERRA_AUSTRALIS_DESCRIPTION
CONTINENT_UR,LOC_CONTINENT_UR_DESCRIPTION
CONTINENT_VAALBARA,LOC_CONTINENT_VAALBARA_DESCRIPTION
CONTINENT_VENDIAN,LOC_CONTINENT_VENDIAN_DESCRIPTION
CONTINENT_ZEALANDIA,LOC_CONTINENT_ZEALANDIA_DESCRIPTION
