Type,Leader,Mood,Sort,Key,Text,Tooltip,DiplomaticActionType
DECLARE_FRIEND_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_DECLARE_FRIEND_CHOICE_POSITIVE,,
DECLARE_FRIEND_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_DECLARE_FRIEND_CHOICE_NEGATIVE,,
DECLARE_FRIEND_FROM_AI,ANY,ANY,2,CHOICE_STOP_ASKING,LOC_DIPLO_DECLARE_FRIEND_CHOICE_STOP_ASKING,,
DECLARE_FRIEND_FROM_AI,ANY,ANY,3,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DECLARE_FRIEND_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DECLARE_FRIEND_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DECLARE_WAR_FROM_AI,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DECLARE_WAR_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DEFEAT_FROM_AI,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DEFEAT_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DELEGATION_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_DELEGATION_CHOICE_POSITIVE,,
DELEGATION_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_DELEGATION_CHOICE_NEGATIVE,,
DELEGATION_FROM_AI,ANY,ANY,2,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DELEGATION_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
