Type,SubType,Initiator,Leader,Mood,StatementText,ReasonText,LeaderAnimation,SceneEffect,Selections
DECLARE_FRIEND,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_FRIEND_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,DECLARE_FRIEND_FROM_AI
DECLARE_FRIEND,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_FRIEND_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_POSITIVE,,DECLARE_FRIEND_FROM_AI
DECLARE_FRIEND,AI_ACCEPT_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_ACCEPT_DECLARE_FRIEND_FROM_HUMAN_$(LEADER)_$(MOOD),,NEUTRAL_TO_HAPPY,,DECLARE_FRIEND_FROM_HUMAN
DECLARE_FRIEND,AI_REFUSE_DEAL,HUMAN,ANY,ANY,LOC_DIPLO_REJECT_DECLARE_FRIEND_FROM_HUMAN_$(LEADER)_$(MOOD),,NEUTRAL_NEGATIVE,,DECLARE_FRIEND_FROM_HUMAN
DECLARE_FRIEND,HUMAN_ACCEPT_DEAL,AI,ANY,ANY,LOC_DIPLO_ACCEPT_DECLARE_FRIEND_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_TO_HAPPY,,DECLARE_FRIEND_EXIT
DECLARE_FRIEND,HUMAN_REFUSE_DEAL,AI,ANY,ANY,LOC_DIPLO_REJECT_DECLARE_FRIEND_FROM_AI_$(LEADER)_$(MOOD),,NEUTRAL_NEGATIVE,,DECLARE_FRIEND_EXIT
DECLARE_SURPRISE_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_SURPRISE_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_SURPRISE_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_FORMAL_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_FORMAL_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_FORMAL_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_HOLY_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_HOLY_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_HOLY_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_RECONQUEST_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_RECONQUEST_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_RECONQUEST_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_LIBERATION_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
DECLARE_LIBERATION_WAR,NONE,AI,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_$(MOOD),LOC_DIPLO_DECLARE_WAR_FROM_AI_$(LEADER)_LIBERATION_WAR,DECLARE_WAR_FROM_AI,HOSTILE,DECLARE_WAR_FROM_AI
DECLARE_PROTECTORATE_WAR,NONE,HUMAN,ANY,ANY,LOC_DIPLO_DECLARE_WAR_FROM_HUMAN_$(LEADER)_$(MOOD),,DECLARE_WAR_FROM_HUMAN,HOSTILE,DECLARE_WAR_FROM_HUMAN
