DiplomaticActionType,Name,Description,CivilopediaKey,InitiatorPrereqCivic,InitiatorPrereqTech,TargetPrereqCivic,TargetPrereqTech,InitiatorObsoleteCivic,Cost,RequiresCapitalPath,RequiresConvertedCity,RequiresOccupiedCity,RequiresOccupiedFriendlyCity,RequiresWarOnAlliedCityState,RequiresLeadXEras,RequiresArchaeologyIntrusion,RequiresAdjacentEmpires,RequiresEspionageIntrusion,NoCurrentDelegation,NoCurrentEmbassy,NoCurrentOpenBorders,NoCurrentDenunciation,NoCurrentDOF,NoCurrentResearchAgreement,NoCurrentDefensivePact,Agreement,WarmongerPercent,CaptureWarmongerPercent,RazeWarmongerPercent,UIGroup,DenouncementTurnsRequired,RequiresAlliance,RequiresTeamMembership,Duration
DIPLOACTION_RESIDENT_EMBASSY,LOC_DIPLOACTION_RESIDENT_EMBASSY_NAME,LOC_DIPLOACTION_RESIDENT_EMBASSY_DESCRIPTION,DIPLO_8,CIVIC_DIPLOMATIC_SERVICE,,,,,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_DEMAND_TRIBUTE,LOC_DIPLOACTION_DEMAND_TRIBUTE_NAME,LOC_DIPLOACTION_DEMAND_TRIBUTE_DESCRIPTION,DIPLO_12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_OPEN_BORDERS,LOC_DIPLOACTION_OPEN_BORDERS_NAME,LOC_DIPLOACTION_OPEN_BORDERS_DESCRIPTION,DIPLO_9,CIVIC_EARLY_EMPIRE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,-1,0,0,30
DIPLOACTION_REQUEST_ASSISTANCE,LOC_DIPLOACTION_REQUEST_ASSISTANCE_NAME,LOC_DIPLOACTION_REQUEST_ASSISTANCE_DESCRIPTION,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_DENOUNCE,LOC_DIPLOACTION_DENOUNCE_NAME,LOC_DIPLOACTION_DENOUNCE_DESCRIPTION,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_MAKE_PEACE,LOC_DIPLOACTION_MAKE_PEACE_NAME,LOC_DIPLOACTION_MAKE_PEACE_DESCRIPTION,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,0,0,10
DIPLOACTION_DIPLOMATIC_DELEGATION,LOC_DIPLOACTION_DIPLOMATIC_DELEGATION_NAME,LOC_DIPLOACTION_DIPLOMATIC_DELEGATION_DESCRIPTION,,,,,,CIVIC_DIPLOMATIC_SERVICE,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_ALLIANCE,LOC_DIPLOACTION_ALLIANCE_NAME,LOC_DIPLOACTION_ALLIANCE_DESCRIPTION,DIPLO_12,CIVIC_CIVIL_SERVICE,,CIVIC_CIVIL_SERVICE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,0,0,30
DIPLOACTION_DECLARE_FRIENDSHIP,LOC_DIPLOACTION_DECLARE_FRIENDSHIP_NAME,LOC_DIPLOACTION_DECLARE_FRIENDSHIP_DESCRIPTION,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_GRANT_INFLUENCE_TOKEN,LOC_DIPLOACTION_GRANT_INFLUENCE_TOKEN_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
