StateType,DiplomaticActionType,AiAllowed,Worth,Cost,TransitionToState,TeamOnly
DIPLO_STATE_ALLIED,DIPLOACTION_RESIDENT_EMBASSY,1,75,-10,,0
DIPLO_STATE_ALLIED,DIPLOACTION_OPEN_BORDERS,1,0,0,,0
DIPLO_STATE_ALLIED,DIPLOACTION_REQUEST_ASSISTANCE,1,-50,70,,0
DIPLO_STATE_ALLIED,DIPLOACTION_DIPLOMATIC_DELEGATION,1,40,-10,,0
DIPLO_STATE_ALLIED,DIPLOACTION_DECLARE_FRIENDSHIP,0,35,-25,,0
DIPLO_STATE_ALLIED,DIPLOACTION_PROPOSE_TRADE,1,0,0,,0
DIPLO_STATE_ALLIED,DIPLOACTION_JOINT_WAR,1,0,0,,0
DIPLO_STATE_ALLIED,DIPLOACTION_KEEP_PROMISE_DONT_SPY,1,0,-30,,0
DIPLO_STATE_ALLIED,DIPLOACTION_KEEP_PROMISE_DONT_CONVERT,1,0,-5,,0
DIPLO_STATE_ALLIED,DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS,1,0,-10,,0
DIPLO_STATE_ALLIED,DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR,1,0,-50,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_ALLIANCE,1,-10,-10,DIPLO_STATE_ALLIED,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_RESIDENT_EMBASSY,1,75,-10,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_OPEN_BORDERS,1,20,0,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_REQUEST_ASSISTANCE,1,-70,80,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_DIPLOMATIC_DELEGATION,1,40,-10,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_DECLARE_FRIENDSHIP,0,25,-15,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_PROPOSE_TRADE,1,0,0,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_JOINT_WAR,1,0,0,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_KEEP_PROMISE_DONT_SPY,1,0,-30,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_KEEP_PROMISE_DONT_CONVERT,1,0,0,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS,1,0,-5,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR,1,0,-30,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_RESIDENT_EMBASSY,1,50,10,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_DEMAND_TRIBUTE,0,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_OPEN_BORDERS,1,10,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_REQUEST_ASSISTANCE,1,-90,90,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_DECLARE_SURPRISE_WAR,1,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_DIPLOMATIC_DELEGATION,1,25,5,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_DECLARE_FRIENDSHIP,0,15,-15,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_DENOUNCE,0,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_PROPOSE_TRADE,1,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_JOINT_WAR,1,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_SPY,1,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_CONVERT,1,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS,1,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR,1,0,-10,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_RESIDENT_EMBASSY,1,25,15,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_DEMAND_TRIBUTE,0,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_OPEN_BORDERS,0,0,10,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_DECLARE_SURPRISE_WAR,1,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_DIPLOMATIC_DELEGATION,1,15,10,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_DECLARE_FRIENDSHIP,0,-10,10,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_DENOUNCE,0,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_PROPOSE_TRADE,1,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_JOINT_WAR,1,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_KEEP_PROMISE_DONT_SPY,1,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_KEEP_PROMISE_DONT_CONVERT,1,0,0,,0
