BaseState,TransitionState,RequireTransitionMax,ThrottleTurns,AllowTransitionMin,RequireTransitionMin,AllowTransitionMax,AllowTransitionCheck,OnTransitionAction
DIPLO_STATE_FRIENDLY,DIPLO_STATE_DECLARED_FRIEND,25.0,0,5.0,,,CanDeclareFriendship,OnDeclareFriendship
DIPLO_STATE_FRIENDLY,DIPLO_STATE_NEUTRAL,,0,,-5.0,15.0,,
DIPLO_STATE_NEUTRAL,DIPLO_STATE_FRIENDLY,15.0,0,-5.0,,,,
DIPLO_STATE_NEUTRAL,DIPLO_STATE_UNFRIENDLY,,0,,-15.0,5.0,,
DIPLO_STATE_UNFRIENDLY,DIPLO_STATE_NEUTRAL,5.0,0,-15.0,,,,
DIPLO_STATE_UNFRIENDLY,DIPLO_STATE_DENOUNCED,,0,,-25.0,-5.0,CanDenounce,OnDenouncePlayer
DIPLO_STATE_DENOUNCED,DIPLO_STATE_WAR,,0,,-35.0,,CanGoToWar,GoToWar
DIPLO_STATE_NO_INFLUENCE,DIPLO_STATE_INFLUENTIAL,1.0,0,,,,,
DIPLO_STATE_NO_INFLUENCE,DIPLO_STATE_MAX_INFLUENCE,1.0,0,,,,HasMaxInfluence,
DIPLO_STATE_INFLUENTIAL,DIPLO_STATE_NO_INFLUENCE,,0,,0.0,,,
DIPLO_STATE_INFLUENTIAL,DIPLO_STATE_MAX_INFLUENCE,,0,,,,HasMaxInfluence,
DIPLO_STATE_MAX_INFLUENCE,DIPLO_STATE_NO_INFLUENCE,,0,,0.0,,,
DIPLO_STATE_MAX_INFLUENCE,DIPLO_STATE_INFLUENTIAL,,0,,,,NotMaxInfluence,
DIPLO_STATE_AWARE,DIPLO_STATE_PATRON,1.0,0,,,,,
DIPLO_STATE_AWARE,DIPLO_STATE_PATRON,1.0,0,,,,HasMaxInfluence,
DIPLO_STATE_PATRON,DIPLO_STATE_AWARE,,0,,0.0,,,
DIPLO_STATE_PATRON,DIPLO_STATE_PROTECTOR,,0,,,,HasMaxInfluence,
DIPLO_STATE_PROTECTOR,DIPLO_STATE_AWARE,,0,,0.0,,,
DIPLO_STATE_PROTECTOR,DIPLO_STATE_PATRON,,0,,,,NotMaxInfluence,
DIPLO_STATE_DECLARED_FRIEND,DIPLO_STATE_ALLIED,35.0,0,15.0,,,CanOfferAlliance,OnOfferAlliance
