StateType,Name,DiplomaticYieldBonus,RelationshipLevel
DIPLO_STATE_ALLIED,LOC_DIPLO_STATE_ALLIED_NAME,50,100
DIPLO_STATE_DECLARED_FRIEND,LOC_DIPLO_STATE_DECLARED_FRIEND_NAME,25,83
DIPLO_STATE_FRIENDLY,LOC_DIPLO_STATE_FRIENDLY_NAME,25,66
DIPLO_STATE_NEUTRAL,LOC_DIPLO_STATE_NEUTRAL_NAME,0,50
DIPLO_STATE_UNFRIENDLY,LOC_DIPLO_STATE_UNFRIENDLY_NAME,-25,33
DIPLO_STATE_DENOUNCED,LOC_DIPLO_STATE_DENOUNCED_NAME,-75,16
DIPLO_STATE_WAR,LOC_DIPLO_STATE_WAR_NAME,-100,0
DIPLO_STATE_NO_INFLUENCE,LOC_DIPLO_STATE_NO_INFLUENCE_NAME,0,0
DIPLO_STATE_INFLUENTIAL,LOC_DIPLO_STATE_INFLUENTIAL_NAME,0,0
DIPLO_STATE_MAX_INFLUENCE,LOC_DIPLO_STATE_MAX_INFLUENCE_NAME,0,0
DIPLO_STATE_WAR_WITH_MINOR,LOC_DIPLO_STATE_WAR_WITH_MINOR_NAME,0,0
DIPLO_STATE_AWARE,LOC_DIPLO_STATE_AWARE_NAME,0,0
DIPLO_STATE_PATRON,LOC_DIPLO_STATE_PATRON_NAME,0,0
DIPLO_STATE_PROTECTOR,LOC_DIPLO_STATE_PROTECTOR_NAME,0,0
DIPLO_STATE_WAR_WITH_MAJOR,LOC_DIPLO_STATE_WAR_WITH_MAJOR_NAME,0,0
DIPLO_STATE_MINOR_MINOR,LOC_DIPLO_STATE_MINOR_MINOR_NAME,0,0
DIPLO_STATE_MINOR_MINOR_WAR,LOC_DIPLO_STATE_MINOR_MINOR_WAR_NAME,0,0
DIPLO_STATE_FREE_CITIES_NEUTRAL,LOC_EMPTY,0,0
