TriggerType,CivilizationLevel,OpponentCivilizationLevel,TransitionState
GO_TO_WAR,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_WAR
MAKE_PEACE,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_UNFRIENDLY
DENOUNCE,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_DENOUNCED
DENOUNCE_EXPIRES,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_UNFRIENDLY
DECLARE_FRIENDSHIP,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_DECLARED_FRIEND
DECLARE_FRIENDSHIP_EXPIRES,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_FRIENDLY
DECLARE_ALLIANCE,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_ALLIED
LEAVE_ALLIANCE,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_FRIENDLY
GO_TO_WAR,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_CITY_STATE,DIPLO_STATE_WAR_WITH_MINOR
MAKE_PEACE,CIVILIZATION_LEVEL_FULL_CIV,CIVILIZATION_LEVEL_CITY_STATE,DIPLO_STATE_NO_INFLUENCE
GO_TO_WAR,CIVILIZATION_LEVEL_CITY_STATE,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_WAR_WITH_MAJOR
MAKE_PEACE,CIVILIZATION_LEVEL_CITY_STATE,CIVILIZATION_LEVEL_FULL_CIV,DIPLO_STATE_AWARE
GO_TO_WAR,CIVILIZATION_LEVEL_CITY_STATE,CIVILIZATION_LEVEL_CITY_STATE,DIPLO_STATE_MINOR_MINOR_WAR
MAKE_PEACE,CIVILIZATION_LEVEL_CITY_STATE,CIVILIZATION_LEVEL_CITY_STATE,DIPLO_STATE_MINOR_MINOR
