DiscussionType,ProposalType,Name,Description,EmergencyType
WC_EMERGENCY_MILITARY,WC_PROPOSAL_TYPE_EMERGENCY,LOC_DISCUSSION_EMERGENCY_MILITARY_TARGET_NAME,LOC_EMERGENCY_FLAVOR_MILITARY,EMERGENCY_MILITARY
WC_EMERGENCY_CITY_STATE,WC_PROPOSAL_TYPE_EMERGENCY,LOC_DISCUSSION_EMERGENCY_CITY_STATE_TARGET_NAME,LOC_EMERGENCY_FLAVOR_CITY_STATE,EMERGENCY_CAPTURE_CITY_STATE
WC_EMERGENCY_RELIGIOUS,WC_PROPOSAL_TYPE_EMERGENCY,LOC_DISCUSSION_EMERGENCY_RELIGIOUS_TARGET_NAME,LOC_EMERGENCY_FLAVOR_RELIGIOUS,EMERGENCY_RELIGIOUS
WC_EMERGENCY_NUCLEAR,WC_PROPOSAL_TYPE_EMERGENCY,LOC_DISCUSSION_EMERGENCY_NUCLEAR_TARGET_NAME,LOC_EMERGENCY_FLAVOR_NUCLEAR,EMERGENCY_NUCLEAR
WC_EMERGENCY_BACKSTAB,WC_PROPOSAL_TYPE_EMERGENCY,LOC_DISCUSSION_EMERGENCY_BACKSTAB_TARGET_NAME,LOC_EMERGENCY_FLAVOR_BACKSTAB,EMERGENCY_BACKSTAB
WC_EMERGENCY_REQUEST_AID,WC_PROPOSAL_TYPE_AID_REQUEST,LOC_DISCUSSION_EMERGENCY_AID_REQUEST_TARGET_NAME,LOC_EMERGENCY_FLAVOR_REQUEST_AID,EMERGENCY_SEND_AID
WC_EMERGENCY_NOBEL_PRIZE_LITERATURE,WC_PROPOSAL_TYPE_COMPETITION,LOC_DISCUSSION_NOBEL_PRIZE_LITERATURE_NAME,LOC_EMERGENCY_FLAVOR_GREAT_ARTISTS,EMERGENCY_NOBEL_PRIZE_LITERATURE
WC_EMERGENCY_NOBEL_PRIZE_PEACE,WC_PROPOSAL_TYPE_COMPETITION,LOC_DISCUSSION_EMERGENCY_NOBEL_PRIZE_PEACE_NAME,LOC_EMERGENCY_FLAVOR_FAVOR,EMERGENCY_NOBEL_PRIZE_PEACE
WC_EMERGENCY_NOBEL_PRIZE_PHYSICS,WC_PROPOSAL_TYPE_COMPETITION,LOC_DISCUSSION_EMERGENCY_NOBEL_PRIZE_PHYSICS_NAME,LOC_EMERGENCY_FLAVOR_GREAT_STEMS,EMERGENCY_NOBEL_PRIZE_PHYSICS
WC_EMERGENCY_CLIMATE_ACCORDS,WC_PROPOSAL_TYPE_COMPETITION,LOC_EMERGENCY_CLIMATE_ACCORDS_NAME,LOC_EMERGENCY_FLAVOR_CLIMATE_ACCORDS,EMERGENCY_CLIMATE_ACCORDS
WC_EMERGENCY_WORLD_GAMES,WC_PROPOSAL_TYPE_COMPETITION,LOC_EMERGENCY_WORLD_GAMES_NAME,LOC_EMERGENCY_FLAVOR_WORLD_GAMES,EMERGENCY_WORLD_GAMES
WC_EMERGENCY_SPACE_STATION,WC_PROPOSAL_TYPE_COMPETITION,LOC_EMERGENCY_SPACE_STATION_NAME,LOC_EMERGENCY_FLAVOR_SPACE_STATION,EMERGENCY_SPACE_STATION
WC_EMERGENCY_WORLD_FAIR,WC_PROPOSAL_TYPE_COMPETITION,LOC_EMERGENCY_WORLDS_FAIR_NAME,LOC_EMERGENCY_FLAVOR_SCORE_COMPETITION_CULTURAL,EMERGENCY_WORLDS_FAIR
WC_EMERGENCY_MILITARY_AID_REQUEST,WC_PROPOSAL_TYPE_AID_REQUEST,LOC_EMERGENCY_REQUEST_MILITARY_AID_NAME,LOC_EMERGENCY_FLAVOR_REQUEST_MILITARY_AID,EMERGENCY_SEND_MILITARY_AID
