CivUniqueDistrictType,ReplacesDistrictType
DISTRICT_ACROPOLIS,DISTRICT_THEATER
DISTRICT_BATH,DISTRICT_AQUEDUCT
DISTRICT_HANSA,DISTRICT_INDUSTRIAL_ZONE
DISTRICT_LAVRA,DISTRICT_HOLY_SITE
DISTRICT_MBANZA,DISTRICT_NEIGHBORHOOD
DISTRICT_STREET_CARNIVAL,DISTRICT_ENTERTAINMENT_COMPLEX
DISTRICT_ROYAL_NAVY_DOCKYARD,DISTRICT_HARBOR
DISTRICT_IKANDA,DISTRICT_ENCAMPMENT
DISTRICT_SEOWON,DISTRICT_CAMPUS
DISTRICT_WATER_STREET_CARNIVAL,DISTRICT_WATER_ENTERTAINMENT_COMPLEX
DISTRICT_COTHON,DISTRICT_HARBOR
DISTRICT_SUGUBA,DISTRICT_COMMERCIAL_HUB
DISTRICT_OBSERVATORY,DISTRICT_CAMPUS
DISTRICT_HIPPODROME,DISTRICT_ENTERTAINMENT_COMPLEX
DISTRICT_OPPIDUM,DISTRICT_INDUSTRIAL_ZONE
DISTRICT_THANH,DISTRICT_ENCAMPMENT
