DistrictType,YieldChangeId
DISTRICT_CAMPUS,Mountains_Science1
DISTRICT_CAMPUS,Mountains_Science2
DISTRICT_CAMPUS,Mountains_Science3
DISTRICT_CAMPUS,Mountains_Science4
DISTRICT_CAMPUS,Mountains_Science5
DISTRICT_CAMPUS,Jungle_Science
DISTRICT_CAMPUS,District_Science
DISTRICT_HOLY_SITE,NaturalWonder_Faith
DISTRICT_HOLY_SITE,Mountain_Faith1
DISTRICT_HOLY_SITE,Mountain_Faith2
DISTRICT_HOLY_SITE,Mountain_Faith3
DISTRICT_HOLY_SITE,Mountain_Faith4
DISTRICT_HOLY_SITE,Mountain_Faith5
DISTRICT_HOLY_SITE,Forest_Faith
DISTRICT_HOLY_SITE,District_Faith
DISTRICT_COMMERCIAL_HUB,River_Gold
DISTRICT_COMMERCIAL_HUB,Harbor_Gold
DISTRICT_COMMERCIAL_HUB,RoyalDock_Gold
DISTRICT_COMMERCIAL_HUB,District_Gold
DISTRICT_HARBOR,SeaResource_Gold
DISTRICT_HARBOR,District_Gold
DISTRICT_HARBOR,Harbor_City_Gold
DISTRICT_THEATER,Wonder_Culture
DISTRICT_THEATER,District_Culture
DISTRICT_INDUSTRIAL_ZONE,Quarry_Production
DISTRICT_INDUSTRIAL_ZONE,District_Production
DISTRICT_ACROPOLIS,Wonder_Culture
DISTRICT_ACROPOLIS,District_Culture_Standard
DISTRICT_ACROPOLIS,District_Culture_City_Center
DISTRICT_HANSA,Commerical_Hub_Production
DISTRICT_HANSA,District_Production
DISTRICT_HANSA,Resource_Production
DISTRICT_LAVRA,NaturalWonder_Faith
DISTRICT_LAVRA,Mountain_Faith1
DISTRICT_LAVRA,Mountain_Faith2
DISTRICT_LAVRA,Mountain_Faith3
DISTRICT_LAVRA,Mountain_Faith4
DISTRICT_LAVRA,Mountain_Faith5
DISTRICT_LAVRA,Forest_Faith
DISTRICT_LAVRA,District_Faith
DISTRICT_ROYAL_NAVY_DOCKYARD,SeaResource_Gold
DISTRICT_ROYAL_NAVY_DOCKYARD,District_Gold
DISTRICT_ROYAL_NAVY_DOCKYARD,RoyalDock_City_Gold
DISTRICT_CAMPUS,GBR_Science
DISTRICT_SEOWON,BaseDistrict_Science
DISTRICT_SEOWON,NegativeDistrict_Science
DISTRICT_SEOWON,Government_Science
DISTRICT_THEATER,Government_Culture
DISTRICT_ACROPOLIS,Government_Culture
DISTRICT_HOLY_SITE,Government_Faith
DISTRICT_LAVRA,Government_Faith
DISTRICT_COMMERCIAL_HUB,Government_Gold
DISTRICT_HARBOR,Government_Gold
DISTRICT_ROYAL_NAVY_DOCKYARD,Government_Gold
DISTRICT_INDUSTRIAL_ZONE,Government_Production
DISTRICT_HANSA,Government_Production
DISTRICT_CAMPUS,Government_Science
DISTRICT_CAMPUS,Geothermal_Science
DISTRICT_CAMPUS,Reef_Science
DISTRICT_INDUSTRIAL_ZONE,Minel_HalfProduction
DISTRICT_INDUSTRIAL_ZONE,LumberMill_HalfProduction
DISTRICT_INDUSTRIAL_ZONE,Aqueduct_Production
DISTRICT_INDUSTRIAL_ZONE,Bath_Production
DISTRICT_INDUSTRIAL_ZONE,Canal_Production
DISTRICT_INDUSTRIAL_ZONE,Dam_Production
DISTRICT_INDUSTRIAL_ZONE,Strategic_Production
DISTRICT_HANSA,Aqueduct_Production
DISTRICT_HANSA,Canal_Production
DISTRICT_HANSA,Dam_Production
DISTRICT_THEATER,EntertainmentComplex_Culture
DISTRICT_THEATER,WaterPark_Culture
DISTRICT_THEATER,StreetCarnival_Culture
DISTRICT_THEATER,Copacabana_Culture
DISTRICT_ACROPOLIS,EntertainmentComplex_Culture
DISTRICT_ACROPOLIS,WaterPark_Culture
DISTRICT_THEATER,Pamukkale_Culture
DISTRICT_ACROPOLIS,Pamukkale_Culture
DISTRICT_HOLY_SITE,Pamukkale_Faith
DISTRICT_LAVRA,Pamukkale_Faith
DISTRICT_COMMERCIAL_HUB,Pamukkale_Gold
DISTRICT_SUGUBA,Pamukkale_Gold
DISTRICT_CAMPUS,Pamukkale_Science
DISTRICT_COMMERCIAL_HUB,Cothon_Gold
DISTRICT_COTHON,SeaResource_Gold
DISTRICT_COTHON,District_Gold
DISTRICT_COTHON,Harbor_City_Gold
DISTRICT_COTHON,Government_Gold
DISTRICT_SUGUBA,River_Gold
DISTRICT_SUGUBA,Holy_Site_Gold
DISTRICT_SUGUBA,Lavra_Gold
DISTRICT_SUGUBA,District_Gold
DISTRICT_SUGUBA,Government_Gold
DISTRICT_OBSERVATORY,District_Science
DISTRICT_OBSERVATORY,Plantation_Science
DISTRICT_OBSERVATORY,Farm_Science
DISTRICT_OBSERVATORY,GBR_Science
DISTRICT_OBSERVATORY,Government_Science
DISTRICT_OBSERVATORY,Pamukkale_Science
DISTRICT_OPPIDUM,Quarry_Production2
DISTRICT_OPPIDUM,Strategic_Production2
DISTRICT_OPPIDUM,Government_Production
DISTRICT_THEATER,Hippodrome_Culture
DISTRICT_OPPIDUM,LeyLine_Production
DISTRICT_THANH,District_Culture_Major
DISTRICT_SUGUBA,LeyLine_Gold
DISTRICT_COTHON,LeyLine_Gold
DISTRICT_THEATER,LeyLine_Culture
DISTRICT_ACROPOLIS,LeyLine_Culture
DISTRICT_HOLY_SITE,LeyLine_Faith
DISTRICT_LAVRA,LeyLine_Faith
DISTRICT_COMMERCIAL_HUB,LeyLine_Gold
DISTRICT_HARBOR,LeyLine_Gold
DISTRICT_ROYAL_NAVY_DOCKYARD,LeyLine_Gold
DISTRICT_INDUSTRIAL_ZONE,LeyLine_Production
DISTRICT_HANSA,LeyLine_Production
DISTRICT_CAMPUS,LeyLine_Science
DISTRICT_OBSERVATORY,LeyLine_Science
