DistrictType,YieldType,YieldChange
DISTRICT_HOLY_SITE,YIELD_FAITH,2
DISTRICT_CAMPUS,YIELD_SCIENCE,2
DISTRICT_ENCAMPMENT,YIELD_GOLD,2
DISTRICT_ENCAMPMENT,YIELD_PRODUCTION,1
DISTRICT_HARBOR,YIELD_GOLD,2
DISTRICT_HARBOR,YIELD_FOOD,1
DISTRICT_COMMERCIAL_HUB,YIELD_GOLD,4
DISTRICT_THEATER,YIELD_CULTURE,2
DISTRICT_INDUSTRIAL_ZONE,YIELD_PRODUCTION,2
DISTRICT_ACROPOLIS,YIELD_CULTURE,2
DISTRICT_HANSA,YIELD_PRODUCTION,2
DISTRICT_LAVRA,YIELD_FAITH,2
DISTRICT_ROYAL_NAVY_DOCKYARD,YIELD_GOLD,2
DISTRICT_ROYAL_NAVY_DOCKYARD,YIELD_FOOD,1
DISTRICT_IKANDA,YIELD_GOLD,2
DISTRICT_IKANDA,YIELD_PRODUCTION,1
DISTRICT_SEOWON,YIELD_SCIENCE,2
DISTRICT_COTHON,YIELD_GOLD,2
DISTRICT_COTHON,YIELD_FOOD,1
DISTRICT_SUGUBA,YIELD_GOLD,4
DISTRICT_OBSERVATORY,YIELD_SCIENCE,2
DISTRICT_OPPIDUM,YIELD_PRODUCTION,2
DISTRICT_THANH,YIELD_GOLD,2
DISTRICT_THANH,YIELD_PRODUCTION,1
