DistrictType,GreatPersonClassType,PointsPerTurn
DISTRICT_ENCAMPMENT,GREAT_PERSON_CLASS_GENERAL,1
DISTRICT_HARBOR,GREAT_PERSON_CLASS_ADMIRAL,1
DISTRICT_INDUSTRIAL_ZONE,GREAT_PERSON_CLASS_ENGINEER,1
DISTRICT_COMMERCIAL_HUB,GREAT_PERSON_CLASS_MERCHANT,1
DISTRICT_HOLY_SITE,GREAT_PERSON_CLASS_PROPHET,1
DISTRICT_CAMPUS,GREAT_PERSON_CLASS_SCIENTIST,1
DISTRICT_THEATER,GREAT_PERSON_CLASS_WRITER,1
DISTRICT_THEATER,GREAT_PERSON_CLASS_ARTIST,1
DISTRICT_THEATER,GREAT_PERSON_CLASS_MUSICIAN,1
DISTRICT_ACROPOLIS,GREAT_PERSON_CLASS_WRITER,1
DISTRICT_ACROPOLIS,GREAT_PERSON_CLASS_ARTIST,1
DISTRICT_ACROPOLIS,GREAT_PERSON_CLASS_MUSICIAN,1
DISTRICT_HANSA,GREAT_PERSON_CLASS_ENGINEER,1
DISTRICT_LAVRA,GREAT_PERSON_CLASS_PROPHET,2
DISTRICT_ROYAL_NAVY_DOCKYARD,GREAT_PERSON_CLASS_ADMIRAL,2
DISTRICT_IKANDA,GREAT_PERSON_CLASS_GENERAL,1
DISTRICT_SEOWON,GREAT_PERSON_CLASS_SCIENTIST,1
DISTRICT_COTHON,GREAT_PERSON_CLASS_ADMIRAL,1
DISTRICT_SUGUBA,GREAT_PERSON_CLASS_MERCHANT,1
DISTRICT_OBSERVATORY,GREAT_PERSON_CLASS_SCIENTIST,1
DISTRICT_OPPIDUM,GREAT_PERSON_CLASS_ENGINEER,1
