DistrictType,YieldType,YieldChangeAsOrigin,YieldChangeAsDomesticDestination,YieldChangeAsInternationalDestination
DISTRICT_CITY_CENTER,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_CITY_CENTER,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_CITY_CENTER,YIELD_GOLD,0.0,0.0,3.0
DISTRICT_HOLY_SITE,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_HOLY_SITE,YIELD_FAITH,0.0,0.0,1.0
DISTRICT_CAMPUS,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_CAMPUS,YIELD_SCIENCE,0.0,0.0,1.0
DISTRICT_ENCAMPMENT,YIELD_PRODUCTION,0.0,1.0,1.0
DISTRICT_HARBOR,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_HARBOR,YIELD_GOLD,0.0,0.0,3.0
DISTRICT_COMMERCIAL_HUB,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_COMMERCIAL_HUB,YIELD_GOLD,0.0,0.0,3.0
DISTRICT_ENTERTAINMENT_COMPLEX,YIELD_FOOD,0.0,1.0,1.0
DISTRICT_THEATER,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_THEATER,YIELD_CULTURE,0.0,0.0,1.0
DISTRICT_INDUSTRIAL_ZONE,YIELD_PRODUCTION,0.0,1.0,1.0
DISTRICT_ACROPOLIS,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_ACROPOLIS,YIELD_CULTURE,0.0,0.0,1.0
DISTRICT_HANSA,YIELD_PRODUCTION,0.0,1.0,1.0
DISTRICT_LAVRA,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_LAVRA,YIELD_FAITH,0.0,0.0,1.0
DISTRICT_STREET_CARNIVAL,YIELD_FOOD,0.0,1.0,1.0
DISTRICT_ROYAL_NAVY_DOCKYARD,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_ROYAL_NAVY_DOCKYARD,YIELD_GOLD,0.0,0.0,3.0
DISTRICT_IKANDA,YIELD_PRODUCTION,0.0,1.0,1.0
DISTRICT_SEOWON,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_SEOWON,YIELD_SCIENCE,0.0,0.0,1.0
DISTRICT_GOVERNMENT,YIELD_GOLD,0.0,0.0,2.0
DISTRICT_GOVERNMENT,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_GOVERNMENT,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_WATER_ENTERTAINMENT_COMPLEX,YIELD_FOOD,0.0,1.0,1.0
DISTRICT_WATER_STREET_CARNIVAL,YIELD_FOOD,0.0,1.0,1.0
DISTRICT_COTHON,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_COTHON,YIELD_GOLD,0.0,0.0,3.0
DISTRICT_SUGUBA,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_SUGUBA,YIELD_GOLD,0.0,0.0,3.0
DISTRICT_OBSERVATORY,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_OBSERVATORY,YIELD_SCIENCE,0.0,0.0,1.0
DISTRICT_HIPPODROME,YIELD_FOOD,0.0,1.0,1.0
DISTRICT_OPPIDUM,YIELD_PRODUCTION,0.0,1.0,1.0
DISTRICT_THANH,YIELD_PRODUCTION,0.0,1.0,1.0
DISTRICT_DIPLOMATIC_QUARTER,YIELD_FOOD,0.0,1.0,0.0
DISTRICT_DIPLOMATIC_QUARTER,YIELD_PRODUCTION,0.0,1.0,0.0
DISTRICT_DIPLOMATIC_QUARTER,YIELD_CULTURE,0.0,0.0,1.0
